mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
2e,3flz,0.42609482379225383,0.040562071277234484,1.082608596306376,0.04059702526956497,1.209999999999999,-0.6565137725141222,0.057388152845662725,-0.7974905812952233,0.10244922081422646
2f,2e,1.9647991747362383,0.047101904567815815,1.722538300178564,0.04855276798436267,-2.219999999999999,0.2422608745576744,0.06764584756553045,0.1901244042500725,0.09722815960842285
2ee,3fln,1.7434889163024705,0.05229720062958868,1.0863528868714736,0.05235021169157025,1.379999999999999,0.657136029430997,0.0739969043801406,0.6505245252346477,0.06716611334753163
2bb,2v,23.45839010711944,0.05856422191324928,22.100638113115288,0.060180762921156664,0.08999999999999986,1.3577519940041518,0.08397316424951945,1.0645249601593516,0.10222550742086453
2aa,3flw,22.096173480434505,0.06135320395253132,24.87737338777208,0.061020147469612276,-1.4100000000000001,-2.7811999073375797,0.08653134710874513,-2.7132104066539213,0.10441615366465903
2aa,2z,7.559381946249105,0.06167731608048656,8.757573023359864,0.06086557751913481,-1.0899999999999999,-1.1981910771107585,0.08665281210457082,-1.2503760111896138,0.10499904293653257
2bb,3fly,25.426767044849225,0.06309039833022503,26.05274777095896,0.06105534200932006,-2.3599999999999994,-0.6259807261097355,0.08779608846265022,-0.32797813571720447,0.09157267101673129
2ff,3fln,-5.897644526692673,0.06537217888973122,-5.125830078489765,0.06489115022406884,0.5599999999999987,-0.7718144482029081,0.09211071137600496,-1.138337423253363,0.06444765373512598
2aa,2y,12.50746666414012,0.06609857769978762,12.891382524609856,0.06655655092490803,-0.5099999999999998,-0.3839158604697355,0.09380190000716797,-0.4026596669480984,0.10530844943510653
2ff,3fly,-15.533053417148006,0.06626976147419622,-14.598518412207259,0.06414138853550443,0.019999999999999574,-0.9345350049407484,0.09222688875327738,-0.7839854054144411,0.07793090869010745
2c,3flz,3.74063734706384,0.07088751855598277,3.4021835475779487,0.07029476241601851,0.9700000000000006,0.3384537994858911,0.09983182814187712,0.6133186766965011,0.11303490134766755
2f,2c,-2.6595511211662464,0.07402389690729501,-0.7593876140474254,0.07315056704661095,-1.9800000000000004,-1.9001635071188208,0.1040698936896861,-1.220684853741652,0.10832525604897388
2g,2f,-4.045416580374221,0.04785537976101089,-5.0466895557208815,0.04801208878719459,2.1799999999999997,1.0012729753466598,0.0677886276729366,1.2372126269900203,0.08447750943172237
2g,3flz,-1.6867400239031232,0.043174471687416276,-2.2607512415823514,0.042460542434890544,1.17,0.5740112176792284,0.060555203487005556,0.6298464499448695,0.09043769913254056
2g,2h,-10.161749872290448,0.05343167533713848,-12.580746325928082,0.05411506864007036,1.1799999999999997,2.4189964536376345,0.07604856726627333,2.4215956158525724,0.07151593525758144
2g,2i,-2.558242966455763,0.04903969025963914,-4.812213166315369,0.04919082468909568,0.6099999999999994,2.2539701998596064,0.06945954545168498,2.3156374237233344,0.07346042117513965
2g,2c,-5.325827949617789,0.07151983936767427,-5.693060540489444,0.06971364688941642,0.1999999999999993,0.3672325908716554,0.09987532220623957,0.016527773248368405,0.09910706323328848
2j,2i,2.14199127426587,0.04177078909517426,2.627140962427814,0.04065233513852374,0.02999999999999936,-0.48514968816194415,0.05828731572004651,-0.4827809240054748,0.07118717858332743
2h,2i,7.799243396659503,0.05035463256388422,7.836195696598143,0.050832357957859606,-0.5700000000000003,-0.03695229993863991,0.07155080458107904,-0.10595819212923807,0.07270944911466083
2g,2x,-0.9237418837266941,0.06723283795833393,-2.486982924507958,0.06770686136748962,0.4299999999999997,1.5632410407812638,0.0954173651709585,1.156785704077869,0.07377691105205077
2gg,2ee,14.007850528422662,0.06420372473424028,17.051586743070338,0.06426732694572675,-1.5999999999999996,-3.0437362146476765,0.09084276296160874,-3.3790893607900268,0.08308953503347807
2gg,2e,16.423312635677775,0.06432774269710996,17.998730073238818,0.06367851804012849,-0.03999999999999915,-1.5754174375610412,0.09051525915718606,-1.8327787855402518,0.0908530966233191
