mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2e,Cn1c(=O)c(Oc2ccc(F)cc2)cc2cnc(NC3CCOCC3)nc21,-9.485897708801934,0.07020694170289161,-10.7
3flz,Cn1c(=O)c(Oc2ccccc2)cc2cnc(NC3CCOCC3)nc21,-10.283388290097157,0.07461118000788428,-9.49
2f,Cn1c(=O)c(Oc2cccc(F)c2)cc2cnc(NC3CCOCC3)nc21,-9.676022113052007,0.0672629196330915,-8.48
2ee,CC(=O)N1CCC(Nc2ncc3cc(Oc4ccc(F)cc4F)c(=O)n(C)c3n2)CC1,-11.032208284051709,0.059821403605287,-12.26
3fln,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-10.381683758817061,0.030539915731822517,-10.88
2bb,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCCS(C)(=O)=O)nc21,-9.699353605260935,0.07438508699281403,-9.06
2v,CNc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-8.634828645101583,0.07012070450676261,-8.97
2aa,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CO)CO)nc21,-9.33341842825363,0.07404826764166988,-9.27
3flw,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,-12.046628834907551,0.07361784569918706,-10.68
2z,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(C)(C)CO)nc21,-10.583794439443244,0.07444228016964174,-10.36
3fly,CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-10.02733174097814,0.05340798545358164,-11.42
2ff,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,-9.243346335563698,0.0567522124595674,-11.44
2y,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCC(C)(C)O)nc21,-9.736078095201728,0.07487805807907959,-9.78
2c,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(NC3CCOCC3)nc21,-10.896706966793658,0.08491207652924303,-10.46
2g,Cn1c(=O)c(Oc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-10.913234740042027,0.051109189410702034,-10.66
2h,Cn1c(=O)c(Sc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-8.491639124189454,0.050023791874942505,-9.48
2i,Cn1c(=O)c(Cc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-8.597597316318693,0.052766317258359896,-10.05
2j,Cn1c(=O)c(Cc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-8.114816392313218,0.04778420405996801,-10.08
2x,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CCOC3)nc21,-9.756449035964158,0.05320604629328506,-10.23
2gg,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCS(=O)(=O)CC3)nc21,-7.653118923261682,0.05766515848216265,-10.66
2k,O=c1[nH]c2nc(NC3CCOCC3)ncc2cc1Oc1ccc(F)cc1F,-9.469582139591608,0.047867223816814325,-10.55
2l,CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-11.542891827837373,0.06191651003189045,-12.26
2n,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1CCCO,-11.749556978603044,0.06983498630752165,-11.85
2r,CC(C)(O)Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-11.220568212613273,0.0564479114522587,-10.79
2p,CS(=O)(=O)CCCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.109863310624156,0.06674963112776645,-11.2
2o,CS(=O)(=O)CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.641785528875253,0.06541745549552087,-10.49
2m,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CC1,-12.623898153491167,0.055906458106212996,-10.96
2t,N#CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.801034102169776,0.0541632316068918,-11.85
2s,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C[C@H](O)CO,-12.056105090121111,0.06237146965971487,-11.11
2u,CS(=O)(=O)N1CCC(n2c(=O)c(Oc3ccc(F)cc3F)cc3cnc(NC4CCOCC4)nc32)CC1,-12.344749637858307,0.0705498066857495,-12.26
2q,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CCS(=O)(=O)CC1,-15.00590392684311,0.08219956267585432,-12.26
3fmh,C[C@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-11.46993449595329,0.08020788382940763,-10.83
3flq,C[C@@H](CS(C)(=O)=O)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-10.71393585054888,0.06216515660130031,-9.93
3fmk,C[C@@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-12.242647966456374,0.062340609248888894,-11.83
