mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17d,17g,-5.406611920488768,0.053285874222382734,-2.632765257175902,0.050534054700960944,0.2728999999999999,-2.7738466633128653,0.07343755902917325,-2.8068099906967845,0.07635101783398418
17b,17d,11.982956888636327,0.0512304205698271,12.179992471355177,0.051852704459560486,0.19099999999999895,-0.1970355827188502,0.07289210486418875,-0.11890276075055084,0.08543939761894155
17e,17f,-0.9085047682857011,0.053952993653551405,0.6509029400869313,0.05113575468330681,0.31379999999999875,-1.5594077083726325,0.07433566392527541,-1.5234899497636007,0.0941012802351502
17c,17d,14.086946055901297,0.05582906416793335,13.139862498481929,0.05512545509504847,0.35469999999999935,0.9470835574193687,0.07845827047101807,0.8189378116546067,0.08186604258007688
17c,17e,18.062783475297113,0.06177179073429648,17.603955303009357,0.061208027902797744,-0.20459999999999923,0.4588281722877564,0.08696077742448824,0.7548163185285137,0.09123245193801569
17a,27a,16.719876795161166,0.06795954194236206,15.88013014432067,0.06698711075338587,1.7872000000000003,0.839746650840495,0.09542417067023455,1.2275844098144582,0.09547419482210735
17a,17b,16.064706804613852,0.06927872859810633,16.97752652021002,0.06859450786362875,-0.6411999999999995,-0.9128197155961709,0.09749230095358044,-0.6670393817330531,0.09593180154299173
17f,27f,19.663200895399115,0.07482812946285126,18.79169554296291,0.07225884351473687,2.537470000000001,0.8715053524362059,0.10402206220315219,0.7086413891257752,0.09239507530687496
17c,27c,19.605746718871668,0.07401244212664963,18.918785019021144,0.07302314190891324,1.7325999999999997,0.686961699850525,0.1039722118827908,0.4888839778181051,0.0845894323537418
17b,27b,20.3136564128762,0.07393840519670238,19.33401536318554,0.07344542151298304,1.6098599999999994,0.9796410496906625,0.1042166863043126,1.1007798144977805,0.0912822776899878
