mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
31,32,2.792198496798877,0.04205850015662976,3.2967216327096205,0.041399283678965074,0.0,-0.504523135910743,0.05901540582387492,-0.5014189530034692,0.07600583257427361
30,31,2.4626019103407457,0.0441554556475849,2.4859061203807262,0.04017187909287846,0.0,-0.023304210039980483,0.059694925523855726,-0.11843442627473166,0.07350028115495624
29,36 out,-3.7473626326583473,0.04837850527339185,-3.6875046467394834,0.05127217114134441,-0.3699999999999992,-0.059857985918863967,0.07049337065309698,0.1220889715287754,0.054961833495535795
29,31,5.610313888530872,0.049552279516096115,5.949743137580092,0.0500231712328583,-0.3699999999999992,-0.33942924904922095,0.07041126376818684,-0.20265927046670207,0.06652470758683697
29,32,8.121895155632268,0.0562406723821932,8.754767999826521,0.053846067082369053,-0.3699999999999992,-0.6328728441942525,0.07786149350121777,-0.7040782234701712,0.06664380995919075
29,34,14.586673047979064,0.05490278500369178,14.310725137009122,0.05350168470936224,-0.16000000000000014,0.2759479109699401,0.07665993782870952,-0.07661097213601842,0.05983202403669849
33,37 out,-14.044044167907492,0.05587044203365117,-13.629990791249742,0.055897895180582226,-0.3200000000000003,-0.4140533766577491,0.07903215155020729,-0.6468366793623463,0.06631363351095533
30,32,4.573605570858345,0.057212004048131204,5.2626347044959,0.055677841174713284,0.0,-0.6890291336375546,0.0798325460265422,-0.6198533792782008,0.07360809749083441
33,39 out,-13.096016689239224,0.06068789787337324,-12.622320554005823,0.05770628085475952,0.5600000000000005,-0.47369613523340176,0.08374387021374977,-0.09746300992224732,0.06784628066937373
36 out,28 out,-1.438537780363974,0.033589294018282374,-1.8116536951568514,0.036468879738760396,-0.13000000000000078,0.3731159147928772,0.049580438300269085,0.3122586120402673,0.05550631510990764
30,34,24.667141968498232,0.06515468704069483,24.789522913560237,0.06293415872317376,0.20999999999999908,-0.12238094506200466,0.09058610035521185,0.007613872055951987,0.06750278298464084
37 out,28 out,0.9037329027339259,0.03645561265639035,0.3405051484715335,0.03760198468009091,0.07000000000000028,0.5632277542623924,0.05237290278411691,0.6050831482824286,0.0579396209802038
36 out,38 out,0.1409193719126443,0.04129494757306653,1.152953902938383,0.039667117592987376,-0.13000000000000078,-1.012034531025739,0.05726039567797451,-0.8108150196103185,0.05581309691093713
29,35,30.32045746834464,0.06688826732883685,29.29418343731596,0.06507432405247472,0.17999999999999972,1.02627403102868,0.09332045840618462,1.0919060030478072,0.06941820588110068
39 out,28 out,1.4779421690942538,0.03631064314662785,1.4455931104359143,0.03378232592534998,-0.8100000000000005,0.032349058658339425,0.04959544687416704,0.055709478842329574,0.059687682905033346
37 out,38 out,3.0038119550959115,0.04118455922415512,3.3459160966283834,0.040647934068172166,0.07000000000000028,-0.3421041415324721,0.05786555506083401,-0.5179904833681572,0.0582335852325698
33,35,22.689062526323312,0.07150285019557595,21.90709256884513,0.07093911469208315,0.4299999999999997,0.7819699574781829,0.10072246809618747,0.6158048883988467,0.07693850462373093
34,39 out,-19.000390211304964,0.06354574226858399,-19.798291927375228,0.06101607062366223,0.47000000000000064,0.7979017160702658,0.08809666415260592,0.4552490768627315,0.06318461185231836
35,38 out,-31.665154694428708,0.07014385094077392,-29.967891386859254,0.06714085593511282,-0.6799999999999997,-1.697263307569456,0.09709816867738076,-1.7806320511293503,0.07009412210270945
