mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
31,CCCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-10.48816317500516,0.05367041037175859,-10.36
32,CCCCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-10.98958212800863,0.05381796759294743,-10.36
30,CCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-10.369728748730429,0.05021731156070229,-10.36
29,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC,-10.285503904538459,0.03930679038081325,-9.99
36 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1F,-10.163414933009683,0.03841587394749477,-10.36
34,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC1CCCC1,-10.362114876674477,0.045109282085695764,-10.15
33,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC(C)C,-9.809402789889498,0.05143607640582803,-10.24
37 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1Cl,-10.456239469251845,0.04185484480199537,-10.56
39 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C#N,-9.906865799811746,0.04424305419657708,-9.68
28 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C,-9.851156320969416,0.04006459342025766,-10.49
38 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C(F)(F)F,-10.974229952620002,0.04048854672175642,-10.49
35,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C1CCCC1,-9.193597901490651,0.05721768553261909,-9.81
