mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
18-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-9.665589079919672,0.08196585643069902,-10.9787
17-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-7.616194236190209,0.1018840315582397,-8.99273
16-flipped,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-8.146044948441787,0.09755312253380827,-9.29013
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-10.641463464669679,0.05251473441358779,-10.7371
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-7.0146569013554325,0.07275939415438583,-9.79395
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.955989044357767,0.06776171470386837,-7.687929999999999
44-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-12.96467160272401,0.09008068150212323,-11.5248
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-4.824970686421958,0.10202694042093349,-8.33796
45-flipped,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-11.594438007768494,0.0877957763649088,-11.1913
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-9.583414125488721,0.07487040357433784,-11.2832
42-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-12.725529526627195,0.08167883225338723,-11.5248
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-9.629169331195172,0.06298705754936973,-11.1117
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-11.756072341361056,0.06699513331144513,-10.6986
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-5.041710077132323,0.06811773824650748,-8.4639
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-13.164368188154434,0.07750774514031794,-11.1913
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-9.93545524282189,0.05673889861561981,-9.54958
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-11.240844109309377,0.07936286958951892,-11.2832
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-8.236987566006645,0.07889353935452169,-9.75447
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-9.851395639235491,0.08069602100867754,-9.01441
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.352652391478705,0.07733915159565823,-10.3442
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.216942449791603,0.07711598559640681,-10.2855
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-9.228879004128352,0.07231216364165846,-10.2153
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-7.451122208741165,0.07302509993506996,-9.25606
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-13.32872688351213,0.06409737639104722,-11.6963
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-14.93467323372889,0.062266016201908005,-11.938
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.04342783482204,0.06346741430563488,-11.5248
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-13.501512748097737,0.06959709239897019,-11.5248
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-12.526373922207272,0.06946414586226911,-11.3918
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-12.97731729721464,0.0767040839984088,-11.1913
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.416313973094507,0.07758652341554836,-11.5248
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.08924563233454,0.0780068150810595,-11.2832
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-11.867668301667125,0.07550698017899944,-11.938
