mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL3402749_500,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)o1,-8.630534978679265,0.047909745109942746,-8.59616
CHEMBL3402748_5300,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)[nH]1,-6.053542570010362,0.05178479322941943,-7.19739
CHEMBL3402744_300,COC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1,-6.702232148883481,0.052906075263510814,-8.89882
CHEMBL3402745_200,CCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1,-7.266313849981087,0.055818152491485064,-9.13905
CHEMBL3402747_3400,Cc1noc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)n1,-7.66118352875276,0.050505985720338195,-7.46041
CHEMBL3402750_400,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)s1,-10.297331687798229,0.053398290859612854,-8.72837
CHEMBL3402754_40,Cc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1,-11.053651232468567,0.04776897839453107,-10.0926
CHEMBL3402751_2100,Cc1csc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)n1,-6.49190087464967,0.05095485219935751,-7.745890000000001
CHEMBL3402752_30000,Cc1nc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)cs1,-5.832087677186395,0.05868631294426182,-6.17032
CHEMBL3402753_200,Cc1ccc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1,-9.78987108115989,0.050078306944794676,-9.13905
CHEMBL3402755_4200,Cc1ccc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nn1,-8.1792480531705,0.04904396490899366,-7.33522
CHEMBL3402761_1 redocked,N#Cc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCN5CCOCC5)cn4)c3)n2)c1,-14.823582317259792,0.06635574265944044,-12.2782
