mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
CHEMBL3402756_2.7 redocked,CHEMBL3402757_6.5 redocked,2.9251571455624963,0.041672706559317034,2.6584017205708075,0.039088481005329766,0.5205000000000002,0.2667554249916886,0.057136011580114436,0.2538314605406704,0.07718930067600295
CHEMBL3402756_2.7 redocked,CHEMBL3402759_5.7 redocked,5.52711520374866,0.0481378371648725,5.334939336167166,0.049937519790184376,0.4427000000000003,0.19217586758149302,0.06936142479582463,0.1599751509433318,0.07989005561775861
CHEMBL3402756_2.7 redocked,CHEMBL3402758_10 redocked,-7.861224048937766,0.04753442946043599,-8.007930807030409,0.045290826187274355,0.7757000000000005,0.1467067580926431,0.06565653753324996,0.13483653045611277,0.06998442238260535
CHEMBL3402760_1 redocked,CHEMBL3402758_10 redocked,-7.682743004426812,0.05012597967631992,-8.3791775833199,0.04867695055545839,1.3642000000000003,0.6964345788930876,0.06987173501416276,0.7339462732309627,0.08523298098738104
CHEMBL3402743_42,CHEMBL3402764_90,4.021609750807596,0.0508746809262758,2.67218198286675,0.051548993575668466,0.451550000000001,1.3494277679408466,0.07242604433499512,1.4924853028674656,0.09309778020410277
CHEMBL3402760_1 redocked,CHEMBL3402759_5.7 redocked,3.4647130246742783,0.05243279963249806,2.5078265308860446,0.05208076814115205,1.0312000000000001,0.9568864937882334,0.07390267172081215,0.7590848937181818,0.09353749332955694
CHEMBL3402741_400,CHEMBL3402763_90,-7.488597894298037,0.06826432063901786,-8.020387850223795,0.0663813250774856,-0.8837799999999998,0.5317899559257578,0.09521815893698775,0.7939957838778771,0.10685917082725353
CHEMBL3402743_42,CHEMBL3402765_11-charged-pKa-8.1,19.148202170208798,0.06638652650384015,19.03556731674888,0.06520010850961912,-0.7937999999999992,0.11263485345991546,0.09304958382986557,0.03819282628577625,0.0994055159609548
CHEMBL3402742_23,CHEMBL3402741_400,16.7385888783527,0.06951036490304399,17.395845816805245,0.06972958077960027,1.6921300000000006,-0.6572569384525411,0.09845763182533454,-0.5564599681449405,0.09773097370767518
CHEMBL3402743_42,CHEMBL3402763_90,8.834751090836452,0.07612008480216023,9.09591701230821,0.07742411427120562,0.451550000000001,-0.2611659214717577,0.1085760598887654,-0.4813142567052502,0.1009771503909582
CHEMBL3402741_400,CHEMBL3402764_90,-11.19003577145802,0.07864038720213481,-14.18442232412243,0.07777595936002764,-0.8837799999999998,2.9943865526644116,0.11060474833240369,2.767795343450593,0.09944694147001902
CHEMBL3402742_23,CHEMBL3402756_2.7 redocked,10.429933699858177,0.0963871626474734,12.081519010579546,0.09914007034222105,-1.2691999999999997,-1.651585310721369,0.13827233516033144,-1.907891342137363,0.07825880198794999
CHEMBL3402742_23,CHEMBL3402757_6.5 redocked,13.912995825389935,0.09746542211841913,15.923527412778032,0.09970943043296392,-0.7486999999999995,-2.0105315873880985,0.13943270429130927,-1.6540598815966927,0.08508074054104782
CHEMBL3402763_90,CHEMBL3402764_90,-3.997150590316922,0.07431434279034906,-5.859494874828007,0.07318089300349177,0.0,1.8623442845110856,0.10429796088682661,1.9737995595727158,0.09803506757625466
CHEMBL3402762_1 redocked,CHEMBL3402757_6.5 redocked,-11.626856643347695,0.07875421028014126,-14.303172720672421,0.08108141819930413,1.109,2.676316077324725,0.11303283599936416,2.492633108664707,0.10242645118889566
CHEMBL3402762_1 redocked,CHEMBL3402760_1 redocked,-14.682538216693356,0.07792806325302444,-16.663787379876837,0.07679680060379386,0.0,1.981249163183479,0.10940992471136361,1.6396919053491867,0.1083684790540849
CHEMBL3402762_1 redocked,CHEMBL3402759_5.7 redocked,-12.080464050420227,0.08201294952791144,-13.898608091134257,0.08249436585455928,1.0312000000000001,1.8181440407140295,0.11632473635479956,2.3987767990673685,0.104476843132387
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,-14.541367911649811,0.07165202153189104,-16.243971879790603,0.07241820029217845,1.2453500000000002,1.702603968140791,0.10187447140066373,1.4542924765816894,0.09641548722620379
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,-20.468531372607277,0.08286343381681367,-19.495726044939524,0.08491210637192205,0.4369999999999994,-0.9728053276677534,0.11864406631783178,-0.757042898723963,0.09464457317340057
CHEMBL3402764_90,CHEMBL3402758_10 redocked,-3.2053339297630847,0.09143841597363804,0.6971151788091542,0.0908847585474456,-1.30185,-3.902449108572239,0.12892254749265372,-3.9843901869869027,0.08072617044230894
