mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL3402756_2.7 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1,-11.783087833160101,0.04921328995518618,-11.6897
CHEMBL3402757_6.5 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(F)c4)ccc3=O)c2)nc1,-11.52925637261943,0.05946629491264073,-11.1692
CHEMBL3402759_5.7 redocked,COc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCC[NH+](C)C)cn4)c3)n2)c1,-11.62311268221677,0.06293228963255139,-11.247
CHEMBL3402758_10 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccnc4)ccc3=O)c2)nc1,-11.648251302703988,0.0497581296675597,-10.914
CHEMBL3402760_1 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(C#N)c4)ccc3=O)c2)nc1,-12.382197575934951,0.06920108077177388,-12.2782
CHEMBL3402743_42,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1,-9.156346418584551,0.06801730333278731,-10.0637
CHEMBL3402764_90,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3ccc(F)cc3)ccc2=O)c1,-7.6638611157170855,0.06356762640107799,-9.61215
CHEMBL3402741_400,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(OC)c(OC)c3)CSC2=O)c1,-10.431656459167678,0.07647778135821123,-8.72837
CHEMBL3402763_90,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(Cl)cc3)CSC2=O)c1,-9.637660675289801,0.07463264264659124,-9.61215
CHEMBL3402765_11-charged-pKa-8.1,O=C(Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1)OCCC[NH+]1CCOCC1,-9.118153592298775,0.07249208957396136,-10.8575
CHEMBL3402742_23,C[NH+](C)CCCOC(=O)Nc1cccc(CN2N=C(c3cc(F)cc(F)c3)CSC2=O)c1,-9.875196491022738,0.06084810745106158,-10.4205
CHEMBL3402762_1 redocked,C[N@H+]1CC[C@H](COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,-14.021889481284138,0.08339626893641025,-12.2782
