mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
19,23,-3.6769085253608065,0.03847939999384528,-2.9738725147206386,0.0391361223764546,-0.3636700000000008,-0.7030360106401681,0.0548844267397517,-0.6898064529258479,0.10328404128605535
24,19,0.2632965977989637,0.04450107866370782,-1.7585443034467378,0.044596093778349645,1.3191200000000007,2.0218409012457017,0.06300125064251397,2.182157043046593,0.10398927880715499
29,55,-0.5974804351695501,0.045925061359476126,1.0057032827961936,0.047454926706412354,-0.9894800000000004,-1.6031837179657435,0.06603848370141925,-1.4699017906772536,0.07846831516078356
29,57,1.45245560573637,0.051155298787829276,2.994341998230932,0.04983701832353672,-0.8283799999999992,-1.541886392494562,0.07141843592135452,-1.295033954760136,0.08176397981804404
19,33,-5.066435832277649,0.04979549870278109,-2.710148047450258,0.050116804463254956,-1.0561300000000005,-2.3562877848273907,0.07064903241139829,-2.1766083632809883,0.09610025110511385
20,42,-2.768088964425286,0.05162019762230555,-2.4590980732698906,0.052193253570802574,0.049650000000001526,-0.30899089115539563,0.07340831370404836,-0.16699446274184027,0.1349486052964269
24,23,-2.6905505850606466,0.04929889922111294,-4.6231971027370165,0.05001209302573004,0.9554499999999999,1.9326465176763696,0.07022528685044814,1.4923505901207452,0.10234990412777238
29,36,4.71508053045112,0.05331382189433844,5.617202391533919,0.053709672921539484,2.2054799999999997,-0.9021218610827993,0.07567755658264869,-1.2289027125513794,0.08149152780673691
29,26,1.306093364201516,0.0609033798265663,1.4648148318585426,0.061905192047867784,0.4765800000000002,-0.15872146765702663,0.08684166325435272,0.016567937849158554,0.09533081910196974
29,60_adjust,-4.034135627048085,0.06391664459317718,-3.673976738203708,0.06317192271993413,1.5022800000000007,-0.36015888884437686,0.08986673064145517,-0.2603760825905308,0.08090438175378836
26,37,0.2984178065379169,0.06573181736252476,1.9580125764139944,0.06448249072095757,-0.827630000000001,-1.6595947698760776,0.09207965803237267,-1.954492416823646,0.11625844999252671
30_flip_b,31,1.112441976743097,0.045139993397775115,2.630922517761575,0.045410946557726206,-0.08427999999999969,-1.5184805410184778,0.06402947033374434,-1.4924809484504191,0.11008346089537911
24,29,-8.926420289173965,0.06926057107113867,-8.915133200893388,0.06781045361890572,-0.7761099999999992,-0.01128708828057622,0.09692927486111724,0.4480505970398081,0.09027468932603383
30_flip_b,26,1.0339092628302389,0.054220250312315144,0.6867539561984256,0.05542813658031481,0.028750000000000497,0.34715530663181327,0.07753782218179811,-0.0016947990567750537,0.10905887523812383
31,33,6.251904984485863,0.053159741261954135,5.302237855890128,0.05466691726858133,0.6755499999999994,0.9496671285957345,0.07625240936972304,1.0317162942702822,0.10102546008452969
33,23,0.8961416303510922,0.048099741020917304,-0.21364774542261813,0.04612660259570995,0.6924599999999996,1.1097893757737103,0.06664269317263424,1.4868019103551404,0.09432386246649317
30_flip_b,34,-6.645071342511691,0.05806983223477235,-5.493720635277268,0.0562487945753137,-0.774189999999999,-1.1513507072344225,0.0808457315320385,-0.8135501370532783,0.11487742570244436
31,34,-7.446347953520877,0.054916866211684214,-8.169147465511921,0.05128690144075486,-0.6899099999999994,0.7227995119910434,0.07514125666972656,0.6789308113971408,0.11843177629003836
35,52,2.827141654254225,0.04336415212590355,2.346131128028158,0.04057443253996955,-0.25650000000000084,0.48101052622606705,0.059386313789786996,0.084330583839062,0.07456692750442144
35,36,3.9804232492251663,0.04843486575944367,5.4626809205813185,0.05098333937217547,2.6982599999999994,-1.4822576713561524,0.07032237989910287,-0.9824761479094644,0.07888845640656675
35,53,4.216861607306564,0.04859359030331174,4.622836117583547,0.04676574895724509,3.14116,-0.40597451027698345,0.06744162137803468,-0.11450949333974059,0.07832840029769236
35,70,-7.171169855880662,0.03542929143471303,-6.06001598375667,0.03722525276056391,-0.1651000000000007,-1.1111538721239922,0.051390214386142635,-1.1300287664172117,0.07627830347491843
35,33,4.5245018467538225,0.06886564735098336,4.964556488546786,0.06906919233944957,1.5318799999999992,-0.4400546417929639,0.09753476670138643,-0.19607535263228826,0.07844442069695116
33,37,-0.3991029818112738,0.07109325456605153,1.00394745607068,0.07113977562482586,-1.3901500000000002,-1.403050437881954,0.10057394553632652,-1.495422561700284,0.10487645022862858
35,60_adjust,-3.9439487179969843,0.058649614704181535,-4.05616339681919,0.0593017646098387,1.9950600000000005,0.11221467882220569,0.08340549496759589,-0.013949517948615764,0.07828178866695198
41,20,-5.1529957498573316,0.04094994075084107,-5.617242028039613,0.03571649045524384,-1.1287600000000007,0.46424627818228226,0.05433751317402112,0.49463866356399677,0.13737863510298642
37,34,-6.839949353094601,0.06115953487838696,-8.312086797315335,0.06134291054236993,0.024690000000001433,1.4721374442207327,0.0866224069184748,1.1426370788271427,0.12173336380171543
38,69,5.756567737141881,0.05911239235803176,7.432971751639586,0.05833371855574161,-1.9558400000000002,-1.6764040144977048,0.08304876670264505,-2.156163312609337,0.07319929920044825
43,42,1.8691246911258164,0.040914695860138635,1.789322607106126,0.03767618093441487,-0.46913999999999856,0.07980208401969036,0.05561930372748666,0.11524992209212392,0.12533550583747108
38,35,18.51688569715144,0.06524725191352494,19.80388146428758,0.06669293148712196,-1.3800399999999993,-1.286995767136139,0.0933013986637549,-0.8866960947331908,0.0783277319334665
43,20,4.06250366751226,0.054922615137632726,3.8726923604598755,0.0523462193231314,-0.5187900000000001,0.18981130705238414,0.0758723950523634,0.2822443848339642,0.12890026405327312
44,46,5.434288890653173,0.04518757295987023,3.6975339882796674,0.04351880364552971,2.089319999999999,1.7367549023735056,0.06273597867844069,1.6315524462718738,0.09736853179228021
43,41,9.367245477634805,0.05677391724292948,9.579907073891539,0.05612927936797483,0.6099700000000006,-0.21266159625673253,0.07983591723951802,-0.21239427873003258,0.12794824084309805
43,44,0.7572695161080386,0.052628919965347076,-0.28025413879147115,0.051142928837447255,-1.9510199999999989,1.0375236548995097,0.07338530089051283,0.8891151125892218,0.10878014356689467
38,70,11.369132740748391,0.06680091918960135,13.598293515036685,0.0674430597596679,-1.54514,-2.2291607742882946,0.09492591381873437,-2.0167248611504025,0.08432802026951951
48,46,7.896692130668704,0.050448167787725214,7.857442163725925,0.04881224876466477,0.14700000000000024,0.03924996694277926,0.07019724540608409,0.15515514687705512,0.09784802191573047
48,47,7.308609655154626,0.04537430744534026,6.804123102960803,0.04454386179725346,-0.3270899999999983,0.5044865521938225,0.06358445879267258,0.3296962830715131,0.1010151129124467
44,63,2.510234101766548,0.06277463242210919,3.2736203256227863,0.06274300420334919,1.387039999999999,-0.7633862238562378,0.08875437483410278,-0.5548591715352789,0.09179700194851792
47,64,-5.5850903686277915,0.06357321035701742,-4.226081314387351,0.06589290969667898,-1.0888300000000015,-1.3590090542404405,0.09156106499704052,-1.7192881542506875,0.09652731887570605
49,44,4.755054650065027,0.050722397165849774,6.009455445402105,0.04977336735081013,-2.0143899999999997,-1.2544007953370782,0.071064405096285,-1.070657954239726,0.1031660042301907
49,47,16.964060301837577,0.05084919282825032,16.229874808769278,0.0475692334188366,-0.3991599999999993,0.7341854930682983,0.06963097284499438,0.7354356282266057,0.10583276814068564
49,62_flip,13.746489338552694,0.05703668039022505,14.847400644068797,0.05399979569028395,0.2425500000000005,-1.1009113055161028,0.07854400578356754,-1.326958510005178,0.11508375286144394
52,53,2.8863786134123237,0.042491797876919535,2.9007420281517065,0.04001435339307725,3.397660000000001,-0.014363414739382657,0.058366954385842815,-0.1988400771788026,0.08278385592836883
54,57,-3.4918212046150443,0.04072180031569932,-1.9042597276456303,0.042153497092623664,-2.29481,-1.5875614769694142,0.05861042857793757,-1.8595071366814953,0.08924657679904126
54,52,-3.4972783525024678,0.04410937557350897,-2.4298457776275373,0.04336138382543319,-2.2157100000000014,-1.0674325748749305,0.06185342852859014,-0.7265691627242123,0.08518984858641722
