mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
19,Cn1ccc2ccc(-c3cc(Nc4ccccc4)cc4nccnc34)cc21,-7.407793089260212,0.07418173769954302,-7.55079
23,Cn1ccc2ccc(-c3cc(Nc4cccnc4)cc4nccnc34)cc21,-8.09759954218606,0.07186558965357333,-7.914460000000001
24,Cn1ccc2ccc(-c3cc(Nc4ccccc4C#N)cc4nccnc34)cc21,-9.589950132306805,0.07287550959484546,-8.86991
29,Cn1ccc2ccc(-c3cc(Nc4ccccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.141899535266997,0.05327926082636203,-9.64602
55,Cn1ccc2c(F)cc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-10.611801325944251,0.05760726386462509,-10.6355
57,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3ccn(C(F)F)c3c2)c2nccnc2c1,-10.436933490027133,0.06202151853576302,-10.4744
33,Cn1ccc2ccc(-c3cc(Nc4cnccc4C#N)cc4nccnc34)cc21,-9.5844014525412,0.06109278234245134,-8.60692
20,COc1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-8.25899109869958,0.09776864303272191,-8.51645
42,CSc1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-8.42598556144142,0.09301837727562773,-8.4668
36,CN(c1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1)c1cnccc1S(C)(=O)=O,-10.370802247818377,0.06166189641969065,-7.44054
26,Cn1ccc2ccc(-c3cc(Nc4ccccc4C(N)=O)cc4nccnc34)cc21,-9.125331597417839,0.07905242207832067,-9.16944
60_adjust,CC1(C)COc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.402275617857528,0.06088381848044034,-8.14374
37,Cn1ccc2ccc(-c3cc(Nc4cnccc4C(=O)NC4CCOCC4)cc4nccnc34)cc21,-11.079824014241485,0.08524518612928166,-9.99707
30_flip_b,COc1ncccc1Nc1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1,-9.123636798361064,0.07513023913016448,-9.19819
31,COc1ccncc1Nc1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1,-10.616117746811483,0.08046002442796525,-9.28247
34,Cn1ccc2ccc(-c3cc(Nc4cnccc4C(N)=O)cc4nccnc34)cc21,-9.937186935414342,0.08690379798527177,-9.97238
35,Cn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.388326099908912,0.049205681421337154,-10.1388
52,CCn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.30399551606985,0.05602702556187967,-10.3953
53,CCCn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.502835593248653,0.06094373806271986,-6.99764
70,Cc1coc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc12,-10.518354866326124,0.058285336894227775,-10.3039
41,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(OC(F)(F)F)c2)c2nccnc2c1,-8.753629762263577,0.09651000892290754,-7.38769
38,CN(C)c1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-8.501630005175722,0.06094287904015418,-8.75876
69,Cc1csc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc12,-10.657793317785059,0.04054753873829927,-10.7146
43,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(Br)c2)c2nccnc2c1,-8.541235483533544,0.08400339583935718,-7.997660000000001
44,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(Br)cc2)c2nccnc2c1,-7.652120370944322,0.06911258294905845,-9.94868
46,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(C(F)(F)F)cc2)c2nccnc2c1,-6.020567924672449,0.0685863095777415,-7.859360000000001
48,COc1ccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)cc1,-6.175723071549504,0.06978648530573434,-8.00636
47,CCc1ccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)cc1,-5.846026788477991,0.07303355054621735,-8.33345
63,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3nsnc3c2)c2nccnc2c1,-8.206979542479601,0.06041639218660543,-8.56164
64,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3ncsc3c2)c2nccnc2c1,-7.565314942728678,0.06311595506641211,-9.42228
49,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(N)cc2)c2nccnc2c1,-6.581462416704596,0.07659422502338699,-7.93429
62_flip,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3nonc3c2)c2nccnc2c1,-7.908420926709774,0.08589292675034811,-7.691739999999999
54,CC(C)n1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-8.577426353345638,0.06417384754606174,-8.17959
56,Cc1cc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)cc2c1ccn2C,-10.982526667712202,0.059858062315264984,-10.5657
58,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3c(c2)CCO3)c2nccnc2c1,-8.655017307670324,0.07029786299318672,-9.13315
39,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(N)c2)c2nccnc2c1,-7.0742956181467465,0.06464441479564699,-7.1975
59,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3c(c2)OCCO3)c2nccnc2c1,-8.476759225946845,0.07906012393797719,-8.11517
65,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3scnc3c2)c2nccnc2c1,-9.379565502458714,0.05013408654903454,-9.4879
67,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3sc(N)nc3c2)c2nccnc2c1,-11.275242118006922,0.06153384776757692,-10.2436
68,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3sc(N)cc3c2)c2nccnc2c1,-10.28229039253841,0.06084339318112085,-9.77823
