mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
4,3,1.6793531872222849,0.04409235214991129,0.3845912546066895,0.042956247765293866,0.3591300000000004,1.2947619326155952,0.06155789746397372,1.6440691732230617,0.11605683347126626
4,SHP836-2,1.6031546243743384,0.05267700869338379,-0.2810373335394993,0.04943817522530846,-0.89114,1.8841919579138375,0.07224264955337072,1.9705339539877293,0.11602995848072695
11,Example 30,-40.12610845787684,0.05306211619522191,-36.19187715879665,0.053138567511990385,-2.8030099999999996,-3.934231299080186,0.07509524307398965,-3.8884441366766973,0.06833504653591084
7,6,-26.142140796544066,0.057283931191170666,-26.142369127622224,0.05340866209456008,-0.95357,0.00022833107815950544,0.07831943538768442,0.42768657804304855,0.07535628253201179
10,Example 30,-43.156973432314985,0.05113052622670909,-41.407890253953816,0.0524072361287448,-2.00282,-1.7490831783611693,0.07321781962660592,-1.9823166029556418,0.06753251180428918
11,10,3.6329249671972588,0.05297981115037093,5.147020124156595,0.053438347159202794,-0.8001899999999997,-1.5140951569593357,0.07524969991060726,-1.9061275337210555,0.07482293114903796
3,Example 27,64.91904416956854,0.055535114085359855,66.1908656714743,0.054791863914624046,-3.0555900000000005,-1.2718215019057635,0.07801472455705151,-0.8100637424423072,0.1216535953589304
10,Example 23,-10.057658305270936,0.05874466754626271,-10.499425144706315,0.055884384576297914,-1.5860599999999998,0.44176683943537853,0.08108020969751184,0.27264362711055945,0.07407751903447005
4,Example 27,67.89212868884377,0.05990125992419961,66.29938439345362,0.058227015533795355,-2.69646,1.5927442953901587,0.08353769375844276,0.8340054307807545,0.12350062227163161
3,6,-12.974116927473482,0.07175623961130807,-11.683530080864516,0.06884106222301091,-2.5671,-1.290586846608967,0.09943867341808175,-0.7147084535808998,0.095086350181448
Example 1,6,-5.392330337689274,0.05785085933083493,-6.216448029492535,0.054426073881242425,0.9581400000000002,0.8241176918032611,0.07942870667109285,0.8545513525838659,0.06505212492281404
Example 14,Example 27,16.732725320520807,0.07925853418853235,10.034303245163859,0.07723816241314128,1.2597000000000005,6.6984220753569454,0.11066909674644292,7.100831639124127,0.11990887103263781
Example 14,6,-55.04753709185498,0.079592253377416,-63.58561166198977,0.07850580579144036,1.748190000000001,8.538074570134794,0.11179484934762485,7.196186927985535,0.09284370780724102
Example 1,Example 5,4.000132783115353,0.05183269098640066,2.172841803024359,0.048049289634047296,1.42509,1.8272909800909931,0.07067787552854334,1.7595206716258724,0.06452255137785436
Example 22,Example 24,0.7086396663706866,0.04457747170928294,-0.5802196344665004,0.04598052256634339,0.1616099999999996,1.2888593008371871,0.06404185693330522,0.685054858142613,0.08601494382957324
Example 1,7,20.30195956344922,0.06656739038617367,19.977426721746934,0.06418660857667262,1.9117100000000002,0.3245328417022871,0.09247236443067858,0.4268647745408174,0.0695981497599703
Example 1,Example 3,-5.5510966823825205,0.0663491245074045,-5.666653056009387,0.06447210009235103,0.7723099999999992,0.11555637362686545,0.09251409629465769,-0.49353791200620645,0.07233790883401682
Example 22,Example 26,-1.033090700893266,0.05410546031142058,-0.7898895549749546,0.052684128650375826,0.2797800000000006,-0.2432011459183114,0.07551833053742686,0.4694916390600552,0.08786472949343116
Example 1,Example 4,-6.788897216320852,0.06715492334444846,-5.689671115846192,0.06434210666355326,0.7870899999999992,-1.0992261004746608,0.0930037118576609,-0.608921429004126,0.07387741622526225
Example 24,Example 23,0.7197019749730889,0.0411518239506391,1.8272858085111743,0.04085478796085044,0.33688000000000073,-1.1075838335380854,0.05798781176928858,-1.3178551748024425,0.08005640944749194
Example 1,Example 8,60.20354768033866,0.06322271042602577,65.39859256589544,0.061594311463519416,-0.7241499999999998,-5.195044885556784,0.08826647335357943,-5.4960068644428235,0.07048054585054818
Example 14,Example 9,0.37139605290034444,0.07790998173353032,0.6553665638459741,0.07651421215843596,0.9841300000000004,-0.2839705109456297,0.10919885492048521,0.6045320548807656,0.10011071361028906
Example 24,Example 25,2.6005899836092783,0.03994955121738357,1.1811213151186155,0.04103405307913182,0.20730999999999966,1.419468668490663,0.05726919027340408,1.1417125406231534,0.08877016233836821
Example 22,Example 6,-74.11309282375956,0.061610935434532305,-73.99026503704542,0.059581002321701486,0.16957000000000022,-0.12282778671413985,0.08570766128402237,0.04063773127335857,0.08434402865389647
Example 25,Example 23,-1.8517965129765779,0.04645530297037395,0.6807572239654832,0.04789654500383733,0.12957000000000107,-2.5325537369420608,0.06672461462888975,-2.459567715425596,0.08340646311464885
Example 26,Example 23,0.7761352259334204,0.052744890369854,2.0020135267010657,0.04890710197698585,0.21870999999999974,-1.2258783007676453,0.07193002213203614,-1.1022919557198847,0.0820406534626198
Example 2,Example 1,-2.282199682373702,0.0386427692362752,-1.1444259292775718,0.035412916618893724,-0.7119599999999995,-1.1377737530961298,0.05241505773825625,-1.274827441789144,0.06619088589214893
Example 2,Example 30,32.54070982157326,0.04606106654475245,36.80129530469355,0.046001826369868375,-0.8808799999999994,-4.260585483120288,0.06509830935288281,-4.116665200716008,0.06707161236455621
Example 26,Example 25,-0.7101667733498935,0.05842834622641688,-1.3610051007759056,0.05979075123003923,0.08913999999999866,0.6508383274260121,0.08359907640283162,1.3572757597057112,0.09056368945957004
Example 30,Example 23,33.0400992808143,0.048616072012909975,31.018563127776034,0.050016088166607936,0.41676,2.021536153038266,0.06975049486171656,2.2549602300662013,0.06751804488900502
Example 4,Example 3,-0.37585677703442966,0.03784053559723965,-0.29519542665488685,0.03561016781022346,-0.014780000000000015,-0.0806613503795428,0.0519614297893951,0.1153835169979196,0.08540218728263874
Example 29,Example 30,-37.046471006176,0.0709128957038019,-34.9212086581527,0.06974113446472309,-1.5343200000000001,-2.1252623480233015,0.0994608697605489,-2.027856247314526,0.08382297940667736
Example 29,Example 28,10.926872377970508,0.07759279267754883,11.308369371879484,0.07634599893697139,-0.8345700000000003,-0.38149699390897546,0.10885473360945364,-0.6044902904036373,0.10257983103951947
Example 30,Example 5,-31.07982335329842,0.05638743461187805,-35.91908185115501,0.05533662323599836,1.59401,4.839258497856593,0.07900433312971926,4.601358430552736,0.06542573993698247
Example 6,Example 5,9.899278129702358,0.04645939519364688,8.426490055262247,0.04140918873964983,1.50617,1.4727880744401103,0.06223500874777314,1.6729601525533466,0.07646054120824095
Example 2,Example 4,-8.278286412060126,0.07327746048519948,-6.225284165953874,0.0725168007532249,0.0751299999999997,-2.0530022461062516,0.10309351389220803,-1.8837488707932701,0.08026203282603707
Example 30,Example 3,-41.41653997308046,0.06865508627822545,-43.777709063453734,0.0647923152692308,0.9412299999999991,2.3611690903732736,0.09440108574491067,2.348299846920657,0.07314465711500968
Example 9,Example 8,4.597025433103886,0.05043153972813621,4.439783487493389,0.049504522749941535,-0.9182299999999994,0.15724194561049645,0.07066850763989614,0.24109665607807962,0.08487859041353905
SHP099-1 Example 7,11,12.349919057299086,0.048225773838710025,9.651135820137501,0.047250723591455365,3.398559999999999,2.6987832371615847,0.06751559925127322,2.4202058052802427,0.07562578321877868
Example 9,7,-36.232752374783956,0.06192432276829751,-41.95146404827573,0.06228485666188306,1.7176300000000007,5.718711673491773,0.08782952305292116,6.1639682950617205,0.08414731259647781
SHP836-2,3,0.16572537837210757,0.04367317793884142,0.6477162727020193,0.04245061952457795,1.2502700000000004,-0.4819908943299117,0.06090485669713199,-0.3264647807646677,0.11406202184475499
SHP099-1 Example 7,Example 8,-3.148851027178552,0.05504349989850479,1.1078580935334108,0.05585646686611478,0.04031999999999947,-4.256709120711963,0.07842022552787052,-4.122407436912415,0.07832276588434323
Example 6,Example 28,95.34976353149652,0.07685932619577698,96.5175002114052,0.07452645416912398,0.61191,-1.1677366799086721,0.10705862129829333,-1.5050323210885006,0.09324089491723811
