mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
4,C[C@@H]1CN(c2ncc(-c3ccc(Cl)c(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-7.759311012750308,0.08343259265150246,-5.82207
3,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-6.115241839527246,0.08067336040370258,-5.46294
SHP836-2,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-5.788777058762578,0.08063469320638404,-6.71321
11,CNc1nc(N2CCC(C)([NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-6.637895267942178,0.05342054595472755,-6.35409
Example 30,CC1([NH3+])CCN(c2nnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-10.526339404618875,0.042613658080056245,-9.1571
7,C[NH+](C)C1CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-7.2576368711511945,0.05608338795972582,-7.07647
6,Nc1nc(N2CCC([NH3+])CC2)ncc1-c1cccc(Cl)c1Cl,-6.829950293108146,0.05033113263183402,-8.03004
10,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)cn2)CC1,-8.544022801663234,0.05239004004228777,-7.15428
Example 27,C[C@@H]1CN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-6.925305581969553,0.09105715888895659,-8.51853
Example 23,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Cl)CC1,-8.271379174552674,0.05237139038320212,-8.74034
Example 1,CC1([NH3+])CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-7.684501645692012,0.041213542009515935,-8.98818
Example 14,Nc1nc(N2CC[C@@H](C[NH3+])C2)cnc1-c1cccc(Cl)c1Cl,-14.02613722109368,0.07801750551890954,-9.77823
Example 5,COc1cc(Cl)c(Cl)c(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1,-5.924980974066139,0.04964477405868336,-7.56309
Example 22,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Br)CC1,-7.638578857892845,0.061092588740778664,-9.23883
Example 24,Cc1nc(-c2cccc(Cl)c2Cl)c(N)nc1N1CCC(C)([NH3+])CC1,-6.953523999750232,0.06054969994107917,-9.07722
Example 3,CC1([NH3+])CCN(c2ncc(-c3ccc(Cl)s3)c(N)n2)CC1,-8.178039557698218,0.05944928098394794,-8.21587
Example 26,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C(N)=O)CC1,-7.169087218832789,0.06314987165389899,-8.95905
Example 4,Cc1ccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)s1,-8.293423074696138,0.06131326596382309,-8.20109
Example 8,CC1(C[NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-13.180508510134835,0.05717474353611994,-9.71233
Example 9,Nc1nc(N2CCC(C[NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-13.421605166212915,0.06273295634806506,-8.7941
Example 25,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C#N)CC1,-5.811811459127078,0.0649143709715,-8.86991
Example 6,CC1([NH3+])CCN(c2ncc(-c3cc(O)cc(Cl)c3Cl)c(N)n2)CC1,-7.597941126619486,0.05815161881254374,-9.06926
Example 2,Cc1cccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1Cl,-6.409674203902868,0.051794568539735374,-8.27622
Example 29,CC1([NH3+])CCN(c2cnc(C3=CCCCC3)c(N)n2)CC1,-8.49848315730435,0.07218287900637044,-7.62278
Example 28,CC1([NH3+])CCN(c2cnc(-c3cccc4cc[nH]c34)c(N)n2)CC1,-9.102973447707987,0.07288520916103657,-8.45735
SHP099-1 Example 7,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-9.05810107322242,0.05353040591432639,-9.75265
