mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
CHEMBL3265006,CHEMBL3265005,-6.967038989306041,0.049364997478743906,-5.827579416152572,0.04734999048080271,-0.36525999999999925,-1.1394595731534694,0.0684026649671524,-1.1035663052156544,0.08660113221736854
CHEMBL3265005,CHEMBL3265011 flip,8.433551632521139,0.048455141519656714,4.9289167501185664,0.044939344752373614,1.6854099999999992,3.504634882402572,0.06608665104590072,3.4281311874466773,0.0899533562205617
CHEMBL3265002,docked CHEMBL3265004,5.289507370297083,0.048876369824197,5.067485499433633,0.04681159753574268,-0.24019999999999975,0.22202187086345093,0.06767736099346681,0.310271540242697,0.118613230880162
CHEMBL3265005,CHEMBL3265010,7.409622675250625,0.051449251986417574,6.582205547302233,0.05245011835703528,0.19089999999999918,0.827417127948392,0.07347135799499627,1.0908791805144986,0.08681856617211813
CHEMBL3264996,intermediate_1,4.228115158666731,0.05668186207929177,2.821701027284238,0.05419881868719075,,1.406414131382493,0.07842413809448485,1.46452812324865,0.10997093765467826
CHEMBL3265002,intermediate_1,9.75822970786922,0.055446404411414824,8.315585239062733,0.05501951062219382,,1.4426444688064852,0.07811178087369318,1.5834881268818677,0.10928603897060803
CHEMBL3265006,CHEMBL3265011 flip,1.5064868383302412,0.06112643330572043,-0.821545305731815,0.05539940054738099,1.32015,2.328032144062056,0.08249566309623703,2.324564882231023,0.09267707334649954
CHEMBL3259820,CHEMBL3265015 flip,9.321749168824738,0.05945522206675178,5.392206988382884,0.05861688368361929,1.0983799999999988,3.929542180441854,0.08349169110627548,4.297982348300424,0.09676310413499878
CHEMBL3265008,CHEMBL3265006,5.244495337798094,0.05971581459692611,4.745153036635765,0.05960506757962327,-0.17368000000000094,0.49934230116232886,0.08437264126567279,0.5503252159536078,0.09000060589276372
CHEMBL3265002,CHEMBL3264996,-20.294585403787217,0.06505863315525395,-20.769270538072785,0.06455067636097014,-0.04860000000000042,0.4746851342855666,0.09164832549855244,0.11896000363321768,0.11728406659543218
CHEMBL3265009,CHEMBL3265010,1.0669123686792799,0.04302835537827235,0.06526807944999496,0.04419013873476057,0.16519999999999868,1.0016442892292847,0.06167825976757358,0.8309507771951115,0.09204254478052769
CHEMBL3264996,CHEMBL3265003 tautomer 2,22.22614017868766,0.06961313939028797,23.198828622738773,0.06894316104439843,-0.15509999999999913,-0.9726884440511103,0.09797524498854555,-1.4699250653091003,0.12102372010307033
CHEMBL3265012,CHEMBL3265013,6.740524368935306,0.05274651193067823,6.016057848280767,0.05158870266697369,0.7330800000000011,0.7244665206545385,0.073780680152155,0.6333998248962018,0.08946232993092479
CHEMBL3265009,CHEMBL3265011 flip,1.2771100370085127,0.05836504954756137,-1.775346536067361,0.05490437191489284,1.6597099999999987,3.0524565730758737,0.08013094947682928,3.16820278412729,0.09500512045587996
CHEMBL3265014,CHEMBL3259820,-5.649457481410323,0.053016074810081686,-7.323697730134288,0.052281747489450164,-0.17549999999999955,1.674240248723965,0.07445861473878497,1.7575181108177418,0.08753384919604952
CHEMBL3265014,CHEMBL3265012,-5.799317742054939,0.04287890032902468,-7.152148806752656,0.04015066089052351,-0.14610000000000056,1.352831064697718,0.058742451969357276,1.3156908874963982,0.08611803851307777
CHEMBL3265016,CHEMBL3265021,-8.692751324155614,0.04132560340023497,-8.721382620544606,0.04080721888401022,0.7989999999999995,0.028631296388991544,0.058077832341100956,0.01634779499107708,0.071947366165088
CHEMBL3265008,CHEMBL3265022,33.100991639475545,0.06765535751443338,33.05355672761107,0.06551287179388184,-1.0069400000000002,0.04743491186447474,0.0941763440099869,-0.053848067656380394,0.08683048252263553
CHEMBL3265012,CHEMBL3265015 flip,9.957190515781345,0.06362487727681572,5.142413155225605,0.060215143720137976,1.0689799999999998,4.814777360555739,0.08760130445219828,4.739809571621768,0.09548424018707916
CHEMBL3265014,CHEMBL3265008,-7.057540097497169,0.057921083214317,-8.646232339133299,0.05703907095214687,0.6158400000000004,1.5886922416361298,0.08129149706952062,1.5605549597762192,0.08723573325065762
CHEMBL3259820,intermediate_1,21.54580795277837,0.08872336250508067,21.160903448036862,0.08700550457209955,,0.38490450474150834,0.12426501068303011,-0.19109732466395535,0.09640727347051188
CHEMBL3265020,CHEMBL3265016,0.3175062320377041,0.03771388449539443,0.24718665306604848,0.03703833013526572,-0.6864000000000008,0.07031957897165562,0.05285995632745911,0.02692433660605964,0.09369697960851711
CHEMBL3265019,CHEMBL3265021,12.373739973084225,0.044276624773154014,10.027692898644574,0.04323656211962163,-0.11370000000000147,2.346047074439651,0.061885537932755946,2.1270596977013465,0.06258733335194236
CHEMBL3265012,CHEMBL3265018,21.777001201955077,0.06792223103962841,22.727680232151318,0.06928900614838415,-0.6413999999999991,-0.9506790301962423,0.09702780963430782,-0.6572329118176778,0.09447900086719106
CHEMBL3265019,intermediate,-9.679084565405494,0.055829839369845036,-12.327647940768282,0.055872595751739376,,2.6485633753627886,0.07898555513573341,3.038148129334145,0.07886455916540562
CHEMBL3265022,CHEMBL3265021,-0.9622958885976479,0.04830637685838904,-1.4096799197181293,0.04737148970089687,-0.09940000000000104,0.44738403112048136,0.06765769787442434,0.5179871315588276,0.07147052753947798
CHEMBL3265018,CHEMBL3265005,-23.958479861726524,0.0729102943032085,-24.06400704626599,0.07061424795500007,0.8643999999999998,0.10552718453946495,0.10150016270741002,0.3488558948354523,0.09230214105625183
