mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
5d,7,-2.0234166889973655,0.037175676944073616,-4.200495316028421,0.039458760056749025,2.4882899999999992,2.177078627031056,0.05421277249381569,2.2860783944475536,0.06579168143055748
3a,3b,-1.8805942179564472,0.041669030568147865,-2.0111733473077207,0.042008773370708026,-0.5228000000000002,0.13057912935127328,0.05916963028953915,0.17345000041564163,0.07111823128815328
5b,5j,0.7340381004178252,0.040888146891017565,0.7202686408694471,0.0416299756868244,-0.6100000000000012,0.013769459548378207,0.058351481830944275,-0.12380765381995928,0.0634040785871679
3b,5d,-15.279510761887142,0.042923628909308155,-15.764929163382105,0.04245150552634213,0.6341999999999999,0.48541840149496257,0.06037025956708362,0.596352551793256,0.06831298574640234
5a,5c,3.4855850824448646,0.045905115199549394,3.4505684870515787,0.047893632883966135,0.7980900000000002,0.03501659539328608,0.06634063364415524,0.008090885863186514,0.06425026004247421
1a,1b,-0.4048886443405059,0.0475855656159262,1.8730863056812443,0.04742318675254265,-1.3866099999999992,-2.27797495002175,0.06718143119012988,-2.3745938072145574,0.08162731146670871
3b,7,-16.996895593622245,0.05064843596868906,-19.968616667515533,0.04840104222539009,3.122489999999999,2.9717210738932875,0.07005658394882232,2.8824309462408095,0.06839161174576153
1a,3a,4.6862204711319535,0.05323193833092543,8.614710222627526,0.055012391062095,-2.4459399999999984,-3.928489751495571,0.07655065270026323,-3.9518716747017404,0.07649209465178594
1b,3a,11.826555048579756,0.05121977586075567,13.490351322510927,0.05201519778473987,-1.0593299999999992,-1.663796273931171,0.07300031671035172,-1.577277867487183,0.07688986827186423
1a,5a,-4.875625030589473,0.05294779412485778,-1.2555215179197803,0.05306590944630507,-2.207939999999999,-3.6201035126696923,0.07496305522090048,-3.477383502874874,0.07510940063781076
5d,5n,7.357631265877033,0.05348188432681294,7.234153123483225,0.05168950624286004,0.17049999999999876,0.12347814239380803,0.07437820249762202,0.08669598655012756,0.06998043114073788
1b,5b,3.327444505174069,0.05861488186946782,4.666672092800566,0.05992782194647074,-0.5372299999999992,-1.3392275876264967,0.08382749083576084,-1.6037441325164927,0.07415445496539882
5e,5j,3.0588152656980836,0.05221799692773219,4.649189159953464,0.05333086805059176,-0.9768000000000008,-1.59037389425538,0.07463846655829874,-1.3761254484011403,0.05863911957420085
5f,5i,-2.4216226187256633,0.033687816894989044,-2.16657421230603,0.03413916812306692,-1.8158000000000012,-0.25504840641963356,0.047961982937377995,-0.3763437436231918,0.04899051507348652
5f,5g,-3.1216787367919663,0.04281233471362642,-2.5935892987198437,0.04261135432015984,-0.5428999999999995,-0.5280894380721223,0.06040383696943256,-0.4144486055665215,0.05639341686646977
5e,5k,2.602231450259433,0.05057663916740076,2.969840966400413,0.052031145576018345,-0.8558000000000003,-0.36760951614098025,0.0725619496666281,-0.4864911606954525,0.056417956473282224
5f,5h,5.83234178436309,0.040443018345173214,4.642492850404198,0.03737816192737253,0.21330000000000027,1.1898489339588927,0.05507054314183671,1.1504414541883587,0.05656787479871529
5e,7,-1.250280658180841,0.04827859406197256,-3.170945420452075,0.04966105345709216,1.7107899999999994,1.9206647622712343,0.06926068780389708,1.83002941710458,0.06103265238155272
5f,5k,-3.016599241958498,0.04107213680460645,-3.1794881801270454,0.03920739822469701,-0.7003000000000004,0.1628889381685475,0.05678151545394225,0.2572744208241158,0.05350106498625293
5f,5l,0.5577920639007158,0.04324998987163295,1.307136869070307,0.04545430759776835,0.17050000000000054,-0.7493448051695911,0.06274277411056108,-0.7284722176385507,0.06226350828670888
5g,5i,0.3066162275472837,0.03516769944667519,0.3854313633479766,0.033425673473846444,-1.2729000000000017,-0.07881513580069295,0.04851847824851764,0.03810486194332974,0.055775051022447654
5e,5p,13.325697682933505,0.06322635273446364,14.201680211314935,0.06094019587169599,-0.3956999999999997,-0.8759825283814286,0.08781388929425396,-0.8527399136260776,0.06871761807628998
5k,5m,-1.3736972851448843,0.03412210270115896,-1.1413444891879354,0.032793462266542305,-1.7255000000000003,-0.232352795956949,0.04732577585392102,-0.21735551733404712,0.059054346940656005
5g,5h,8.902058527762971,0.04975743204017957,7.2499555800622755,0.04725387881602712,0.7561999999999998,1.6521029477006954,0.06862019459599969,1.5648900597548803,0.0625356714894328
5i,5m,-1.732236960599878,0.04098311592362666,-2.158171339736906,0.038467494386085335,-0.6099999999999994,0.42593437913702803,0.05620821928466448,0.41626264711326044,0.055001113671357765
5h,5a,-8.95696346946681,0.050810398244858335,-7.964711271927542,0.051757178050398235,-0.7087000000000003,-0.9922521975392681,0.0725293185514777,-1.1580392303937952,0.06561727917137399
5j,5c,1.8415944304744511,0.04883874965631281,1.1992177608647294,0.050057754691838645,1.123990000000001,0.6423766696097217,0.06993570098869596,0.632852976539322,0.06058783556878282
5l,5b,-3.519042962951784,0.04267201693744536,-3.7498551644021183,0.04605632961871283,-0.38180000000000014,0.23081220145033457,0.06278603767922569,0.21992000457693806,0.06912956790822081
5p,5n,-5.442075660554792,0.04083209121034376,-5.864087913080745,0.0405345431522266,-0.21130000000000138,0.42201225252595254,0.05753528361944132,0.4833869228332315,0.07684488047742527
5l,5c,-1.0257718219179752,0.05189364991401786,-1.7107127185859048,0.052589346672452505,0.13218999999999959,0.6849408966679296,0.07388227314338697,0.7289653272963008,0.06655603501260735
