mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
12,COC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-10.958187338200622,0.041201582074394276,-9.83296
14,CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-10.627225453658989,0.02978219087432328,-11.0316
17,O=C(NC1CC1)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-8.246678788808286,0.04189511709674068,-10.3953
13,NC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.706966882511834,0.04680839242144801,-11.1972
19,CC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.48811537931262,0.047331740550023,-10.2248
15,CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.075400685311509,0.04299861713269813,-9.72018
20,CCC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.129880804503236,0.0419808026915949,-10.2831
22,CNC(=O)c1cc2c(Oc3ccc(I)cc3)cncc2s1,-10.986498151598257,0.04168670994903532,-11.2901
21,O=C(c1cc2c(Oc3ccc(Cl)cc3)cncc2s1)C1CC1,-9.37753921727792,0.04466689642478706,-9.86234
16,CCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-8.876587298816728,0.046390095476074596,-10.6355
