mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17f,17g,2.419982583139537,0.039668139127443304,3.5053331977716917,0.04007906446219728,-0.6276799999999998,-1.0853506146321548,0.056390537060744185,-1.0590749288874353,0.05512053962896683
17a,17b,1.0031696747615035,0.04148047148441161,1.4045066275055538,0.04208262497996913,0.026340000000000252,-0.40133695274405035,0.059089566251359533,-0.435780813883051,0.06664892189198583
17e,17d,-0.8573182911257099,0.03959218110859945,-0.778463488299764,0.04010231435595543,0.7460699999999996,-0.07885480282594592,0.05635367265440655,-0.16903756771159983,0.05641468074737883
17f,17c,2.959599935861803,0.039158363253621875,2.6466071584517765,0.04028904585996238,0.22691000000000017,0.31299277741002635,0.056183490715767705,0.3339433442955091,0.06401687723660937
17a,17l,-3.5672797672038574,0.040827713452427965,-0.7996486858041287,0.04220518457492849,-0.41068000000000016,-2.767631081399729,0.05872120392803054,-2.742324076190518,0.060473819468354374
17g,17h flip,0.35095499816545667,0.04370078381510795,0.6013105918639227,0.04405579226684156,0.8809300000000002,-0.25035559369846594,0.062053777792443046,-0.17055492926164462,0.05481954051525029
17f,17i,2.686151914217062,0.04888978248361421,2.4311645723827833,0.04877524559685209,0.6375900000000003,0.25498734183427846,0.06905965113094874,0.1839249098163025,0.06518172494552624
17b,17d,-3.8051103540914535,0.04839007478133363,-2.1570684780861353,0.04862912525339493,-0.6445100000000004,-1.6480418760053182,0.06860314249546762,-1.645001182804795,0.05962771952319781
17e,17i,-0.21447789981582524,0.05085216081252028,-1.0726340119536408,0.04898216455888369,0.9535599999999995,0.8581561121378156,0.07060591125519156,0.9848353667148224,0.06674526003968745
17e,17k,-1.7876739163867272,0.051480311437480664,-1.8023749180665503,0.04984256948561272,0.2750899999999996,0.01470100167982317,0.07165545477232096,0.03003437258619801,0.06318083834721497
17b,17i,-2.5349995652598865,0.04957628915222275,-2.095485934446146,0.04952536353382071,-0.4370200000000004,-0.4395136308137409,0.0700754598933314,-0.49112824837837277,0.06948221692975813
17c,17k,-1.6296597445122418,0.05045196380062899,-0.4775313327716511,0.049476638182126643,-0.26778999999999975,-1.1521284117405908,0.07066355763153347,-1.104819428607831,0.0649889622423318
17j,17l,0.081949691161999,0.02931124168336381,-0.04807137016845417,0.02924183813971749,0.49753999999999987,0.13002106133045316,0.04140330888721335,0.14023555971875368,0.06130755042950098
17h flip,17d,-1.2267471463535673,0.043986831723729525,-1.429983379740627,0.04382463073899563,0.17684999999999995,0.2032362333870597,0.06209218650120978,0.2596818335389601,0.05425174528300521
17g,17k,-1.3519790950713204,0.05577963222212817,-1.7159443005553545,0.05448880370728735,0.5868000000000002,0.36396520548403405,0.07797690106875992,0.28819884457511336,0.05624658684041741
17j,17h flip,2.508979408209393,0.05181110671063452,1.9349254111707868,0.050685499062963615,0.11319999999999997,0.5740539970386065,0.07248041524330862,0.5420958056824654,0.06270086617147845
