mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
14,15,-11.087433264485044,0.03620596848928537,-11.147232363079066,0.036253933489206004,-0.30269999999999975,0.05979909859402264,0.0512368992786146,-0.0066283041343631055,0.08415513087321215
14,16,-8.123214213857954,0.03669921325417232,-8.013458476709362,0.03759010893551852,-0.3874999999999993,-0.10975573714859263,0.0525342606615851,-0.04039707322784736,0.08196107963250247
11 (2cen),12,-5.682727259510977,0.0419933446411967,-6.296317014839132,0.04212291869420569,0.05649999999999977,0.6135897553281551,0.059479250781032764,0.5603070984487424,0.07505735002314994
15,16,3.0567081657277444,0.04272280223232589,3.232508059749118,0.04188426602894781,-0.08479999999999954,-0.17579989402137344,0.0598291699037025,-0.03376876909348425,0.0855017750893998
10,11 (2cen),4.786236974052574,0.04245284505088617,5.349741628892482,0.04371458066107238,-0.5187000000000008,-0.5635046548399073,0.060936102724804736,-0.6728313510893607,0.07002694980004934
10,18,13.170052160682287,0.0485372941163101,14.105160564760405,0.049962282604246955,-1.0326000000000004,-0.9351084040781179,0.06965700684898705,-0.9973374218367521,0.06841105497426221
12,19,17.267692834399988,0.05646011275218697,18.799358027976165,0.05566778279066401,0.4107000000000003,-1.5316651935761763,0.07928837476464133,-1.7059579707395276,0.07843806466910688
13,20,8.839080618173867,0.06925180145196978,8.083335057254311,0.06899082318170681,-0.6784999999999997,0.7557455609195549,0.09775247151674774,0.36568854638002435,0.07928358709332099
17,18,13.909511552008322,0.0723510018416834,12.265928558589946,0.07023249654760523,-0.35130000000000017,1.6435829934183754,0.10083288669280799,1.2244562249251238,0.07541078196117174
10,17,-1.0311163993541412,0.07128533554686771,1.620597986276307,0.07134247399396394,-0.6813000000000002,-2.6517143856304486,0.10085309940507006,-2.221793646761876,0.07354671283958954
1,13,18.81494563398643,0.06513161013653736,17.468837893392617,0.06500827806316885,0.9019999999999992,1.3461077405938116,0.09202283877231877,1.074312103756366,0.06846247313617763
13,19,-0.10207038111953766,0.07376154678033477,0.2605727481204416,0.07373362796529319,0.0,-0.3626431292399793,0.1042948401233339,-0.2677492444551941,0.08141141110321846
1,18,25.959988736367983,0.055911220771536554,24.670200254316928,0.055911579672151955,-0.07910000000000039,1.289788482051056,0.07907066048540948,1.6277076608445658,0.061316044649234513
1,17,1.5640259974624384,0.05866676096202078,0.6132418524652659,0.0558229279193981,0.2721999999999998,0.9507841449971726,0.08098140603415825,0.4032514359194419,0.06699778995044865
1,15,-3.8511357260624277,0.06377778306598747,-1.387504768560376,0.06492006658639174,0.7830999999999992,-2.4636309575020516,0.0910067066671116,-1.9254334541008475,0.07154228181598744
1,16,0.002648423541039542,0.06547071154925288,1.4178350149211725,0.06409046770748295,0.6982999999999997,-1.415186591380133,0.09161878694748904,-1.9592022231943318,0.06894802832334014
1,14,3.898728274750259,0.06390967324304864,5.816109903388777,0.06465958819453,1.085799999999999,-1.917381628638518,0.09091374307286795,-1.9188051499664844,0.06727081921996544
19,20,6.708572162778635,0.07725364288798442,5.826937322155285,0.07753220238309343,-0.6784999999999997,0.8816348406233505,0.10945029806189284,0.6334377908352185,0.0781092807420075
9,11 (2cen),-6.452198368130187,0.035924290700748596,-5.939243381438994,0.03810084131706056,-0.8214000000000006,-0.5129549866911921,0.05236629423035127,-0.4735173193505382,0.07272733862233999
9,12,-12.029834233769135,0.03862072003456324,-12.15355809427724,0.037750176763049405,-0.7649000000000008,0.1237238605081064,0.054005887286754116,0.08678977909820418,0.0742814213326191
1,20,12.588910303720604,0.06028902620492514,11.588862001023315,0.059282665830911435,0.2234999999999996,1.0000483026972888,0.08455294878806809,1.4400006501363904,0.06450079153109942
9,19,5.106359218665525,0.05588264278658023,6.71474004247853,0.056167863996018884,-0.3542000000000005,-1.6083808238130046,0.07923192986850568,-1.6191681916413234,0.07621148194088509
