mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
2714550-01-1,Pfizer-01-02,-0.5034488635530487,0.03729263806023707,-2.716177617164429,0.03870954883402931,0.18699279939914426,2.21272875361138,0.05375100021791169,2.309778518895767,0.05260301628344023
Pfizer-01-01,Pfizer-01-02,-2.927456334067568,0.0419686613716708,-3.201632338962896,0.043592729363565855,0.2608974733131433,0.2741760048953278,0.06051193758833929,0.2958252523932927,0.05577940814737734
Pfizer-01-03,Pfizer-01-06,4.550731315911709,0.047589074271844396,3.1034022908236225,0.04974384537911449,1.6856811149845807,1.4473290250880861,0.06884163088678516,1.2183869075473392,0.06818329184167109
1832576-04-1,1832577-09-9,1.5490430457134714,0.051499033060494394,0.012419564959353169,0.04929219727348516,1.6458523495361632,1.5366234807541181,0.0712872437271499,1.3459158725927196,0.0645908716000267
Pfizer-01-04,Pfizer-01-02,6.026823058193243,0.048026425716631446,8.400575569187287,0.048756405453672984,-1.3973206272716654,-2.3737525109940436,0.06843774280233146,-2.5563400378426646,0.05799843376981421
Pfizer-01-05,Pfizer-01-02,4.015707812812068,0.05565146344408032,7.925952424566949,0.05620763353788762,-1.9130788378713888,-3.910244611754881,0.07909730369233377,-3.9134968948429547,0.05308338724646372
Pfizer-01-04,Pfizer-01-06,13.290070821043425,0.05558379815732579,14.475058941766635,0.05634649432940261,0.5493885220934898,-1.1849881207232094,0.07914850624495534,-0.6140223399351559,0.06614873620407548
1832577-09-9,2714550-01-1,-0.576874897274159,0.05769266565085128,0.925670543207466,0.05863941133056839,-0.3862229255251233,-1.502545440481625,0.08226192455259303,-1.489172498250019,0.06060755045773727
Pfizer-01-01,1832576-04-1,-2.330303113889993,0.0630305626065542,-0.8577686592521385,0.0628238707387365,-1.185724750097041,-1.4725344546378545,0.08899264327513944,-1.8706966408451748,0.06453892743358496
Pfizer-01-05,Pfizer-01-04,-1.2764345591811306,0.04471865354803489,0.3045984993737622,0.04787857127490299,-0.5157582105997234,-1.5810330585548928,0.06551423938713735,-1.35715685700029,0.0630064461673212
Pfizer-01-05,Pfizer-01-03,13.81309074557089,0.05145755901577512,16.954010276169466,0.05363624479319844,-1.6520508034908143,-3.1409195305985755,0.07432850822785214,-3.189566104482785,0.06513922200645071
1832577-09-9,Pfizer-01-03,25.752917090495984,0.06688942149439495,23.855574891511406,0.06675968250594262,0.06179790825459541,1.8973421989845811,0.09450423226580429,1.5445368110059174,0.06740417016099925
Pfizer-01-01,Pfizer-01-07,36.76690160655212,0.0678278287880335,37.91135987847847,0.0700128459433289,2.3819943006624023,-1.1444582719263527,0.09748032086110044,-0.7229064291212044,0.07328352909524764
1832576-04-1,Pfizer-01-07,41.29961642565989,0.072463889750892,40.01837397870601,0.0722324900161565,3.567719050759443,1.281242446953882,0.10231592218107395,1.1477902117239704,0.07432977940948128
Pfizer-01-05,Pfizer-01-06,18.47545613271432,0.0583144617685427,20.135527476706557,0.06214816368057501,0.033630311493766385,-1.6600713439922354,0.08522306436770724,-1.971179196935446,0.06188443247863607
Pfizer-01-07,2714550-01-1,-39.44779031456422,0.06951106791907061,-37.8464697871924,0.0705863822622702,-2.3080896267484032,-1.6013205273718294,0.09906677507683885,-1.2910468373812698,0.070895772691312
