mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
cmpd 3 (Allyl),cmpd 4 (Crotyl),1.6342523270174167,0.039708663446928485,4.388322591304284,0.03998877441700338,-1.5500000000000007,-2.754070264286867,0.05635494682914197,-2.227393311468422,0.04459652615875764
cmpd 2 (methyl),cmpd 6 (ethyl),2.8835285437626914,0.04476610336356044,2.7712276126681576,0.04280330972770632,1.0,0.11230093109453369,0.06193647821762984,0.20111187884160842,0.05464187980805166
cmpd 6 (ethyl),cmpd 7 (n-propyl),1.6715815474910598,0.04452655256755772,2.512056551377793,0.04147704999844765,1.5700000000000003,-0.8404750038867334,0.060851947874535676,-1.0177754765381,0.05256765794019088
cmpd 3 (Allyl),cmpd 6 (ethyl),2.5294085243627946,0.04798777632062038,1.2397706615521205,0.047947828808408866,-1.5,1.2896378628106742,0.06783672282501843,0.9627615604988078,0.049681689161112624
cmpd 5 (1-Butenyl),cmpd 7 (n-propyl),0.8945090414111123,0.04535824411983543,-0.17119413535177425,0.0451603772053343,0.6200000000000001,1.0657031767628866,0.06400648388220262,1.3004075492609095,0.053349845235661275
cmpd 5 (1-Butenyl),cmpd 9 (methoxyethyl),-4.319276999507555,0.050557786211111004,-5.239182911389971,0.05092032686364985,0.41999999999999993,0.9199059118824158,0.07175631982250306,0.8231759210507397,0.054582958864833664
cmpd 9 (methoxyethyl),cmpd 4 (Crotyl),3.3231897459041297,0.04876389005040995,4.661212353737719,0.051779434357377085,-1.4200000000000008,-1.3380226078335897,0.07112683597080917,-1.6951477672189599,0.049163319462942764
cmpd 2 (methyl),cmpd 7 (n-propyl),3.9640297896736585,0.05107945530748249,4.73499549903081,0.04741272526026466,2.5700000000000003,-0.7709657093571516,0.06969273470824947,-0.8166635976964915,0.05160045154062069
cmpd 2 (methyl),cmpd 3 (Allyl),2.794989106825212,0.052279502334666286,3.486993996271098,0.04831796985214986,2.5,-0.6920048894458865,0.07118828959171333,-0.7616496816571994,0.04865714927716632
cmpd 8 (n-Butyl),cmpd 4 (Crotyl),-8.908287069053998,0.05367848195778179,-9.339898844931039,0.052194161918060006,-0.9799999999999995,0.43161177587704064,0.0748706214988267,-0.10229379820742146,0.04929290659936755
cmpd 5 (1-Butenyl),cmpd 8 (n-Butyl),8.019099576388689,0.051700864003988344,8.581841422192674,0.051976636188111006,-0.02000000000000135,-0.5627418458039867,0.07331132278297908,-0.7696780479607988,0.054699708032481587
cmpd 3 (Allyl),cmpd 8 (n-Butyl),10.982014571502535,0.056926718240480914,12.41049801545578,0.05636467941509298,-0.5700000000000012,-1.428483443953245,0.08011010133058945,-2.1250995132610004,0.04786432784767292
cmpd 9 (methoxyethyl),cmpd 8 (n-Butyl),10.556636088850011,0.041566602548138105,12.326273767914994,0.04104479720409208,-0.4400000000000013,-1.7696376790649821,0.058416246241263445,-1.5928539690115384,0.052145716175886675
