mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
18 docked,19,-10.837485193105545,0.0356544545436819,-11.996001991808052,0.03630722009854319,-0.699819999999999,1.1585167987025062,0.05088668155904389,0.9789382782740326,0.053895614799647884
16 docked,19,-2.454591928471805,0.037759040662463945,-2.7540757065754335,0.0402993930191992,1.5321999999999996,0.2994837781036285,0.055224869664540516,0.21634375856583077,0.055599387736973004
16 docked,17 torsion adjust,5.260372026185081,0.04381716744462066,6.230255970379474,0.04358206902002231,1.457699999999999,-0.9698839441943934,0.06180081636140346,-0.614706461870318,0.0633242167522816
13 docked,12 docked,-0.47281507735743433,0.04771548019031573,0.2206185423306753,0.046901058567539754,1.30842,-0.6934336196881097,0.06690647460857736,-0.6626668355665135,0.07674858171843202
19,17 torsion adjust,8.505615310576639,0.04579585474877006,8.91935742574818,0.047140352976262095,-0.07450000000000045,-0.4137421151715413,0.06572269920580734,-0.8310502204361487,0.06094011096554696
18 docked,15 docked,-11.050975216008382,0.053917798940600226,-11.320360258125836,0.054589944254631984,-0.49421999999999855,0.2693850421174537,0.07672803305391594,0.4282244145365315,0.061647911871019534
18 docked,13 docked,-5.0536438658543625,0.05433013307256799,-4.292460703198288,0.05492192191352354,-0.3712699999999991,-0.7611831626560744,0.07725400226757267,-0.5083146673304455,0.06450534091027317
12 docked,11 docked,6.516624294022036,0.05712008105353248,4.226966916102013,0.05618768065924268,-2.36627,2.2896573779200238,0.08012339931272983,2.5163540458956497,0.08086600895330161
14 docked,11 docked,9.18951223369938,0.05713837225531677,9.739335463637278,0.0566739708775224,-0.10859999999999914,-0.5498232299378983,0.08047814957498345,-0.6474468645703961,0.069036586036753
17 torsion adjust,15 docked,-7.9862093815832464,0.058459625626472576,-8.291475396587249,0.05895679278574722,0.2801000000000009,0.3052660150040009,0.08302668994949072,0.28033635669864765,0.06789274532612556
14 docked,13 docked,2.8541125417259066,0.06170096296142823,5.088032660546303,0.06099916148747211,0.949250000000001,-2.233920118820397,0.08676350922215074,-2.5011340748995323,0.06416450423221068
14 docked,12 docked,1.8513145880322615,0.06453630476696193,5.247712337539875,0.06335428298363148,2.257670000000001,-3.396397749507614,0.09043616425603337,-3.163800910466046,0.068556490302448
21 (Xtal),22,-1.1474317454318348,0.046326598867918074,-1.2298633303215232,0.043358510637721955,0.0,0.08243158488968838,0.06345166827901719,0.03425337079203139,0.06853623737938855
21 (Xtal),16 docked,-0.16903420611244516,0.05771956377675089,0.36119445262670047,0.05420843634659107,1.2870000000000008,-0.5302286587391457,0.07918397952692723,0.29918515055097217,0.0602564759668884
20,15 docked,-16.140522482668406,0.060197300757017895,-16.508878779954177,0.06018501754021761,0.03850000000000087,0.36835629728577196,0.0851231540460477,0.19906140271685047,0.06956378932103474
21 (Xtal),14 docked,2.479147682071455,0.0649414522475432,-0.0253901539829278,0.06234937219538076,2.1984999999999992,2.504537836054383,0.09002686506359117,1.5294100384118572,0.05831323067082444
20,11 docked,-4.032911137542679,0.07016645352733854,-5.343293079707216,0.06834085149484996,-0.8963999999999999,1.3103819421645369,0.09794796161046587,1.1162095311790097,0.07647588744721762
24 pose 2,20,10.494040252265409,0.05384410753720506,2.3744427438793343,0.054264552730891015,3.0950000000000006,8.119597508386075,0.0764449448921363,7.864786514762917,0.07269270357656851
22,16 docked,2.671347761523637,0.06340808842939796,1.6308858454615336,0.0600703581428074,1.2870000000000008,1.0404619160621034,0.0873443392881044,0.2649317797589408,0.06673772664467022
24 pose 2,14 docked,-2.9358624928799935,0.0660836236974303,-12.491681480359997,0.06466382802188846,2.3072,9.555818987480002,0.09245786053888516,9.628442910512323,0.06482066031784435
22,14 docked,1.9468989269503862,0.06885174100763451,1.2706121463522462,0.06625387337745169,2.1984999999999992,0.67628678059814,0.09555175549040311,1.4951566676198258,0.06498856924890181
24 pose 2,16 docked,-4.321399210686077,0.0744055672801582,-12.327673243740934,0.07501869720853448,1.3957000000000015,8.006274033054856,0.10565980017560098,8.398218022651438,0.06657422946396586
