mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
cmpd 16,COc1cc(-c2nc(C)nc3[nH]c(C)c(C#N)c23)c(Cl)cc1Cl,-11.150520648751263,0.03913538948998213,-10.33
cmpd 14,COc1cc(-c2nc(C)nc3[nH]c(C)cc23)c(Cl)cc1Cl,-9.041439325229263,0.03980729989500944,-7.820000000000001
cmpd 15,COc1cc(-c2nc(C)nc3[nH]c(C)c(Cl)c23)c(Cl)cc1Cl,-10.770280182975602,0.03401795164382179,-9.61
cmpd 12,COc1cc(-c2nc(C)nc3[nH]cc(Cl)c23)c(Cl)cc1Cl,-11.111778237999,0.0360421858347951,-9.19
cmpd 13,COc1cc(-c2nc(C)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl,-12.107191405541732,0.04089806631210766,-10.15
cmpd 11,COc1cc(-c2nc(C)nc3[nH]cc(F)c23)c(Cl)cc1Cl,-10.093986092482936,0.038529633711399766,-9.19
cmpd 10,COc1cc(-c2nc(C)nc3[nH]cc(C(C)=O)c23)c(Cl)cc1Cl,-8.794914140325876,0.042120515282658755,-9.19
cmpd 17,CCc1[nH]c2nc(C)nc(-c3cc(OC)c(Cl)cc3Cl)c2c1C#N,-11.394137330138182,0.0418657729496923,-10.74
cmpd 7,COc1cc(-c2cc(C)nc(N)n2)c(Cl)cc1Cl,-5.249899997508342,0.04832572367986745,-9.41
cmpd 8,COc1cc(-c2cc(C)nc(N)c2)c(Cl)cc1Cl,-1.867274733318478,0.04938815877720892,-6.86
cmpd 9,COc1cc(-c2nc(C)nc3[nH]ccc23)c(Cl)cc1Cl,-8.828577905729304,0.04186265357523811,-7.920000000000001
