mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
3d,6d,10.631746308146537,0.038966218050763494,14.167798789739553,0.03845520653628244,-0.2125799999999991,-3.5360524815930163,0.05474640681293875,-3.584752058507033,0.04880226677020807
8d,5d,-24.25528446974972,0.040451042683955954,-20.918112824995276,0.03941290140114705,-2.6251000000000015,-3.3371716447544446,0.05647710731859207,-3.5725091669136546,0.04158577668690936
5d,6d,31.442108528958073,0.038156202613019205,28.585908377305156,0.038948277019105665,3.8476500000000016,2.856200151652917,0.05452397711651974,2.9639115983446214,0.044260264860171095
4d,7d,16.08402632179504,0.03920346777454301,19.33624581720106,0.04133331080051586,0.09190000000000254,-3.25221949540602,0.05696801266747571,-3.2183733322066885,0.051733895137617364
3d,5d,-21.272246895148506,0.0458319076026466,-14.478516197412999,0.04467987590721528,-4.060230000000001,-6.793730697735508,0.06400667985125999,-6.548663656851654,0.04595145297223505
8d,2d,-38.17223583470575,0.042495146740198754,-37.922357228511814,0.04365449939206618,-2.853300000000001,-0.24987860619393576,0.06092251483354025,0.09813259387050444,0.05065096023860221
8d,6d,7.170784388738904,0.04356691371263635,7.6998152951575936,0.04564688875535267,1.22255,-0.52903090641869,0.06310082743901099,-0.6085975685690332,0.04471579177767647
5d,7d,31.025021408793584,0.05221752508121631,35.562285144749936,0.048337380220113635,-1.9979999999999993,-4.537263735956354,0.07115597130354759,-4.791407161835352,0.046850232774101
3d,4d,-6.228148159239925,0.05158567187642297,1.6645847765157382,0.050931699756023116,-6.1501300000000025,-7.892732935755665,0.07249220360135054,-8.121697486480318,0.05092138671896193
2d,4d,27.719552037352653,0.051820651611174266,33.24521935808875,0.05036659269713667,-1.8617000000000026,-5.525667320736097,0.07226460816558794,-5.243675590412822,0.054831016581885314
2d,7d,43.71453170391708,0.05414784262451931,52.40577969572819,0.05321459708944723,-1.7698,-8.69124799181111,0.07591957721353508,-8.46204892261951,0.05505531092843283
