mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
butyl benzene,CCCCc1ccccc1,-6.276725164181708,0.04268408870427084,-6.66
propyl benzene,CCCc1ccccc1,-6.811584118895263,0.035833811089610625,-6.51
ethyl benzene,CCc1ccccc1,-6.130060876197083,0.019688119250384283,-5.72
benzene,c1ccccc1,-4.270815439665617,0.0367539039623865,-5.16
isobutyl benzene,CC(C)Cc1ccccc1,-6.351046101999265,0.038489208372803764,-6.44
m-xylene,Cc1cccc(C)c1,-3.8669544884525866,0.038539612453492536,-4.72
ortho methyl ethyl benzene,CCc1ccccc1C,-4.840001340836873,0.042145625555439915,-4.53
o-xylene,Cc1ccccc1C,-4.037162153363832,0.03501001767867717,-4.57
para methyl ethyl benzene,CCc1ccc(C)cc1,-6.994279719364908,0.03742609267822114,-5.38
p-xylene,Cc1ccc(C)cc1,-5.399986521371384,0.035488476761139164,-4.63
meta methyl ethyl benzene,CCc1cccc(C)c1,-4.7454561221901015,0.03732715175531717,-5.08
methyl benzene,Cc1ccccc1,-5.1559279534813784,0.02527492466251799,-5.48
