mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17,1h1q,1.2980183369559701,0.044100481731450855,0.5125029808609463,0.043922001324217676,0.7855153560950238,0.06224142261605698,-1.1399999999999986
17,1oi9,-8.432247994865003,0.05268424796761688,-7.709811061886753,0.052235779467340517,-0.7224369329782506,0.07419034061435474,-2.7
17,1oiu,-61.03916914668565,0.04750818542881563,-58.18587485935045,0.04539707870766377,-2.8532942873352063,0.06571090044983822,-2.04
1h1r,1h1q,2.2036223028753854,0.044288615393204785,0.8061943844240054,0.042398808276961214,1.39742791845138,0.06131182917475005,-0.5099999999999998
1h1r,1oi9,-7.707067698007003,0.05263769761835551,-7.313512045529158,0.052461623839047636,-0.39355565247784524,0.07431654719099347,-2.070000000000001
1h1r,1oiu,-59.48922595041891,0.04894408404559137,-57.97712929881034,0.04599406502866861,-1.5120966516085728,0.06716381005365396,-1.4100000000000013
1h1s,29,48.57182547968636,0.06148612881983624,47.76196348691784,0.05953898430964331,0.809861992768522,0.08558875329080012,1.369999999999999
1h1s,31,42.381713930703825,0.05547625674162317,40.53155996875929,0.05529662525280128,1.850153961944537,0.07832835901773527,1.71
1h1s,32,10.604978021955182,0.05304863303674739,8.217655981147377,0.04975595498447927,2.3873220408078053,0.0727310973620295,1.4999999999999991
1oiu,1h1q,62.267009846625186,0.057012550569810264,58.79208961256965,0.056371109680457845,3.474920234055539,0.08017563800233447,0.9000000000000015
1oiy,1oi9,7.065252671864454,0.05197519929538134,7.460383103053372,0.04736833726375895,-0.39513043118891805,0.07032197890366726,0.04999999999999895
1oiy,26,13.23647464174959,0.052438016095713684,12.464154285727417,0.05141557161204591,0.772320356022173,0.07343913490944558,1.359999999999999
1oiy,29,11.413739544036032,0.06579218446425787,11.565315760229762,0.06507367362252828,-0.1515762161937286,0.09253753041501737,-0.09000000000000116
1oiy,31,1.2100173527488784,0.06864620980420472,0.31609208551646806,0.06709561606364281,0.8939252672324105,0.09599022770804669,0.24999999999999983
20,1h1q,6.68984908255064,0.0500665801282873,5.490315081618288,0.04675392110297604,1.1995340009323514,0.06850249327028558,0.5400000000000019
21,1h1q,-1.3925562856197742,0.05173238077547823,-1.5672235391265326,0.050162916729599605,0.1746672535067584,0.07205940213129591,-0.3499999999999994
21,20,-6.211032806679643,0.05191086601815336,-6.276718069868379,0.05017195270220448,0.06568526318873588,0.07219392528950695,-0.8900000000000013
22,20,-7.795553334200136,0.04799648383242985,-5.593049444191944,0.04631699835686604,-2.2025038900081917,0.06670027583950934,-0.860000000000001
22,21,0.20620898001141125,0.05350599595518763,1.4181068090209543,0.05207246106239604,-1.211897829009543,0.07466212429506212,0.030000000000000387
22,32,-53.72170104349059,0.06552847739349743,-50.717750711931906,0.0662159722629689,-3.003950331558682,0.09315866214282152,-1.8900000000000008
26,1h1q,0.14859412036362069,0.05101835033988496,-1.396740123302513,0.049011846779835534,1.5453342436661337,0.0707462592380213,0.25000000000000155
26,1oi9,-10.235828582569852,0.045195342846127515,-9.499756662221602,0.0416069475048112,-0.7360719203482499,0.06143091319235882,-1.31
28,1h1s,-23.698593639131573,0.05232369370615869,-24.15704058139669,0.05082328175773839,0.4584469422651172,0.07294364188661254,-0.14000000000000012
28,1oiy,13.123032996690732,0.06734755371061399,10.918349465128694,0.06645906161830241,2.2046835315620386,0.09461765090081951,1.32
28,30,15.732519830829187,0.050625662463164044,13.805192783266586,0.05054749158321948,1.9273270475626008,0.07154024465424941,1.2999999999999998
30,29,13.614515961371646,0.06309418817965642,13.919772505508028,0.0594719095893761,-0.3052565441363824,0.0867051590867396,-0.07000000000000091
30,31,4.4696631522271835,0.04618414832393044,2.779594083925843,0.0472736353385092,1.6900690683013402,0.06608912281552201,0.2700000000000001
30,32,-30.297511753403814,0.0600789818005507,-30.307575825295746,0.05890743073808391,0.010064071891931524,0.08414017738484425,0.05999999999999908
