mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17124-1,18631-1,-3.984746586958577,0.055019311155190945,-5.742032697207315,0.054643052168358935,1.7572861102487378,0.0775434571725153,0.2700000000000001
17124-1,18637-1,-8.544059879851588,0.05960966305377047,-8.416369981841548,0.05807175895645857,-0.12768989801003863,0.08322043689912396,-0.46000000000000085
17124-1,18652-1,-15.316684431815421,0.05605101180221789,-14.40013760212952,0.05720918578340066,-0.9165468296859008,0.08009124085723744,-0.9999999999999993
17124-1,18660-1,-31.443777798691546,0.06591442351877358,-30.81270056661522,0.06391247811041902,-0.6310772320763283,0.09181239614576586,0.9800000000000008
18626-1,18628-1_flip,2.2876901314134375,0.05126797211863141,1.1589982306618696,0.05164968830376238,1.128691900751568,0.07277427613540774,0.1700000000000005
18626-1,18632-1,3.288767838807762,0.0468095448460812,3.2937160300825106,0.047092655235584306,-0.004948191274748375,0.06639918422567323,-0.21000000000000102
18626-1,18635-1,2.695339064427553,0.04953712422938707,1.6067432192219757,0.04861137023939267,1.0885958452055775,0.06940455311771007,1.5799999999999992
18627-1,18625-1,-1.855635677668388,0.05041480618602255,-1.650468361061184,0.049763348118123156,-0.20516731660720383,0.07083815002313182,0.3700000000000014
18627-1,18630-1,1.2409916244605317,0.03390850226006911,0.9035093099043345,0.03544123729182113,0.33748231455619726,0.04904964654608925,-0.66
18627-1,18633-1,3.0274813333424397,0.04730358428445577,2.9444384703686777,0.04901333400323973,0.08304286297376226,0.06811707565852887,-0.6899999999999987
18628-1_flip,18624-1,-1.0716398950831167,0.04418843849976304,-0.8153730209864607,0.04647705857042457,-0.2562668740966561,0.06413060946541843,0.20999999999999933
18628-1_flip,18625-1,-4.057473363258007,0.055915666865979326,-3.137616642121515,0.05369155997511879,-0.9198567211364918,0.0775199678381574,0.5899999999999992
18629-1,18624-1,0.5741194642065184,0.04368046580801198,-0.0391481629672369,0.04259906150013544,0.6132676271737553,0.06101363072213639,0.18000000000000063
18629-1,18635-1,1.6462517746466279,0.04549968085063947,0.6911785722827541,0.045855224549499335,0.9550732023638738,0.06459816232676478,1.3800000000000001
18629-1,18636-1,-3.8652126937047036,0.05385431133031036,-3.20132721230372,0.052962339938805135,-0.6638854814009834,0.07553341181659642,1.1600000000000006
18630-1,18624-1,0.4432010510395076,0.04387436288135955,0.08062885474085707,0.043461733682778045,0.3625721962986505,0.06175663537594923,0.6500000000000016
18630-1,18633-1,1.695936219052999,0.041524971556422666,2.042568244538803,0.03883546717443729,-0.34663202548580435,0.05685522643889924,-0.02999999999999869
18631-1,18624-1,2.497501791963969,0.052233221458874796,0.9316524240272569,0.05176907981595645,1.565849367936712,0.07354146482742051,0.92
18631-1,18625-1,-0.692861502748489,0.049072449088708975,-1.8004768038515828,0.04817745796334033,1.1076153011030938,0.0687689807643923,1.2999999999999998
18632-1,18624-1,-1.561679349037849,0.04899765808944737,-2.532311347983868,0.04823326595523147,0.9706319989460186,0.06875477032874502,0.5900000000000009
18633-1,18624-1,-0.9063291702885522,0.04855171348907128,-1.8781796316580945,0.0475189880088477,0.9718504613695425,0.06793616933644314,0.6800000000000003
18634-1,18631-1,-2.958830845233211,0.04950016957919957,-4.66342369708706,0.047663059739441724,1.7045928518538485,0.0687170579412063,0.5800000000000007
18634-1,18632-1,1.4604802781389772,0.05185219126988572,-1.2707554117648656,0.049847579062295685,2.731235689903843,0.07192656587006384,0.9099999999999999
18634-1,18637-1,-9.511052642402225,0.057524805684171065,-8.478923855357277,0.05609555445854134,-1.0321287870449476,0.08034808335618727,-0.15000000000000024
18634-1,18658-1,-4.8979526718618125,0.0401951089024481,-5.188205461754726,0.04040055343696203,0.2902527898929133,0.05698992452787148,0.29000000000000037
18636-1,18624-1,4.5744919704961475,0.050871424936827093,2.784601576955551,0.051786174619192375,1.7898903935405963,0.07259276655971116,-0.98
18636-1,18635-1,5.911844612721697,0.049318591198017764,4.4121890442590255,0.04918764631894905,1.4996555684626716,0.06965449007892612,0.21999999999999945
18638-1,18634-1,19.996050362564375,0.05784570259024487,19.396169873907407,0.05797306642876476,0.5998804886569671,0.08189628648060322,0.0999999999999996
18638-1,18639-1,76.15273001884411,0.06492708877459294,76.21304560211048,0.0636932621010824,-0.06031558326637706,0.09095250680339192,0.3499999999999994
18638-1,18652-1,5.065489705896692,0.04813449207614218,5.744453624367953,0.045673523964085055,-0.6789639184712607,0.06635510619934269,-0.5899999999999992
18639-1,18637-1,-75.63434084467642,0.06441529008296039,-75.70243257058239,0.06427004225514882,0.0680917259059715,0.09099432909775504,-0.4000000000000001
18639-1,18652-1,-71.1899478080318,0.07141155179602736,-70.47856383770824,0.06971472530787495,-0.7113839703235759,0.09979856038375083,-0.9399999999999986
18658-1,18660-1,-25.25298362445282,0.0640694521745736,-24.99800996384611,0.062370245829769376,-0.25497366060671267,0.08941444104179054,1.000000000000001
18659-1,18634-1,-0.2292302630588176,0.05431518390116755,0.19687448736997798,0.05051029789974387,-0.4261047504287956,0.07417162123169833,-0.5199999999999999
18659-1,18658-1,-5.197930379158135,0.05499658721224526,-5.6709120962881,0.053025713683295325,0.472981717129965,0.07639601374821144,-0.2299999999999996
18659-1,18660-1,-21.71561093160938,0.06038570249004064,-20.58195514693802,0.059053125961532726,-1.1336557846713566,0.08446126183668079,0.7700000000000015
