mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17a,17b,16.49458684284608,0.06945149346566934,17.035845505479998,0.0680991555564441,-0.5412586626339189,0.09726769726950812,-0.6411999999999991
17a,27a,16.36986030738639,0.06851649425859611,15.872515924549777,0.06702846982371956,0.4973443828366118,0.09585053861297554,1.7872
17b,17d,11.54980493503224,0.052928214938469,12.223145416583028,0.05033010463227638,-0.6733404815507879,0.0730377667297451,0.1909999999999979
17b,27b,20.01377100260475,0.07399070825306209,19.210831173216782,0.07479172865166925,0.8029398293879677,0.10520659476712795,1.6098599999999987
17c,17d,13.16217353345517,0.05579996898564976,13.129070815024651,0.05571701479391363,0.03310271843052047,0.07885443726477709,0.35469999999999796
17c,17e,17.05795051409735,0.06153562483686797,17.715373666697776,0.06141235474182665,-0.6574231526004243,0.08693739379001258,-0.20459999999999923
17c,27c,19.938861020525042,0.07500087973756148,19.447350037118568,0.07240887429901181,0.4915109834064744,0.10425054934463536,1.7325999999999993
17d,17g,-5.796210939795281,0.05295268250888099,-2.6754181197295197,0.05038088317138793,-3.1207928200657618,0.07309049167994008,0.2729000000000014
17e,17f,-0.3019159063863364,0.0552558541822334,0.5169393105838912,0.052084219841255455,-0.8188552169702276,0.07593401989806986,0.31379999999999886
17e,27e,18.29842854128093,0.07524970984929118,19.36447135620226,0.07366385928735178,-1.0660428149213281,0.10530376535295058,2.5920599999999996
17f,27f,19.779658970200632,0.07323194557694211,19.09710003087932,0.07390723898543819,0.6825589393213095,0.1040442109270616,2.537470000000001
17g,27f,33.20341899925034,0.08370177667796873,30.553968399277075,0.08321654494734794,2.649450599973259,0.11802957583598497,2.019070000000001
17g,27g,20.593388782835614,0.07481646700292731,19.42949339257078,0.07380366460063058,1.163895390264834,0.10509274305718012,-1.1322999999999994
27a,27b,12.2743808338967,0.06884817761933175,12.904889317930875,0.06759188973526892,-0.6305084840341737,0.09648178646505155,-0.8185400000000003
27a,27d,22.714088322441153,0.07119140279261588,25.29988989580256,0.06851930192148857,-2.5858015733614086,0.09880845392671916,-0.12278000000000025
27b,27c,-3.9354943776631037,0.06425814495946851,-3.271301385356236,0.0629299242161101,-0.6641929923068677,0.0899404500515615,-0.040959999999999594
27c,27e,17.995710854457787,0.0620658172922789,17.847254772862225,0.059518811805816384,0.148456081595563,0.08599217775434423,0.6548600000000009
27d,27e,5.075976169020254,0.07296285820221218,5.409057815084326,0.07186896888481711,-0.3330816460640722,0.10241448806493607,-0.08185999999999871
27d,27g,-5.414274966937412,0.05277771961806433,-2.7189901729364028,0.05028126396626766,-2.6952847940010094,0.07289508347020736,-2.974019999999999
27f,27g,-13.13096815990015,0.0619281215142829,-11.656400484406117,0.06127648177862528,-1.4745676754940324,0.08712002900283025,-3.1513700000000004
8a,17a,-12.536896061091188,0.07053426970523664,-9.630309874504427,0.06892934637589267,-2.9065861865867624,0.09862219828547147,-3.1514499999999996
8a,8b,17.42955543925293,0.06898640663016428,17.739449313563096,0.06968372760920959,-0.3098938743101678,0.09805583202062432,-0.7230499999999991
8a,8c,13.054049638648932,0.06711945906490091,14.536282395278148,0.06888823097419414,-1.4822327566292157,0.09618009228483215,-0.5184100000000001
8b,8c,-4.9257132410731606,0.04552270823849678,-3.3233163454963175,0.04543561017630232,-1.602396895576843,0.0643172732433536,0.20463999999999896
8b,8d,10.105908774471281,0.05175568983861211,11.514051262598064,0.051451965131637946,-1.4081424881267832,0.0729791487109702,0.16370999999999877
8c,8e,18.44690575087061,0.06376569886453469,17.707698320344342,0.06022742459259601,0.7392074305262697,0.08771206886591697,-0.10914000000000088
8d,8e,5.66610153724355,0.051869921110163135,5.556996888271204,0.0485232882593831,0.10910464897234652,0.07102815089440054,-0.06821000000000067
8d,8g,-6.033033774493009,0.05179438275225591,-2.693150262374441,0.05190194307795572,-3.339883512118568,0.07332441462401551,-2.005409999999999
8e,8f,-0.3922253263217354,0.05084842018470386,0.04098289078213016,0.04982577285490456,-0.43320821710386553,0.0711910772208761,0.9549700000000011
8f,17f,-11.878356038177092,0.07928290732543294,-7.03394433443962,0.07652699969132977,-4.844411703737472,0.11019147460547923,-4.174569999999999
8f,8g,-13.997363453330593,0.06164186509986617,-11.879176323373688,0.060918722282848746,-2.1181871299569033,0.08666493095575022,-2.8921699999999997
8g,17g,-11.261783973077343,0.0801972379247424,-6.629647757571862,0.07745465466794468,-4.63213621550548,0.11149358950400827,-0.764
