mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-8.780983827963052,0.07884553576210189,-11.2832
42-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-12.62808512584921,0.0736304441540466,-11.5248
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-5.952546867093634,0.114842544483918,-8.33796
16-flipped,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-8.67567194708355,0.10393132670661022,-9.29013
17-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-7.604654746456661,0.09604100874925074,-8.99273
18-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-9.810676858911496,0.07482814511285009,-10.9787
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.893637576575944,0.06652213955719628,-7.687929999999999
44-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-13.383923466900715,0.08192477907934657,-11.5248
45-flipped,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-12.3574388223013,0.08213258220050486,-11.1913
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-10.885826162962937,0.05073922830880619,-10.7371
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-7.792346582669502,0.06778933039959673,-9.79395
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-5.703610243528625,0.07768268053155745,-8.4639
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-9.918389281626187,0.06206259373088492,-11.1117
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-13.521008858390108,0.07166949977909563,-11.1913
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-11.45249270214609,0.06600173839166086,-11.2832
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-12.008409677517415,0.05912859198579704,-10.6986
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-9.804879070197206,0.05803949878564928,-9.54958
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-7.042576440349728,0.07793023895212128,-9.75447
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-8.740398295888092,0.08083481086483887,-9.01441
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-8.69547833519982,0.07551604622307015,-10.3442
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-10.87671975644912,0.07219945317480263,-10.2855
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-8.528263086882882,0.07591476373948053,-10.2153
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-7.759954608199302,0.07542498556918492,-9.25606
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.425606756807449,0.07102348942611517,-11.5248
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-12.552454695063338,0.07140172136399961,-11.6963
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-14.788662308024866,0.06515495311971861,-11.938
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-14.07386829589784,0.0662678517206433,-11.5248
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-12.664442118171566,0.06611617890737832,-11.3918
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-12.969942791724236,0.08465667909948986,-11.1913
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.229467842711195,0.08273761154566918,-11.2832
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.157333013846658,0.0814850513408491,-11.5248
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-10.84406983661028,0.07941299486577681,-11.938
