mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL1078774,CHEMBL1078691,-0.6869067935422433,0.04382994863125922,-0.7935948841783292,0.04182113491336848,0.10668809063608604,0.06058111688027045,0.4131000000000003
CHEMBL1078774,CHEMBL1089056,8.990216838701775,0.04864855208234796,7.230118147141106,0.049042098214064245,1.76009869156067,0.06907828180366711,1.1647799999999995
CHEMBL1084115,CHEMBL1078998,2.7180864083880567,0.060097647769807166,2.8802220732744996,0.058604505639294355,-0.16213566488644326,0.08394173782267016,-0.9348800000000018
CHEMBL1078691,CHEMBL1084115,2.215810714355396,0.06224558268284243,1.7054502560921267,0.058778353490887586,0.5103604582632691,0.08561195829220536,0.7516799999999991
CHEMBL1078774,CHEMBL1084115,2.4348471625452444,0.060448995931660185,1.0087849023302573,0.0608768517695807,1.4260622602149868,0.08579086309462897,1.1647799999999995
CHEMBL1078691,CHEMBL1078998,5.796625701755188,0.06434744856613524,4.7838754057673585,0.06095789108794743,1.0127502959878296,0.08863666635688348,-0.18320000000000264
CHEMBL1089056,CHEMBL1088740,-5.773540314588101,0.04058117675735462,-8.04783630737901,0.03728100357112946,2.274295992790909,0.055106307572565835,0.7466499999999989
CHEMBL1089056,CHEMBL1078998,-3.885947156013811,0.0571158663474502,-3.299960258414138,0.05674681868897405,-0.5859868975996728,0.0805134996130406,-0.9348800000000018
CHEMBL1085895,CHEMBL1088740,24.01892174631577,0.07187846362515435,19.608612160800032,0.07265711497790245,4.410309585515737,0.1022035708281505,2.1708300000000005
CHEMBL1089393,CHEMBL1088740,2.291809004415727,0.034128623453683976,1.908607830375635,0.034158781548023244,0.3832011740400922,0.04828649185526861,-0.32123999999999975
CHEMBL1085895,CHEMBL1093088,17.494752558683153,0.07035532728932463,15.93581224622119,0.06810821070848129,1.558940312461965,0.09792139931546563,-0.36129999999999907
CHEMBL1089393,CHEMBL1078691,-2.323167154911924,0.05468723570744775,2.001745287030763,0.054424396251621564,-4.324912441942686,0.07715379871837463,-1.819569999999998
CHEMBL1089056,CHEMBL1093088,-11.441960655360052,0.06982144479559223,-10.66386257410684,0.06612329367299788,-0.7780980812532128,0.09616300806188133,-1.7854800000000006
CHEMBL1089393,CHEMBL1085895,-21.457940792484433,0.07383258453402126,-17.68856212922675,0.07209914210802562,-3.7693786632576844,0.10319659312054187,-2.49207
CHEMBL1093088,CHEMBL1088740,6.135566483182084,0.06174453271306523,3.271873111061631,0.061702477958720414,2.863693372120453,0.08729022342852125,2.5321299999999995
