mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3259820,CHEMBL3265015 flip,7.554883037830312,0.06034827367679299,5.336433994581211,0.057021354943261215,2.2184490432491004,0.08302619499492005,1.0983799999999997
CHEMBL3259820,intermediate_1,21.486481120982805,0.08804793849418827,21.31426862546654,0.08709855259879695,0.17221249551626508,0.12384909098528646,
CHEMBL3264996,CHEMBL3265003 tautomer 2,22.305205932164096,0.06958231880787182,23.226647388007127,0.06839267345794171,-0.9214414558430309,0.09756667911436237,-0.15509999999999968
CHEMBL3264996,intermediate_1,4.297764349351575,0.05573925006820275,2.867494078797009,0.05442685139941447,1.430270270554566,0.07790472483373255,
CHEMBL3265002,CHEMBL3264996,-20.26869220726793,0.06538082959351121,-20.86503375337251,0.06412309447438976,0.5963415461045838,0.09157742147116431,-0.048599999999999234
CHEMBL3265002,docked CHEMBL3265004,4.967093021592335,0.04772191615779389,4.959385950450699,0.04847316803769574,0.007707071141636228,0.06802227062795094,-0.24019999999999847
CHEMBL3265002,intermediate_1,9.329234475743688,0.05604380778028236,8.288982797342317,0.05490841354101909,1.0402516784013707,0.07845917580566855,
CHEMBL3265005,CHEMBL3265010,7.769619695035564,0.0507829053007261,6.685684597809852,0.051013322149515955,1.0839350972257127,0.0719809871251625,0.19089999999999938
CHEMBL3265005,CHEMBL3265011 flip,7.637558822528893,0.04745572643796048,4.755450413412735,0.04544069980792918,2.882108409116158,0.06570314429910395,1.68541
CHEMBL3265006,CHEMBL3265005,-6.299253442022804,0.048519994692323154,-5.78376246519786,0.04855214449454826,-0.5154909768249449,0.06864037164790529,-0.3652599999999997
CHEMBL3265006,CHEMBL3265011 flip,1.1388899904867367,0.06237530322139154,-0.895127452692443,0.05629125809276749,2.0340174431791795,0.08402014157109651,1.3201500000000004
CHEMBL3265008,CHEMBL3265006,4.944120981397235,0.06053403503535512,4.79825485180186,0.05993815496022777,0.14586612959537545,0.08518774452758963,-0.1736800000000012
CHEMBL3265008,CHEMBL3265022,33.755232385196024,0.0671076876992417,33.091217339662386,0.06634288432637525,0.6640150455336352,0.09436535407172363,-1.0069400000000008
CHEMBL3265009,CHEMBL3265010,0.2791927743504783,0.04575517284506591,0.16880037872357945,0.044294287683450596,0.11039239562689883,0.06368296289798504,0.16519999999999835
CHEMBL3265009,CHEMBL3265011 flip,-0.28177305241335876,0.05841034679605102,-1.6358464719246877,0.05531409690151188,1.3540734195113289,0.08044512371091733,1.6597099999999991
CHEMBL3265012,CHEMBL3265013,5.0257543613308595,0.05213064266456545,5.79187134917271,0.051140755529494555,-0.7661169878418504,0.07302726053158601,0.7330800000000021
CHEMBL3265012,CHEMBL3265015 flip,7.909251647303645,0.06426609341237151,5.309356965812239,0.06018913408079855,2.5998946814914055,0.08805034141832731,1.0689800000000007
CHEMBL3265012,CHEMBL3265018,21.682712171674318,0.06897129236559192,22.797635135257135,0.06778279256426312,-1.1149229635828175,0.09670339258986668,-0.6413999999999979
CHEMBL3265012,intermediate_1,21.102193618185613,0.09086609852340534,21.150511772398303,0.08833366748942234,-0.048318154212693844,0.12672602208306324,
CHEMBL3265014,CHEMBL3259820,-5.621508789926966,0.0518862256261897,-7.388139623234951,0.05119770113807326,1.7666308333079859,0.07289296956192232,-0.17550000000000082
CHEMBL3265014,CHEMBL3265008,-8.546558879519623,0.057884959413430734,-8.660338615415943,0.058031251482619,0.11377973589631972,0.08196520404984968,0.6158400000000002
CHEMBL3265014,CHEMBL3265012,-5.639351122674125,0.03999610690245299,-7.235740392805223,0.04001638711546672,1.5963892701310984,0.05657737891708433,-0.14610000000000178
CHEMBL3265016,CHEMBL3265021,-8.898380566830816,0.04354380560068304,-8.734152928507942,0.04121357226459636,-0.16422763832287351,0.05995516278853042,0.7989999999999996
CHEMBL3265018,CHEMBL3265005,-23.379821969054632,0.06997902766993792,-23.916421426188236,0.06964758740484812,0.5365994571336044,0.09873120451481333,0.8643999999999988
CHEMBL3265018,CHEMBL3265013,-15.5350185523515,0.07554612510795004,-16.89630709030479,0.07295881129455292,1.36128853795329,0.10502478357197516,1.37448
CHEMBL3265019,CHEMBL3265021,11.532039328579003,0.04372341085175855,10.054732461188241,0.04269895641568941,1.4773068673907637,0.06111413531664029,-0.11370000000000115
CHEMBL3265019,intermediate,-9.097820083110246,0.05720305335421848,-12.41902609422045,0.056088560918557906,3.3212060111102057,0.0801131448575098,
CHEMBL3265020,CHEMBL3265016,0.2763533572662413,0.03799839126839282,0.168927493710713,0.03690299032614871,0.10742586355552829,0.052968938388433806,-0.6864000000000009
CHEMBL3265020,CHEMBL3265026,-4.956992228559897,0.07555292988960338,-4.16340969344231,0.07681300386559997,-0.7935825351175865,0.10774266925299372,-0.35800000000000193
