mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
1a,1b,-0.03282304853388433,0.048491259832441055,1.7197588740834235,0.047760821981512644,-1.7525819226173078,0.06806245952422711,-1.3866100000000006
1a,3a,6.312925466031993,0.05584256350287174,8.529571439465778,0.05447188885427391,-2.2166459734337858,0.07801011840732351,-2.4459399999999984
1a,5a,-3.8795007769149743,0.05527658482096303,-1.1477734708359362,0.05381717674340017,-2.731727306079038,0.07714784081294494,-2.20794
1b,3a,12.116344959134079,0.05281028042440896,13.751736087519827,0.05253035362574458,-1.635391128385749,0.0744873396662177,-1.0593299999999979
1b,5b,3.574035599999007,0.06069248681403797,4.691448826522519,0.060859787083491775,-1.1174132265235122,0.08595051855294492,-0.5372299999999984
3a,3b,-1.3053210810238496,0.04070398308070802,-2.100307355752901,0.039745218616318224,0.7949862747290515,0.056890215692098525,-0.522800000000001
3b,5d,-15.977153689334054,0.04291737260305882,-15.687614634175997,0.04197113173943504,-0.28953905515805817,0.06002896609670031,0.6342000000000005
3b,7,-18.715586333131924,0.04947329525939009,-19.776975872596235,0.04833213101345034,1.0613895394643118,0.069163587472919,3.1224899999999995
5a,5c,3.346888509329957,0.04565920283736925,3.3978591902921442,0.04715625189205099,-0.050970680962187084,0.06563897391223138,0.7980900000000006
5b,5j,1.0941017562043116,0.04146289413921738,0.7102745141130871,0.040087850220886456,0.38382724209122465,0.057673280864991315,-0.6100000000000011
5d,5n,7.07571557234131,0.05227601873379808,7.158331416561656,0.05020523515789976,-0.08261584422034578,0.0724799818702821,0.1704999999999982
5d,7,-4.254034971838914,0.038025706902006094,-4.0140794764607755,0.037763832108562836,-0.23995549537813812,0.05359161689034019,2.4882899999999992
5e,5j,3.2196438490171633,0.05045063261223879,4.761164492995892,0.05298656800983659,-1.541520643978729,0.07316312404781612,-0.9768000000000004
5e,5k,2.0296082869937213,0.05072637310969813,3.0043716079438125,0.05211926569067344,-0.9747633209500912,0.07272951797584881,-0.8558000000000001
5e,5p,13.602783903409874,0.0660523358462057,14.06384899109912,0.062000136843865274,-0.4610650876892469,0.09059209700298348,-0.39569999999999905
5e,7,-3.4383068341867054,0.04891249572945309,-3.2067589061874164,0.048301927136666596,-0.23154792799928883,0.06874233341689541,1.7107899999999998
5f,5g,-3.2807383751836907,0.043830350445536154,-2.596262848044344,0.04311504698013697,-0.6844755271393465,0.06148176067971647,-0.5428999999999982
5f,5h,5.989427402150879,0.04080435288777795,4.585443688752045,0.037681116056974835,1.4039837133988342,0.05554153150471743,0.21330000000000154
5f,5i,-2.390541001465076,0.03551022226845704,-2.1928634428562104,0.033497382176454225,-0.19767755860886543,0.048816498217617535,-1.8158000000000007
5f,5k,-2.396476247682175,0.04115108427652985,-3.2614185848971804,0.039331937781099655,0.8649423372150055,0.056924626188938274,-0.7002999999999996
5f,5l,1.0931301859952787,0.043300362558186305,1.3009020512982346,0.04567616001478414,-0.2077718653029558,0.06293832688725168,0.17050000000000162
5g,5h,8.965543551860094,0.04971197907651775,7.25475197793591,0.04853217332465725,1.7107915739241844,0.06947411540508243,0.7561999999999997
5g,5i,0.792334944441887,0.036478174769858644,0.3808457428151205,0.034341959920544125,0.41148920162676655,0.05010017410872552,-1.2729000000000026
5h,5a,-8.800628499769878,0.05258350276186814,-8.15109078944661,0.05351054143242259,-0.6495377103232708,0.0750226819508501,-0.7087000000000012
5i,5m,-1.3457463577787234,0.04020241580495303,-2.1723092412122247,0.039416996976588604,0.8265628834335014,0.056302165919320836,-0.6099999999999994
5j,5c,1.6108977497225416,0.04815758872145856,1.1546449516481943,0.05081166235769915,0.45625279807434727,0.07000698810131722,1.123990000000001
5k,5m,-1.419430775985647,0.0353408764942841,-1.1576266732926233,0.03304502133463307,-0.2618041026930238,0.048383375103340995,-1.7255000000000005
5l,5b,-3.145728820440851,0.043198547795490906,-3.68620867368147,0.04655898719247212,0.5404798532406192,0.06351262724866683,-0.3818000000000004
5l,5c,-0.8984008814442896,0.05062907480507701,-1.7222346971288913,0.05331916601023286,0.8238338156846017,0.07352711526807545,0.13218999999999942
5m,5o_adjust,6.991580686567772,0.05044685760837901,7.229717090468637,0.05000721436903032,-0.23813640390086485,0.07103243577064086,0.6509000000000003
5n,5o_adjust,0.34642668974730445,0.04790853286950534,1.1594556842143193,0.048674670478803035,-0.8130289944670148,0.06829678665887973,-1.3233999999999992
5p,5n,-6.007627894733156,0.04107118628026965,-5.92387429215003,0.04124008516409166,-0.08375360258312668,0.05820298073819023,-0.2113000000000022
5p,5o_adjust,-5.097807783997181,0.058691943961049674,-4.714911621563155,0.05487424214771149,-0.3828961624340268,0.08034878180291641,-1.5347000000000013
