mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
12,COC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-10.355534621971044,0.03905747251339867,-9.83296
14,CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-9.886404700889385,0.031018764508739943,-11.0316
15,CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-10.105377319329817,0.0437746708726953,-9.72018
22,CNC(=O)c1cc2c(Oc3ccc(I)cc3)cncc2s1,-10.109034247093726,0.03885553371108228,-11.2901
13,NC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-12.659528018482177,0.04463742377189496,-11.1972
19,CC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-13.098475477515931,0.03785478318648434,-10.2248
20,CCC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.99188929970572,0.0443477456509216,-10.2831
21,O=C(c1cc2c(Oc3ccc(Cl)cc3)cncc2s1)C1CC1,-10.576458417984846,0.04370015448453407,-9.86234
17,O=C(NC1CC1)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-7.887268153569503,0.04921324527485727,-10.3953
16,CCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-7.803109743457837,0.04353058624805982,-10.6355
