mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
1832576-04-1,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.142437657847378,0.053889461003801466,-10.031196069300446
1832577-09-9,CO[C@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-9.308089971078024,0.046799879139372,-8.385343719764283
Pfizer-01-07,Cn1ncc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)c21,-9.481582945401408,0.05702799471902152,-6.463477018541003
2714550-01-1,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.503480491465417,0.04071888647884317,-8.771566645289406
Pfizer-01-03,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)n2n1,-7.457076292802193,0.04994724820780763,-8.323545811509687
Pfizer-01-02,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C(C)C)n2n1,-8.623355272157417,0.03301775271269181,-8.584573845890262
Pfizer-01-01,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2ccnn12,-8.492824212472954,0.04684675326526533,-8.845471319203405
Pfizer-01-06,Cc1nc2c(C3CC3)c(NC(=O)Nc3ccnc(C(F)(F)F)c3)cnc2n1C,-5.583106648726784,0.05468815137340419,-6.6378646965251065
Pfizer-01-04,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C)n2n1,-5.84153082380389,0.042598905574360114,-7.187253218618596
Pfizer-01-05,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)cn2n1,-4.468303036905598,0.04544782224155567,-6.671495008018873
