mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
cmpd 2 (methyl),cmpd 3 (Allyl),1.2553347876045784,0.04813048017984281,3.459087421219366,0.04936510014324231,-2.2037526336147875,0.06894531336134882,2.5
cmpd 2 (methyl),cmpd 6 (ethyl),1.5513472223355873,0.044773032085973864,2.7759321491141935,0.04314861021904176,-1.2245849267786064,0.062180599595102325,1.000000000000001
cmpd 2 (methyl),cmpd 7 (n-propyl),1.6569269459061329,0.04624898334775562,4.672510008689264,0.04624107113774454,-3.0155830627831315,0.06540034495831752,2.570000000000001
cmpd 3 (Allyl),cmpd 4 (Crotyl),2.2616352704366927,0.039542291859331356,4.397358724672941,0.04162969224941903,-2.135723454236248,0.05741623570271637,-1.5499999999999996
cmpd 3 (Allyl),cmpd 6 (ethyl),2.345506488637089,0.04665006967455571,1.3920641017091226,0.04733281082969142,0.9534423869279663,0.06645768564793884,-1.4999999999999991
cmpd 3 (Allyl),cmpd 8 (n-Butyl),10.717348175942284,0.05558779302501977,12.503369640821377,0.056125704640437944,-1.7860214648790935,0.07899428748193196,-0.5700000000000006
cmpd 5 (1-Butenyl),cmpd 7 (n-propyl),1.1757011757062215,0.04426658679336967,-0.10436974440797317,0.04417275005057949,1.2800709201141947,0.06253609000701835,0.6200000000000004
cmpd 5 (1-Butenyl),cmpd 8 (n-Butyl),8.054790529527969,0.05290927269503698,8.536469732521146,0.052278358129201015,-0.48167920299317735,0.07438022496472288,-0.020000000000001107
cmpd 5 (1-Butenyl),cmpd 9 (methoxyethyl),-3.756590734701134,0.050657398812349284,-5.235327952540168,0.049134248489775885,1.4787372178390348,0.07057156955239446,0.4199999999999995
cmpd 6 (ethyl),cmpd 7 (n-propyl),1.0108903428333254,0.041261567296421296,2.616622374387893,0.041035508064824505,-1.6057320315545676,0.05819303960007056,1.57
cmpd 8 (n-Butyl),cmpd 4 (Crotyl),-8.873810126294781,0.05425246872106499,-9.05776134893593,0.0555549997585032,0.1839512226411488,0.07765106799328278,-0.9799999999999991
cmpd 9 (methoxyethyl),cmpd 4 (Crotyl),3.175472944735673,0.0512067535513283,4.794335420182528,0.052678118194872316,-1.618862475446855,0.07346506479830678,-1.4199999999999997
cmpd 9 (methoxyethyl),cmpd 8 (n-Butyl),10.538294984981698,0.039938664180048544,12.09822938632825,0.04082641986418193,-1.559934401346551,0.057112988500105315,-0.4400000000000006
