mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
"11, 3VHC","17, top conformer",-37.31863767231662,0.0903942880078161,-37.9943091300249,0.09052853289431664,-0.7330000000000005,0.6756714577082807,0.1279317887486819,0.21002248038567473,0.0878812598565688
13,"11, 3VHC",-9.957119490218256,0.07881356264338651,-9.364326459666362,0.0800363910076247,-0.9310999999999989,-0.5927930305518926,0.1123272074880721,-1.2735543162375684,0.0899168971522065
13,12,-5.235469516339083,0.07467657189311316,-5.897961141809706,0.0738992282673132,0.1053999999999995,0.6624916254706229,0.10506039371814556,0.28222838017683927,0.09146205331707472
13,9,7.487847023929132,0.08254626529037654,6.2934132649790495,0.08327325292325558,1.5533000000000001,1.1944337589500824,0.11725323264545721,2.409861095730541,0.0877199573326974
"16, 3VHD",12,39.616026523675494,0.09039498422519297,37.280076126475436,0.09128254414581341,1.5825999999999993,2.3359503972000577,0.12846694531592653,2.574371921783337,0.07622931327702448
"16, 3VHD","17, top conformer",1.2435320299412387,0.07470438969516395,-0.19853552252461895,0.07299903497716852,-0.18689999999999962,1.4420675524658577,0.10444905431512912,1.228611705754604,0.08342483452371684
"16, 3VHD",7,42.80224548857814,0.08859778208032963,40.244047799726495,0.08877370208718413,3.243080000000001,2.5581976888516373,0.12542064093209576,2.359356118561525,0.0864493894462323
18 minimized,"11, 3VHC",25.537998807763014,0.09140409787080682,26.722880932867405,0.08928430544796293,0.9826000000000015,-1.1848821251043906,0.1277747874461201,-1.463558831662107,0.09068006887564907
18 minimized,"16, 3VHD",-1.0987027743519715,0.07515964385981111,1.037500959941052,0.07435896172678971,0.43650000000000055,-2.136203734293024,0.10572713584610065,-2.4821480570310364,0.08636817743025625
18 minimized,"17, top conformer",-2.0792422277735594,0.07572747257656746,-0.26639767406688675,0.07689892970068059,0.24960000000000093,-1.8128445537066726,0.1079263429008182,-1.2535363512764324,0.09824422887584895
"8, 3VHA","11, 3VHC",-14.345739069110955,0.060446116310193004,-11.023836962752874,0.05933590156390966,-2.0421999999999993,-3.3219021063580807,0.08470231514774172,-3.0164702366470255,0.07677068573395027
"8, 3VHA",9,5.463235348257664,0.0752328122553517,3.5331815612363107,0.07209652481337107,0.4421999999999997,1.9300537870213526,0.10420117528134713,0.666945175321084,0.07418544809483008
9,12,-14.171247106963696,0.061660192385447905,-11.892708412109773,0.06116771142757041,-1.4479000000000006,-2.278538694853923,0.08685314183319436,-2.127632715553702,0.07863881702012529
9,7,-8.94167602955725,0.08194048635676889,-7.224112387081301,0.07954423095735898,0.21258000000000088,-1.7175636424759484,0.1141995095566592,-2.3426485187755137,0.08858133141505803
lig_3B27,"16, 3VHD",33.9123200250508,0.0859594717512709,39.87665210327983,0.0836939539211686,-5.7008,-5.964332078229034,0.11997378341419526,-5.774507229314992,0.08217723644933003
lig_3B27,7,64.5483192615392,0.07706325038213636,68.69152544056523,0.07798154217295693,-2.4577199999999992,-4.143206179026021,0.1096351470976917,-3.4151511107534667,0.09725923372899803
lig_3B27,"8, 3VHA",69.52521177291487,0.08080722879551722,70.31934946979861,0.07928673857898275,-3.1125,-0.7941376968837355,0.11320863544846312,-1.739447767299037,0.08435749509864697
