mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
"11, 3VHC",Cc1cc(C)c2cc1C(=O)NCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-12.614371964508464,0.05609840558277944,-12.1947
"17, top conformer",Cc1cc(C)c2cc1C(=O)NCCCCNC(=O)CCSc1cc-2nc(N)n1,-12.40434948412279,0.0676467643353897,-12.9277
13,Cc1cc(C)c2cc1C(=O)NCCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.340817648270896,0.0702710273480505,-11.2636
12,Cc1cc(C)c2cc1C(=O)NCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.058589268094057,0.058543060326779604,-11.1582
9,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCCO2,-8.930956552540355,0.052504986714594935,-9.7103
"16, 3VHD",Cc1cc(C)c2cc1C(=O)NCCCNC(=O)CCSc1cc-2nc(N)n1,-13.632961189877394,0.048822313446433334,-12.7408
7,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCO2,-11.273605071315869,0.07134338543526342,-9.49772
18 minimized,Cc1cc(C)c2cc1C(=O)NCCCCCNC(=O)CCSc1cc-2nc(N)n1,-11.150813132846357,0.07124495618892919,-13.1773
"8, 3VHA",Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCO2,-9.597901727861439,0.05240903623547123,-10.1525
lig_3B27,CSc1nc(N)nc(-c2ccccc2Cl)n1,-7.858453960562402,0.06610204157351958,-7.04
