mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2,O=C([O-])c1sc2ccccc2c1Cl,-5.397765226988067,0.02648616473583181,-5.33
3,O=C([O-])c1sc2cccc(Cl)c2c1Cl,-7.163390869768174,0.0461317485294194,-6.39
13 flipped,Cn1c(C(=O)[O-])cc2ccccc21,-3.629326494280666,0.04441342260770692,-5.21
10,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-6.012643998118739,0.04890476737975328,-5.04
15,Cc1cccc2c(-c3ccccc3)c(C(=O)[O-])[nH]c12,-5.639057817068645,0.04819592574605942,-5.31
11,O=C([O-])c1cc2c(Br)cc(Cl)cc2o1,-6.415269896355197,0.05842837548108032,-5.55
14,Cn1c(C(=O)[O-])cc2cc(Br)ccc21,-5.413912377682315,0.0488980242408524,-5.61
4,O=C([O-])c1sc2cc(Cl)ccc2c1Cl,-6.013486239486365,0.04251096479368858,-5.81
5,Cc1ccc2c(Cl)c(C(=O)[O-])sc2c1,-5.425249477167166,0.046900675301340025,-6.04
7,Cc1c(C(=O)[O-])oc2ccc(Cl)cc12,-4.9959293523572565,0.03424025468973345,-5.88
8,Cc1c(C(=O)[O-])oc2cc(Cl)ccc12,-6.321415266889065,0.04836393340105038,-6.37
9,Cc1c(C(=O)[O-])oc2c(C)cccc12,-5.592552983838351,0.04849558665509417,-5.48
