mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17124-1,18631-1,-3.8647727515714645,0.054885792932781126,-5.835118787534282,0.05560481578007555,0.2699999999999996,1.9703460359628173,0.07813031296363958,2.093299213377218,0.061833957222889126
17124-1,18637-1,-8.737563809900557,0.05878238191556125,-8.64116002762175,0.059117852092238625,-0.46000000000000085,-0.09640378227880807,0.08336839244981702,-0.3621144989218372,0.07502603953294852
17124-1,18652-1,-15.852860768562692,0.05806034019583097,-14.544529721057774,0.05733720936193133,-1.0,-1.3083310475049175,0.08159999191831806,-1.228035812513827,0.07424175296587847
17124-1,18660-1,-31.88404273447657,0.06608770834881084,-30.889896137345854,0.06287393302529407,0.9800000000000004,-0.9941465971307155,0.09121796231481301,-0.943978430249512,0.07609020972881556
18626-1,18628-1_flip,2.2741472007944403,0.0520658035238181,0.984869809769274,0.04912496288301538,0.16999999999999993,1.2892773910251665,0.07158288814261736,1.2084999712534037,0.07009132013656763
18626-1,18632-1,3.276894059177301,0.04791786697446508,3.4860346493206076,0.047568399397961744,-0.21000000000000085,-0.2091405901433071,0.0675194386578157,-0.10424604501787638,0.06545060218363828
18626-1,18635-1,2.513395425723552,0.05164182476788772,1.5727088262146292,0.047601346833060776,1.5799999999999992,0.9406865995089229,0.07023365493606729,0.9049502744611946,0.07108359210912678
18627-1,18625-1,-1.3854766128047464,0.050789720304911815,-1.7574254511080591,0.050682974971846324,0.370000000000001,0.37194883830331277,0.07175207063665809,0.26824354919884286,0.07112979610140045
18627-1,18630-1,1.170877667593746,0.03454804175703692,0.8726610927377247,0.035744889895331526,-0.6600000000000001,0.29821657485602127,0.04971181291076941,0.39511807225177975,0.06571545452948217
18627-1,18633-1,2.9729711523782902,0.04794810612593841,2.8629061370881788,0.04793986152248772,-0.6899999999999995,0.1100650152901116,0.0678030324090269,0.022404909560573394,0.07031702849420254
