mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-8.826967584494835,0.06110619672633892,-8.83
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-8.483297842881345,0.05335459566889519,-8.67
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-7.632788542469061,0.07845263264344791,-8.45
54,O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.729889725198252,0.07430205890209335,-9.78
57,Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,-8.945033216229472,0.06892913704471723,-9.04
62,O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.982927018491746,0.07606528948167798,-7.959999999999999
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-10.21414021434915,0.08086655239786902,-9.5
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-10.27547256630885,0.07486380936516135,-8.43
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-7.530711901374113,0.07489133306467229,-7.690000000000001
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-9.429180063318082,0.06996509933199595,-8.24
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-5.8843924671014545,0.0473604839717508,-6.12
31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,-7.196985910235154,0.053356230293430375,-7.920000000000001
32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,-6.5105981851541355,0.06493987444228692,-6.58
38 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,-8.676756619054983,0.05617632641079119,-7.02
39,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1,-6.942047162079076,0.06826912724551173,-7.03
40 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,-7.400729090700814,0.0683311632069925,-7.25
41 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,-9.154018328073969,0.05604226839473386,-7.13
48 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,-2.784546052987648,0.06497462821647161,-6.66
28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-5.553183304672226,0.052473754082935836,-6.62
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-3.650701677478329,0.05039881268094884,-6.94
42,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-8.208767310512183,0.05569018972105382,-8.9
45,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2,-8.337293922858658,0.05501986094362354,-8.95
33,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1,-7.5236932634639375,0.053666982985061784,-6.88
30 flip,Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,-6.021512657578203,0.06891271025210075,-7.85
37,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc(C)c1Cl,-8.666862023489632,0.06508934675352324,-8.95
34,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1,-7.586510003808137,0.07160984010607506,-6.87
46 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,-6.587016216680794,0.07985563606487896,-7.6
43 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,-6.0993116303881365,0.07564314511175382,-7.03
47 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,-4.887113033052049,0.07658992489329013,-5.78
35,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-7.686982820542694,0.05227342304645008,-8.81
36,CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-9.162905312439335,0.0669148364775368,-8.18
52,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,-9.559595277355598,0.060773328003551286,-9.23
49,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,-7.900635226025521,0.06417796810190417,-8.36
50,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)cc(C)c1Cl,-8.316241498439895,0.06274431116548851,-9.33
65,Cc1cc(OCCCc2c(C(=O)[O-])sc3c(Cl)cccc23)cc(C)c1Cl,-10.686100035915992,0.07115597202684353,-8.41
61,Cc1cc(OCCCc2c(C(=O)[O-])sc3cccc(Cl)c23)cc(C)c1Cl,-8.484919353044106,0.06506517773816349,-8.08
53,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)cc(C)c1Cl,-10.552225784428767,0.06935606441368952,-9.96
58,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3cc(Cl)ccc23)cc(C)c1Cl,-11.154107000265926,0.07373390121523557,-9.41
63,Cc1cc(OCCCc2c(C(=O)[O-])sc3cc(Cl)ccc23)cc(C)c1Cl,-10.825471553040673,0.07116906016473588,-9.06
56,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3ccccc23)cc(C)c1Cl,-9.65370801204094,0.0733453417868267,-9.26
60,Cc1cc(OCCCc2c(C(=O)[O-])sc3ccccc23)cc(C)c1Cl,-9.450670576132062,0.06331772947241998,-8.92
67,Cc1cc(OCCCc2c(C(=O)[O-])oc3ccccc23)cc(C)c1Cl,-10.103990015844088,0.07184270723846191,-7.58
