mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
155,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC[C@H]3O)c1,-10.258607825366887,0.07359952257912966,-10.5033
156,N#Cc1cccc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC[C@H]3O)c1,-10.646641140847379,0.06424235742682502,-9.73619
15,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@H]3O)c1,-11.640299488720238,0.032504621233266584,-11.0462
215,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)CCl)c3c2CC(F)(F)[C@H]3O)c1,-10.833647096440426,0.05322097890718451,-10.5996
25,O=S(=O)(c1ccc(Oc2cncc(Cl)c2)c2c1[C@H](O)C(F)(F)C2)C(F)F,-11.208222276070938,0.058345605566163354,-10.2831
23,O=S(=O)(c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)[C@H](O)C2)C(F)F,-9.794889713532049,0.056407049033683834,-7.06742
167,N#Cc1cc(Cl)cc(Oc2ccc(S(=O)(=O)CF)c3c2CC(F)(F)[C@H]3O)c1,-9.793354701691886,0.0569078215686707,-10.6737
124,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c(C(F)F)c1)C(F)(F)F,-12.72116049326497,0.06188927008221697,-10.123
227,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2C[C@@H](F)[C@H]3O)c1,-12.178648325776084,0.06793016507650235,-10.7585
254,CNS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.979886907353303,0.045764692148351015,-9.54973
251,CNS(=O)(=O)c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2,-8.482568128594203,0.04757476950960588,-10.2436
290,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3N)c1,-12.79372798252543,0.055033898886005135,-10.5657
163,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-8.028053485717619,0.040866078352414674,-11.0103
206,CCS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.6213867934751995,0.04769681033531382,-10.123
42,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c(CO)c2Cl)c1,-12.106737349384252,0.05581075859598227,-8.93969
164,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](N)C(F)(F)C2,-5.020949518925493,0.054452972723082825,-6.76476
234,CS(=O)(=O)c1ccc(Oc2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.103703660490469,0.05611816014665771,-10.3478
67,N#Cc1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2,-12.122037350551373,0.0638819844633533,-10.1717
256,NS(=O)(=O)c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2,-8.027411725931593,0.05192695156496595,-10.6737
338,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2[C@@H](F)C(F)(F)[C@H]3O)c1,-8.997458173075099,0.06142303119410662,-10.7585
165,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](N)C(F)(F)C2,-7.2522213278630385,0.05702631866259435,-9.23534
237,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@@H]3O)c1,-5.428666179001985,0.061200223846620654,-9.54973
252,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2CC(F)(F)[C@H]3O)c1,-8.688978662402363,0.0564712399638119,-9.71233
1,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2)C(F)F,-11.508556606137962,0.05115432575840464,-11.3247
61,O=S(=O)(CF)c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2,-10.042949015244334,0.06170244370338351,-10.1076
7a,C[C@H]1C[C@@H](O)c2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21,-10.686955633003196,0.06498091828496977,-9.99707
57,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC[C@H]3O)c1,-11.954966874929054,0.06591642854436126,-10.6737
7b,C[C@H]1C[C@H](O)c2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21,-5.548411303682684,0.05814333476921537,-7.39451
231,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)C2,-8.885037073451707,0.06934928807981357,-10.0228
289,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,-8.63874727273714,0.07298213713549173,-10.914
224,Cn1cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)cn1,-8.985615922159967,0.07621103885502611,-9.66013
235,N#Cc1cncc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)c1,-11.498949530908662,0.06966470678272307,-10.123
336,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2[C@@H](F)[C@@H](F)[C@H]3O)c1,-9.262717079471187,0.06502057707075828,-9.82348
266,O=S(=O)(c1ccc(Oc2ccc(F)c3[nH]ncc23)c2c1[C@H](O)C(F)(F)C2)C(F)(F)F,-12.544046319931955,0.06954092373792257,-10.5337
30,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c(Cl)c2C#N)c1,-11.486076484139637,0.060030799834826266,-10.5657
31,Cc1c(S(=O)(=O)C(F)F)ccc(Oc2cccc(C#N)c2)c1C#N,-10.762355320882182,0.06787732489670582,-8.84235
43,N#Cc1cccc(Oc2ccc(S(=O)(=O)C(F)F)c(CO)c2Cl)c1,-12.173660632377848,0.05188696299547243,-8.69946
50,Cc1c(S(C)(=O)=O)ccc(Oc2cc(F)cc(Cl)c2)c1C#N,-8.2666745325113,0.06494024215927233,-9.69694
41,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c(Cl)c1CO)C(F)F,-12.502920074406926,0.06275003223591971,-9.78701
54,CS(=O)(=O)c1ccc(Oc2cc(F)cc(Cl)c2)c(C(F)F)c1CO,-9.329307305739343,0.06609758719882834,-9.3095
