mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
19a-bindingpose1,19b,-3.343223975196449,0.04352023524547419,-3.4009148109335876,0.039884803422162156,-0.07620975148280174,0.05769083573713828,0.05903226592166296,0.07460986349924958,0.0931115992176715
19a-bindingpose1,19c-bindingpose2,-3.80023699507486,0.04719682333742887,-4.013559119961125,0.0446701142291551,-0.024336634641450416,0.2133221248862658,0.06498429993767907,0.4221452754130217,0.09386421292060787
19a-bindingpose2,19b,-4.7314730130835665,0.03850520792139981,-3.519474919237693,0.03795438030062773,-0.07620975148280174,-1.2119980938458734,0.05406649628998451,-1.0924082835301894,0.09938654018656219
19a-bindingpose2,19c-bindingpose1,-4.500380652398185,0.04619070477972781,-3.836751022308538,0.044151993929828444,-0.024336634641450416,-0.6636296300896471,0.06389819853507278,-1.112093656632804,0.10586764974596755
19a-bindingpose2,19c-bindingpose2,-4.784668302929022,0.04203619439089015,-3.786588715660461,0.04366377916372097,-0.024336634641450416,-0.9980795872685614,0.060609959987834486,-0.7448728716164172,0.10009198233918672
19b,19d-bindingpose2,1.9932251191257084,0.04753302943229483,0.2454374038993737,0.04539100132949597,0.3925516164086922,1.7477877152263346,0.06572466727725376,1.710902782235614,0.10478466403298238
19c-bindingpose1,19d-bindingpose1,0.8634144759696123,0.043961691731752676,0.3810649703786631,0.04331272522172877,0.34067849956734086,0.4823495055909492,0.061714038160297295,0.06485891641019847,0.10807419585789368
19c-bindingpose1,19d-bindingpose2,2.226062631562511,0.05128323634540529,0.49443350798442665,0.045792710807934685,0.34067849956734086,1.731629123578084,0.06875276498583774,1.7305881553382285,0.11095089323202725
19c-bindingpose2,19d-bindingpose1,-0.4666319956730732,0.04802056129799899,0.36400972379315705,0.046440800933354676,0.34067849956734086,-0.8306417194662302,0.06680360992271565,-0.3023618686061882,0.10242303196148592
19d-bindingpose1,19d-bindingpose2,1.5058442320740317,0.053889368850252514,-0.11035465916483382,0.05244785056028213,0.0,1.6161988912388654,0.07519867753805418,1.66572923892803,0.10764659241849778
22a,22b-bindingpose1,1.4072522583592493,0.04097988091989311,1.3919787214769497,0.03887683292356487,0.0,0.015273536882299453,0.05648680180693006,0.03762273801856786,0.08565545372464055
22a,22b-bindingpose2,2.134242624047285,0.04180729511316873,1.3817717412710961,0.03975053848478734,0.0,0.752470882776189,0.0576884324150877,0.7203347035987688,0.08295413646655879
22a,22d-bindingpose1,1.3534081561808948,0.05106378143998537,-1.6677133304728236,0.050097227476774496,-0.007226328015077499,3.021121486653718,0.0715349004040006,3.0346928224987444,0.09135828507186824
