mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
19,23,-3.924539778650978,0.03841343952963557,-2.898614521832554,0.03810536245686535,-0.3636700000000008,-1.0259252568184243,0.05410740230750365,-1.079774806967432,0.10357648023334425
19,33,-5.621174129882846,0.04856785969800043,-2.720744798312322,0.05026401295027965,-1.0561300000000005,-2.9004293315705234,0.06989497831397143,-2.758748892576011,0.09713067279458007
20,42,-2.1223878453034373,0.05310119824967402,-2.480525452915864,0.051973500771664245,0.049650000000001526,0.3581376076124264,0.07430331108378257,0.14335596426849406,0.12610736189853167
24,19,0.3227310527690278,0.04555875247835719,-1.7319825662558839,0.04555226727875139,1.3191200000000007,2.0547136190249113,0.06442522007427698,2.0987418153564112,0.1029068203544445
24,23,-3.8100742053585064,0.052007276959269565,-4.813434491988746,0.052039620202885425,0.9554499999999999,1.003360286630239,0.07357227009939772,1.0189670083889792,0.10361634591997829
24,29,-9.099461083296696,0.06826156686521821,-9.009238357029755,0.06817214394742885,-0.7761099999999992,-0.0902227262669392,0.0964732228200324,-0.21578368134083803,0.08658471397147584
26,37,-1.0414781721042905,0.06642147097013396,1.9770595858738482,0.06456633243353524,-0.827630000000001,-3.0185377579781387,0.09263165274221405,-2.210680524603733,0.11043152379909976
29,26,2.1903932942735933,0.0634135114010775,1.8796682094330335,0.06133816808534341,0.4765800000000002,0.3107250848405598,0.08822496411039467,0.38959812557977536,0.08459484472774992
29,36,4.29586521822321,0.055147012305722554,5.540622110238319,0.056266501245615066,2.2054799999999997,-1.2447568920151093,0.07878522785821157,-1.6248963988941938,0.0700704227273946
29,55,-0.8355928636685527,0.04786449794278301,0.8962311235925264,0.049220080018181615,-0.9894800000000004,-1.7318239872610792,0.06865585510581658,-1.4478474834179647,0.06705197242151496
29,57,1.4266578210090994,0.049939499079532976,2.937834289623761,0.04921289467650068,-0.8283799999999992,-1.5111764686146618,0.07011321252627799,-1.3300098599983023,0.07805717828808152
29,60_adjust,-4.447016849543821,0.0648119882791476,-3.8019752050816775,0.06311712484360013,1.5022800000000007,-0.6450416444621433,0.0904674818551891,-0.6362571998515172,0.07877642217883521
30_flip_b,26,-0.13751602769163754,0.055698710797187176,0.47411284871336745,0.05512972076933056,0.028750000000000497,-0.611628876405005,0.07836856829477652,-0.09563445084932809,0.10173169054164026
30_flip_b,31,0.4100296947863476,0.04463373077131652,2.542112286887875,0.045815483603627,-0.08427999999999969,-2.132082592101528,0.06396271148411849,-2.16872960916527,0.10466512529887681
30_flip_b,34,-7.032770506563402,0.05804665995971468,-5.622168192119463,0.05672036390748533,-0.774189999999999,-1.4106023144439397,0.0811579596483075,-1.9049829399976268,0.11042883573231663
