mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)cn2)CC1,-7.941437408653741,0.05255751614305152,-7.15428
Example 30,CC1([NH3+])CCN(c2nnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-9.997131238072424,0.043135147865848274,-9.1571
11,CNc1nc(N2CCC(C)([NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-6.15863881844752,0.05571812808871483,-6.35409
3,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-7.772989866052376,0.0806833718246853,-5.46294
Example 27,C[C@@H]1CN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-7.595139900582175,0.09277881687890886,-8.51853
Example 23,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Cl)CC1,-7.9265030668193805,0.05379093042400617,-8.74034
4,C[C@@H]1CN(c2ncc(-c3ccc(Cl)c(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-8.647643570752708,0.08711807028362689,-5.82207
6,Nc1nc(N2CCC([NH3+])CC2)ncc1-c1cccc(Cl)c1Cl,-7.686767279058195,0.05848867814755843,-8.03004
SHP836-2,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-6.934939089795991,0.07666642907012829,-6.71321
7,C[NH+](C)C1CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-8.331356661702577,0.06893579891492983,-7.07647
Example 1,CC1([NH3+])CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-6.983993284183983,0.034890765600388986,-8.98818
Example 14,Nc1nc(N2CC[C@@H](C[NH3+])C2)cnc1-c1cccc(Cl)c1Cl,-14.59322593975879,0.10741114506136683,-9.77823
Example 9,Nc1nc(N2CCC(C[NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-13.477862102536026,0.07178650018269246,-8.7941
Example 3,CC1([NH3+])CCN(c2ncc(-c3ccc(Cl)s3)c(N)n2)CC1,-7.871598750905165,0.06713082359301464,-8.21587
Example 5,COc1cc(Cl)c(Cl)c(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1,-5.33338731279136,0.058894840029328814,-7.56309
Example 4,Cc1ccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)s1,-7.678946836943615,0.06170248181541386,-8.20109
Example 22,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Br)CC1,-7.659145491364491,0.09301957439059017,-9.23883
Example 24,Cc1nc(-c2cccc(Cl)c2Cl)c(N)nc1N1CCC(C)([NH3+])CC1,-6.006498011228752,0.06194032720724233,-9.07722
Example 26,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C(N)=O)CC1,-7.274564151432337,0.07360237276035506,-8.95905
Example 8,CC1(C[NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-13.2039290696219,0.05651928021853589,-9.71233
Example 25,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C#N)CC1,-5.787160920208646,0.06659639897884485,-8.86991
Example 6,CC1([NH3+])CCN(c2ncc(-c3cc(O)cc(Cl)c3Cl)c(N)n2)CC1,-7.030832339888591,0.09535843136828459,-9.06926
Example 2,Cc1cccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1Cl,-5.920657104708367,0.052131821708290914,-8.27622
Example 29,CC1([NH3+])CCN(c2cnc(C3=CCCCC3)c(N)n2)CC1,-8.04976416521754,0.06471681980988511,-7.62278
Example 28,CC1([NH3+])CCN(c2cnc(-c3cccc4cc[nH]c34)c(N)n2)CC1,-8.637012388091076,0.08388543282620384,-8.45735
SHP099-1 Example 7,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-9.104105231182258,0.05969177557088911,-9.75265
