mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
12,COC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.134469162014078,0.03893263576488695,-9.83296
14,CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-10.63685983218094,0.030873268150315807,-11.0316
15,CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.081907423803482,0.04309311428322562,-9.72018
22,CNC(=O)c1cc2c(Oc3ccc(I)cc3)cncc2s1,-11.897797427198059,0.038767442902704397,-11.2901
13,NC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.217758840245919,0.04459552045832711,-11.1972
19,CC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.46061375882054,0.03742046104698107,-10.2248
20,CCC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-11.015534913320955,0.044339236810676065,-10.2831
21,O=C(c1cc2c(Oc3ccc(Cl)cc3)cncc2s1)C1CC1,-9.15101386380993,0.04285525024808823,-9.86234
17,O=C(NC1CC1)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-7.768395514613768,0.04873695098204663,-10.3953
16,CCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,-9.108729263992313,0.043704027280622705,-10.6355
