mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,Nc1n[nH]c2ccc(-c3cccc(Cl)n3)cc12,-7.120221209597733,0.038280812605518265,-7.14398
1_3E62,Nc1n[nH]c2ccc(Br)cc12,-5.735463580619037,0.040009388865437714,-5.98669
7,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,-8.018198619957985,0.05442162424691251,-8.86058
2_3E63,Nc1n[nH]c2ccc(-c3ccccc3)cc12,-8.418082519027287,0.04786577814232758,-7.90701
3,Nc1n[nH]c2cc(-c3ccccc3)ccc12,-4.319483957030278,0.05358161916665261,-5.23562
8,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,-9.004982868811865,0.04409211590821368,-8.77456
9,Nc1n[nH]c2ccc(-c3cccc(Cl)c3)cc12,-8.580187092468506,0.03882959638945339,-8.36388
4a,Nc1n[nH]c2ccc(-c3ccn[nH]3)cc12,-7.839860285683262,0.05334471963012429,-6.86423
6,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,-5.748497622956844,0.05255284685079106,-6.19864
5,Nc1n[nH]c2ccc(-c3ccncc3)cc12,-8.340012243847198,0.030954386186890073,-7.7898000000000005
