mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
IBT,ET,-5.9478695643116275,0.04615209646048974,-9.575075362218135,0.04617790975315106,2.13,3.6272057979065075,0.06528717605218129,3.5223199335851465,0.039909571510194884
IBT,PT,-3.807391373437233,0.042933273687487734,-5.169317309573769,0.043968104348633325,0.8900000000000006,1.3619259361365355,0.06145291034228595,1.3125424532920054,0.040474099637181744
IBT,SBT_S,0.08216515244359204,0.054681866547748904,0.2734127953831792,0.056320646603338964,0.6699999999999999,-0.19124764293958713,0.07849918319934303,0.04096453479687945,0.04534953822879325
IPT,ET,-2.1664834004521656,0.0437676210503374,-4.281260936007645,0.04298861754339596,0.8899999999999997,2.1147775355554796,0.06134839762127703,1.9724105057536843,0.043537987819506574
MT,ET,2.5883693884176444,0.03935320824753247,4.569492455054476,0.04059006594958386,-1.3200000000000003,-1.9811230666368318,0.05653519658730501,-1.8568735599306248,0.04035420966258486
MT,IPT,5.113036863326788,0.045770877675303925,8.961827811766533,0.047424433269097246,-2.21,-3.848790948439744,0.06590940838804951,-3.829284065684309,0.044877517361811434
MT,PT,4.512442492513621,0.043777109492507016,8.404912329409717,0.04582862898282169,-2.5599999999999996,-3.8924698368960957,0.06337742934171496,-4.066651040223766,0.0409126029580741
PT,IPT,0.13591721852174346,0.0520556538961051,-0.3412484291777478,0.054376958575364225,0.34999999999999964,0.47716564769949127,0.07527711954145136,0.23736697453945688,0.044056046425940895
PT,SBT_S,4.135783434880006,0.04277825579071047,5.355468267985332,0.04294526714936243,-0.22000000000000064,-1.2196848331053263,0.060615799417524485,-1.271577918495126,0.0449356497566715
SBT_S,ET,-6.47550644281898,0.05091709647344437,-9.83011455713706,0.05279311170921752,1.46,3.35460811431808,0.07334618843012881,3.481355398788267,0.04442784910099852
