mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
1_1W7H,3,35.73937464429741,0.05042578530335369,34.7617162875549,0.04833090370221555,-0.1499999999999999,0.9776583567425177,0.06984723384739551,1.0706609672769463,0.048981521684274686
1_1W7H,5_1WBW,7.252352699526758,0.0642025634165051,9.904203298253135,0.06311289158673919,-2.0000000000000004,-2.6518505987263756,0.09002891887438087,-2.6016101662835163,0.05760208503199353
1_1W7H,6,5.05319287854293,0.07034522054062484,7.9725231611293275,0.07222230649543097,-1.1,-2.919330282586397,0.10081920257782799,-3.176103923143278,0.05887309698441187
4,3,39.43898761277679,0.05997624330883494,35.282855421966865,0.06032483864588231,1.3100000000000005,4.15613219080993,0.08506606796538972,3.667328013739077,0.05155097239626738
4,5_1WBW,10.086556058721454,0.0641191431256338,10.444557828428838,0.0631007961754057,-0.54,-0.35800176970738407,0.08996096371835734,-0.004943119821385622,0.05980228664964797
4,7,8.956558805607214,0.07030945034664018,11.922595840336797,0.0718363614760167,-0.8999999999999995,-2.9660370347295832,0.1005180662277165,-2.7243099020858006,0.06561808754246755
5_1WBW,3,27.78283268727642,0.07117842342160734,24.61918013100395,0.0717074972383025,1.8500000000000005,3.1636525562724724,0.10103629605724262,3.6722711335604625,0.05562228739001755
6,3,31.442979178337364,0.06565269539917089,26.60174136052532,0.06926639922710312,0.9500000000000002,4.841237817812043,0.09543642111408383,4.246764890420224,0.056937511387490924
6,7,0.8833089761932572,0.07523630116459672,3.4836604107865776,0.07566068501163142,-1.2599999999999998,-2.6003514345933203,0.10670070416524534,-2.144873025404653,0.06992932761532082
7,3,28.690591352765217,0.07130853044646042,22.94616993587293,0.070984342472826,2.21,5.744421416892288,0.1006165164907493,6.3916379158248775,0.06183250584200819
