mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
butyl benzene,isobutyl benzene,-0.06714138219829373,0.055729064878557256,-0.11349792028329113,0.05431071408020231,0.21999999999999975,0.046356538084997394,0.07781633720588454,0.28656081634898634,0.058032010293929875
butyl benzene,propyl benzene,-4.254530216447868,0.04307203820308611,-4.082201134954338,0.041951597173436626,0.15000000000000036,-0.17232908149352996,0.06012600918380003,-0.2446360810720698,0.057464366188664726
ethyl benzene,benzene,0.60437263928746,0.04881485800972179,-2.0563029289476242,0.04952890591847087,0.5599999999999996,2.660675568235084,0.06954137533864309,3.0660548744544083,0.03801113162959582
ethyl benzene,butyl benzene,5.881905814228585,0.047401755961982206,6.793945393532778,0.047483794445765774,-0.9400000000000004,-0.9120395793041928,0.0670942412077747,-0.8235071496793145,0.04825126556667883
ethyl benzene,isobutyl benzene,6.647719699221468,0.051329770518119246,7.0918530592963815,0.04711802000810019,-0.7200000000000006,-0.4441333600749145,0.06967677626674841,-0.5369463333303282,0.043370228881102646
ethyl benzene,m-xylene,1.4088918263358357,0.05373522834098024,-2.184567127898287,0.054438356045629396,1.0,3.5934589542341224,0.07649189090229108,3.1076831886640126,0.04362505144628635
ethyl benzene,o-xylene,2.315861907651021,0.055407163672872885,-0.9813185252546565,0.05335002107681879,1.1499999999999995,3.2971804329056775,0.07691669867570718,2.906777799866164,0.043965081384885224
ethyl benzene,ortho methyl ethyl benzene,3.762062863739412,0.04448798869262997,2.196622721194856,0.044152779557993196,1.1899999999999995,1.5654401425445559,0.06267893649873389,1.7410532392962859,0.04117146165084013
ethyl benzene,p-xylene,-1.4191792705275763,0.05276624890808187,-2.4693369001246346,0.054358626553332616,1.0899999999999999,1.050157629597058,0.0757570940875792,1.2407163866899262,0.04183571940942594
ethyl benzene,para methyl ethyl benzene,-1.0864850538469426,0.042100904326729464,0.06195198658084057,0.04455058158462159,0.33999999999999986,-1.1484370404277833,0.06129633320726822,-1.1523638282293112,0.045691322957136626
m-xylene,benzene,0.2322977246721501,0.05168489588934833,-0.6747746876326233,0.051834431946761496,-0.4400000000000004,0.9070724123047734,0.0731992950672083,-0.041628314209604333,0.05006539801322843
meta methyl ethyl benzene,ethyl benzene,-1.7515471456778666,0.045544420653607184,-0.5246159315957796,0.04621766648377926,-0.6399999999999997,-1.226931214082087,0.0648873404284578,-1.1754802518171958,0.04360687826575324
meta methyl ethyl benzene,ortho methyl ethyl benzene,2.6819356130757335,0.05330476684745604,1.8443396419556755,0.05299820626258845,0.5499999999999998,0.8375959711200582,0.07516786571210811,0.56557298747909,0.052490017368259735
meta methyl ethyl benzene,para methyl ethyl benzene,-2.777494393333808,0.05293339572564836,-0.25320122988700605,0.05163861161226372,-0.2999999999999998,-2.524293163446802,0.07394924335170919,-2.327844080046507,0.05610534433034851
methyl benzene,benzene,0.751686663335426,0.04180459249771367,-0.1764117286787314,0.04488786809271235,0.3200000000000003,0.9280983920141574,0.061339584737823596,1.278890474633163,0.041088866036663
methyl benzene,m-xylene,2.0931682851449667,0.045306481516291436,0.39902140927371,0.04382540111831118,0.7600000000000007,1.6941468758712563,0.0630344592311771,1.3205187888427674,0.04633134897785202
methyl benzene,o-xylene,2.564191200942069,0.04462411405697478,1.730364763090527,0.046094943765037553,0.9100000000000001,0.833826437851542,0.06415649145699809,1.1196134000449187,0.04665165769397653
methyl benzene,p-xylene,-0.09783798317915537,0.04261031569089308,0.19273771371230877,0.04407553591899438,0.8500000000000005,-0.2905756968914642,0.06130490901896954,-0.546448013131319,0.044650601372440625
methyl benzene,propyl benzene,2.820033986318763,0.0456155705436638,5.673021099856907,0.04631258316117614,-1.0299999999999994,-2.8529871135381435,0.06500488931676467,-2.8553076305726295,0.04537471432775944
ortho methyl ethyl benzene,o-xylene,-2.023802202021691,0.04283279952843493,-3.2020122391440013,0.042325145717359645,-0.040000000000000036,1.1782100371223105,0.06021683049977659,1.165724560569878,0.052787976589518636
p-xylene,para methyl ethyl benzene,0.14135952435543428,0.038886730685198705,2.42199907051095,0.04137131442819952,-0.75,-2.280639546155516,0.05677819547062168,-2.3930802149192374,0.05474008813335037
propyl benzene,isobutyl benzene,4.2298103277416,0.04386437872300668,3.623188271285453,0.04178733413730797,0.0699999999999994,0.6066220564561464,0.060582712179782644,0.5311968974210561,0.05343169009003942
