mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
4a,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-5.524471162711771,0.04845574687845829,-9.4133
4a flipped,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-3.36507761027954,0.05224383878238702,-9.4133
4b D,Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,-9.060407685960858,0.04078432955032829,-9.959
4b U,Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,-7.283678834673349,0.04478282221392832,-9.959
4c,Nc1nnc(-c2cc(Cl)cc(Cl)c2)c(-c2ccccc2)n1,-11.343172717864253,0.04534638827596784,-11.4597
4e D,Nc1nnc(-c2ccc(O)c(Cl)c2)c(-c2ccccc2)n1,-12.305898765173566,0.04839102158196486,-12.0736
4e U,Nc1nnc(-c2ccc(O)c(Cl)c2)c(-c2ccccc2)n1,-11.851163185545124,0.049412984056808676,-12.0736
4m U,Nc1nnc(-c2ccnc(Cl)c2)c(-c2ccccc2)n1,-10.270315464242685,0.047831026581890965,-10.5504
4d,Cc1cc(C)cc(-c2nnc(N)nc2-c2ccccc2)c1,-9.132821163474976,0.04097132849515785,-10.5047
4f,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C)c1O,-13.132423534568415,0.0394630025588453,-11.446
4m D,Nc1nnc(-c2ccnc(Cl)c2)c(-c2ccccc2)n1,-11.772013708314814,0.049372307580157176,-10.5504
4g,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C)n1,-11.432478056180296,0.0343558780555503,-11.064
4i,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,-11.554130956540519,0.04563103581129712,-10.3137
4jR,Cc1cc(-c2nnc(N)nc2-c2cccc(F)c2)cc(C)n1,-10.933886804727244,0.04716814373403699,-10.8867
4jS,Cc1cc(-c2nnc(N)nc2-c2cccc(F)c2)cc(C)n1,-12.181989317538859,0.048594767179279234,-10.8867
4kD,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1,-12.39422272840944,0.046929011052576165,-11.5415
4kU,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1,-12.843471606736028,0.043996619198027616,-11.5415
4h,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C)n1,-12.47946869284854,0.04443809559383565,-10.6548
4lD,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C(F)(F)F)n1,-12.177288365757851,0.05056196227784466,-11.3778
4lU,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C(F)(F)F)n1,-13.08536246584688,0.04094720745865295,-11.3778
4r D,Nc1nnc(-c2cc(Cl)nc(C(F)(F)F)c2)c(-c2ccc(F)cc2)n1,-12.621860064279598,0.048957674950129336,-11.462
4r U,Nc1nnc(-c2cc(Cl)nc(C(F)(F)F)c2)c(-c2ccc(F)cc2)n1,-14.241023437134318,0.04906808440163582,-11.462
4n,Nc1nnc(-c2cc(Cl)nc(Cl)c2)c(-c2ccccc2)n1,-12.951189626169022,0.037966508519059194,-11.5504
4q,Nc1nnc(-c2ccncc2)c(-c2ccccc2)n1,-8.79651078713541,0.05146592032788575,-8.8867
4o,Nc1nnc(-c2ccc(O)cc2)c(-c2ccccc2)n1,-9.030973257886625,0.0502444378107997,-11.3567
