mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
11a,O=C(Nc1ccc(F)cc1F)Nc1cccnc1Oc1ccccc1,-7.276861998353713,0.05609786024254849,-7.774799999999999
1,O=C(Nc1ccc(F)cc1F)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-8.87907419932122,0.058086914979452224,-9.72017
6b,O=C(Nc1ccccc1F)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-8.170727217768869,0.04421273341422326,-9.99707
6f,O=C(Nc1ccc(F)cc1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-9.407030893050182,0.029773711538827047,-9.32958
11c,CC(C)(C)c1cccc(Oc2ncccc2NC(=O)Nc2ccc(F)cc2F)c1,-9.69426236670935,0.051626514813198784,-10.2066
6a,O=C(Nc1ccccc1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-7.854537099912404,0.05375843370229667,-9.23186
6e,O=C(Nc1cccc(Cl)c1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-9.086522100347322,0.058483317085450334,-9.40347
6q,O=C(Nc1cc(Cl)cc(Cl)c1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-10.343864818945656,0.05819753886231029,-9.23883
6d,O=C(Nc1cccc(F)c1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-7.9574359095693605,0.05489001920679319,-8.48127
6p,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-10.453645010471153,0.049918940996932726,-9.65303
16,CC(C)(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,-15.691906040243936,0.07322207010740062,-11.2166
6h,Cc1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-9.271576081662108,0.03807455115677322,-9.98459
6n,N#Cc1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-9.277383970733204,0.03996963665941612,-8.51749
6g,O=C(Nc1ccc(Cl)cc1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-9.841736197980293,0.04090897122043117,-9.76958
6j,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-11.073325868551839,0.06637093353779597,-8.87368
6l,COc1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-8.450126893668473,0.06845326061579492,-10.4744
6i,CC(C)(C)c1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-10.216084956362662,0.07442676844605971,-10.2436
6m,CN(C)c1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-7.42311389350157,0.060506592472680136,-8.58909
6k,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccnc1Oc1cccc(C(F)(F)F)c1,-10.954682217101741,0.059984403915053,-10.3039
6o,COC(=O)c1ccc(NC(=O)Nc2cccnc2Oc2cccc(C(F)(F)F)c2)cc1,-8.131922265744926,0.058749256845565284,-8.44621
