mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
11b,11d,-7.430405798592209,0.046874328196070826,-9.012090455109877,0.0510787894793996,0.26179999999999914,1.5816846565176688,0.06932708978829115,1.8589749316020523,0.04418285357073937
11b,12,7.252313017447058,0.04832764847837717,6.326026634598181,0.04503451058214306,-0.5595999999999997,0.9262863828488768,0.06605807104981756,0.705481721282867,0.05877061870224369
11b,13,10.251220084073765,0.0627569327455161,9.574374987090163,0.06306403363690188,0.06240000000000023,0.6768450969836023,0.08896912355520606,0.9310868821448253,0.0688846013529738
11b,14,-5.460075764647154,0.05830629856814282,-9.849240209630635,0.05317614059557903,1.3475400000000004,4.38916444498348,0.0789134106559728,4.504253093217606,0.06501546906149373
11b,17,14.463171625554654,0.058196427516702176,15.142031067264652,0.05650610618191264,-0.48050000000000104,-0.6788594417099976,0.08111574576830541,-0.7909038195319553,0.06764263336334028
11d,11a,-2.7834398966364584,0.054819177844466625,-8.10043440553292,0.05526336112945835,2.5291000000000015,5.31699450889646,0.0778407434629718,5.26671251117122,0.05596102712662879
11d,11f,6.778554743765864,0.05408496901768607,6.330306635188241,0.0543802195022573,1.0754900000000003,0.4482481085776231,0.07669675447343093,0.8568660204698055,0.06275256187492591
11d,18,14.302069995379227,0.05465190809196061,15.179305740436547,0.05816047483766506,-0.8213999999999988,-0.877235745057319,0.07980897124656339,-0.9534139343958508,0.05338245294345871
11d,19,12.461120957993632,0.05374208471055401,14.42931479991273,0.0532864965161937,-0.3315999999999999,-1.968193841919098,0.07568132120944167,-1.5692413540219654,0.0563185556825343
11e,11a,-0.37098768438514895,0.04989828518329032,-3.9773502956354947,0.05061818815814954,1.929780000000001,3.6063626112503457,0.07107770280929737,3.740501167595265,0.07194901583403109
11e,11d,2.5090883475547043,0.0429823142718213,4.270492022210368,0.04469521692559094,-0.5993200000000005,-1.7614036746556632,0.06200920702756361,-1.5262113435759552,0.06101742132745605
11e,11f,9.811937050428497,0.05197807280042421,9.992575793399213,0.05356912578517515,0.47616999999999976,-0.18063874297071672,0.0746416190166995,-0.6693453231061497,0.07734926207976893
11f,11a,-9.623793942249291,0.0513381783333366,-14.133778021591416,0.053390214894066514,1.4536100000000012,4.509984079342126,0.074068371124388,4.4098464907014145,0.07342628409431988
12,13,3.0479460958580518,0.055561534008353106,2.806153388432848,0.05636174047089471,0.6219999999999999,0.2417927074252039,0.07914372906472039,0.22560516086195825,0.07728470877172121
14,12,12.513148760498574,0.04105336430994015,16.48906268880492,0.04476419936758883,-1.90714,-3.9759139283063467,0.06073888594784982,-3.7987713719347393,0.07385695040859518
14,13,15.97306236280312,0.056273032704478206,19.361299028429215,0.055629909215983285,-1.2851400000000002,-3.388236665626097,0.07912863583518812,-3.573166211072781,0.08213374339801695
16,11b,-13.522506290162335,0.053865719220051525,-14.338819026111564,0.055672388501998585,0.6509,0.816312735949229,0.07746567335672552,1.0603412391831633,0.06256549814427617
16,17,,,7.605122011939876,0.05764765282753767,0.170399999999999,,,0.26943741965120793,0.07914429663656013
16,19,-7.435595129532445,0.04689779192751756,-8.96989224212362,0.048278638282811474,0.5810999999999993,1.534297112591174,0.06730698182298238,1.3500748167632501,0.07165261141476105
17,18,-7.500887112140226,0.04711585059831255,-9.274088659408326,0.04781665432243187,-0.07909999999999862,1.773201547268101,0.0671292470402689,1.6964648167381569,0.07398031887559328
18,19,-8.179199381288454,0.0561382207737389,-7.744406806577435,0.05561971493222769,0.4897999999999989,-0.4347925747110182,0.07902564470337033,-0.6158274196261146,0.06590420785802212
