mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
11b,CC(C)(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(F)cc1F,-11.918192567861805,0.0333627615484156,-10.5657
11d,CC(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(F)cc1F,-10.059217636259753,0.028966371735461755,-10.3039
12,Cc1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)cc1,-11.212710846578938,0.04838296977768187,-11.1253
13,Cc1ccc(NC(=O)Nc2cccnc2Sc2ccccc2C(C)(C)C)cc1,-10.98710568571698,0.06026619654019725,-10.5033
14,Cc1ccc(NC(=O)Nc2cccnc2Nc2ccccc2C(C)(C)C)cc1,-7.413939474644199,0.05580266444489555,-9.21816
17,CC(C)(C)c1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)cc1,-12.70909638739376,0.05884260353001757,-11.0462
11a,O=C(Nc1ccc(F)cc1F)Nc1cccnc1Oc1ccccc1,-4.792505125088533,0.04788095514450735,-7.774799999999999
11f,O=C(Nc1ccc(F)cc1F)Nc1cccnc1Oc1ccccc1C(F)(F)F,-9.202351615789947,0.05566716563962502,-9.22841
18,CC(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(C(C)(C)C)cc1,-11.012631570655603,0.044840111404228535,-11.1253
19,CC(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,-11.628458990281718,0.04829833353905452,-10.6355
11e,CCc1ccccc1Oc1ncccc1NC(=O)Nc1ccc(F)cc1F,-8.533006292683798,0.053703584740083514,-9.70458
16,CC(C)(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,-12.978533807044968,0.05292794819284975,-11.2166
