mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
CAT-13a,CAT-13o,-8.240035139760133,0.055194134814424804,-8.47931086722865,0.0501569523311515,0.3000000000000007,0.23927572746851736,0.0745795708291641,0.9133249170501623,0.0723543538917823
CAT-13a,CAT-13i,23.170537996341306,0.05150085129379816,24.611588392432086,0.050896238343190514,-0.4299999999999997,-1.4410503960907817,0.07240693862795725,-1.574282396416689,0.07180419640338065
CAT-13b,CAT-13h,16.866732571870653,0.054799422115144415,21.342472871604322,0.052143403783403854,-0.5099999999999998,-4.475740299733669,0.0756433157805293,-4.025823919702445,0.08317575790746348
CAT-13b,CAT-13i,18.087556679004344,0.04875705325608695,20.101022454616746,0.05097035181692962,-0.15000000000000036,-2.013465775612405,0.07053528908680023,-2.4870746162754145,0.07455030384791955
CAT-13b,CAT-13k,5.380212719800805,0.06886076329896657,6.004438073576182,0.06818184925786164,-0.5800000000000001,-0.6242253537753769,0.09690494977212499,-0.4686895640458415,0.07547894445002437
CAT-13c,CAT-13f,23.821189713993384,0.06249315162356874,25.864803214407907,0.06198799802677817,0.23000000000000043,-2.043613500414523,0.08802218981151404,-2.7229247266037895,0.0995716398233006
CAT-13d,CAT-13a,-14.444403914195268,0.05102761332636774,-16.868773422189886,0.052534538634756114,1.6300000000000008,2.4243695079946184,0.0732372519374668,2.938068161855239,0.068710150715735
CAT-13d,CAT-13c,-25.70695630417467,0.06374329695395553,-28.152446429240303,0.06253073385647026,1.1500000000000004,2.4454901250656302,0.08929334008305924,1.8209269401353723,0.08193258099526315
CAT-13d,CAT-13i,-20.59731468900974,0.060789278870313324,-21.064005926949182,0.06117917089158616,1.200000000000001,0.46669123793944556,0.08624515856878359,1.36378576543855,0.06979519510861325
CAT-13d,CAT-17d,-6.487832697637836,0.046060438220189466,-9.368843109709998,0.047196698400515866,1.0500000000000007,2.881010412072161,0.06594764824423346,2.4903117187949846,0.07338233392223042
CAT-13d,CAT-17i,-7.527321714370061,0.042581338964882164,-7.588525365903634,0.042444368944935626,1.0,0.06120365153357396,0.06012233264915797,0.20745211390159568,0.07483186099373762
CAT-13e,CAT-13c,-57.3988239676714,0.07022169577578632,-59.86983658908384,0.06952689406270281,0.6399999999999988,2.471012621412445,0.09881839684812432,2.3797587166267355,0.09332768452710678
CAT-13e,CAT-13d,-28.027594946302916,0.06402304039923577,-28.094274225292367,0.06468444585559892,-0.5100000000000016,0.06667927898944946,0.09101113798655681,0.5588317764913633,0.08021047513348213
CAT-13e,CAT-13f,-33.684582012501195,0.07108499358726453,-33.86001714186468,0.07282870985453938,0.8699999999999992,0.17543512936348674,0.1017698250582073,-0.34316600997705393,0.09815948221998065
CAT-13g,CAT-13m,-75.39202847067429,0.07363647776268505,-76.11079407757447,0.07293200849772141,0.33000000000000007,0.7187656069001713,0.10364076765832121,1.0695900710293529,0.10885082193592886
CAT-13g,CAT-4p,-33.78590856826255,0.07297023590936942,-33.31601912806135,0.07305728921061849,-0.9900000000000002,-0.4698894402012004,0.10325707160031694,-0.42581704564418743,0.1095874564031592
CAT-13h,CAT-17a,-10.273795289148117,0.05150041571576923,-9.135187612088611,0.04976676373102225,-1.1000000000000014,-1.1386076770595046,0.07161720178250781,-0.8876265478864003,0.08954594157554184
CAT-13h,CAT-17i,-15.705357794061731,0.05071649543260548,-15.9359731174076,0.05039333277832273,0.15999999999999837,0.2306153233458682,0.07149581034908457,0.3824156518900761,0.08599432614542751
CAT-13j,CAT-13g,37.542895948540576,0.07334046117015719,43.26778506700977,0.0735356614422204,-0.35999999999999943,-5.724889118469195,0.10385719401368494,-5.328011765453946,0.10933487698762373
CAT-13j,CAT-13o,-8.897021715527803,0.0614880103758564,-10.12167573565541,0.0598355627738596,0.19000000000000128,1.2246540201276077,0.0857966782133546,-0.2203573360905402,0.08815977905676017
CAT-13j,CAT-4i,-0.6764326566012783,0.05346034811714408,3.5734655420079013,0.055240012599634875,0.47000000000000064,-4.24989819860918,0.07687306298576928,-3.4168481789221605,0.10221959965185713
CAT-13j,CAT-4n,2.3858127186247033,0.05377781431316889,7.880610300671337,0.05367894185001974,-0.35999999999999943,-5.494797582046633,0.07598343313143645,-5.387749691319469,0.0953870882174954
