mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
17,Brc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-8.195071916226194,0.04746096595172705,-7.04
1h1q,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-7.346442877678106,0.03970981864701464,-8.18
1oi9,Oc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.769390368786004,0.037583013839986364,-9.74
1oiu,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-10.812202498862694,0.05180104554431607,-9.08
1h1r,Clc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-9.089729535461009,0.05305697853726157,-7.669999999999999
1h1s,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-10.824656553215206,0.05125400950577301,-11.25
29,CN(C)S(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.740945589755471,0.05862213555134114,-9.88
31,C[S@](=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-8.42470370641866,0.056656993407354604,-9.54
32,COc1cc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)ccc1S(N)(=O)=O,-10.318004393575585,0.05262671450613726,-9.75
1oiy,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-8.640793719316086,0.03849745437105988,-9.79
26,COc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-8.301613482028102,0.04574266928626214,-8.43
20,OCc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-7.77855558191461,0.05069526657587415,-8.72
21,COc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-8.151627886106986,0.05509241001267566,-7.829999999999999
22,CSc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-6.818358590024917,0.04518515636496463,-7.86
28,CNS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-11.816552688273237,0.05749568004120365,-11.11
30,CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.651350612357138,0.057769405098163855,-9.81
