mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17124-1,18631-1,-5.111168682691372,0.05669232614570892,-7.233430323715326,0.05659272456959767,0.2699999999999996,2.122261641023954,0.08010465852883823,1.8930850795175846,0.06303492869809531
17124-1,18637-1,-16.148462114257846,0.05864546242017508,-14.970168315214238,0.0604067092132209,-0.46000000000000085,-1.1782937990436098,0.08419180946176887,-1.1304868893759608,0.0764305605241158
17124-1,18652-1,-20.42714093837308,0.058791373717676364,-18.68521408322776,0.057948962473221614,-1.0,-1.7419268551453193,0.08255003255804527,-1.6068968519650202,0.07614973068635467
17124-1,18660-1,-40.84468259190725,0.0741824194762369,-40.73093287266649,0.06516819631243959,0.9800000000000004,-0.11374971924076387,0.09874170937331922,-0.024482018947464823,0.07860930871326963
18626-1,18628-1_flip,0.7496552675630231,0.0528759111901078,-0.1063465821745638,0.05219553492166625,0.16999999999999993,0.856001849737587,0.07429828968383491,0.7530770454691273,0.07161080908950378
18626-1,18632-1,2.7293394239000355,0.048476797390972125,2.7456627730896432,0.04834744925865997,-0.21000000000000085,-0.016323349189607594,0.06846514248217163,-0.13302827902802328,0.06743667279932992
18626-1,18635-1,1.080889990010618,0.05039863042717344,0.783936677635394,0.04984417339889221,1.5799999999999992,0.296953312375224,0.07088345061263346,0.5157294197949289,0.07235926990402325
18627-1,18625-1,-3.372797364520441,0.05134451257266744,-3.116660733212415,0.05154390323312261,0.370000000000001,-0.2561366313080262,0.07275323313661265,-0.11261183634238758,0.07251786356195263
18627-1,18630-1,1.0373887861622033,0.037006701979028625,1.0723202910768999,0.036681588973954855,-0.6600000000000001,-0.03493150491469662,0.05210599736132884,-0.039759555374208944,0.06721612598056594
18627-1,18633-1,1.372268685054389,0.048702215559302806,1.6971867664783928,0.05077317896904791,-0.6899999999999995,-0.32491808142400386,0.07035496786302844,-0.4503343331386489,0.07185831438772555
18628-1_flip,18624-1,0.5365035201944374,0.04666313959809662,0.08013396094542162,0.04513273976604607,0.20999999999999908,0.45636955924901573,0.06491850888568751,0.3903372235495661,0.05958385776489484
18628-1_flip,18625-1,-4.160716603922364,0.05464629765026634,-3.856047201231476,0.055203041245864816,0.5899999999999999,-0.3046694026908886,0.07767621006250341,-0.32263010464410335,0.06976770566234515
18629-1,18624-1,0.6479808776206545,0.04333761088748201,-0.4212915204011092,0.04406138129873361,0.17999999999999972,1.0692723980217638,0.06180253910145757,1.2136468977759147,0.060518535256324696
18629-1,18635-1,0.680692131430912,0.04786921516860771,-0.05850384378129739,0.0464131542424304,1.38,0.7391959752122094,0.06667565258465864,0.5859620485521502,0.07049069010860966
18629-1,18636-1,-5.161454027866141,0.05271372534848907,-4.367962632623799,0.051641716771540704,1.1600000000000001,-0.7934913952423426,0.07379433414042007,-0.8116276882409217,0.07112735762367367
18630-1,18624-1,0.7910751493427997,0.04376323944829999,0.01899588214516837,0.04596065800196654,0.6500000000000004,0.7720792671976313,0.06346340056270992,0.6401150472254908,0.054111103202631794
18630-1,18633-1,0.11030706877063975,0.040774434162832704,0.6226073659282224,0.04025324657607866,-0.02999999999999936,-0.5123002971575826,0.05729640775139195,-0.41057477776443996,0.06442115295538808
18631-1,18624-1,7.230432285195595,0.05195086795109193,5.1072082796972795,0.05005342307508996,0.9199999999999999,2.1232240054983156,0.07214040367509554,2.0018230829365518,0.050083494598820694
18631-1,18625-1,1.9131855325540874,0.04971528527509556,0.5043003862272616,0.05000813786489929,1.3000000000000007,1.4088851463268257,0.07051541280244276,1.2888557547428823,0.06185186398541689
18632-1,18624-1,-1.3255997693980284,0.04964854276173196,-2.4884757186432904,0.05066518821118495,0.5899999999999999,1.162875949245262,0.07093616210959204,1.2764425480467168,0.0544961738651233
18633-1,18624-1,0.7401690202824803,0.048993297575212175,-0.28319528802458077,0.049363495135335014,0.6799999999999997,1.0233643083070612,0.06954924772612235,1.0506898249899308,0.05977977287189842
18634-1,18631-1,-2.785847336216517,0.04969275104510197,-4.495319351217037,0.04967022642933218,0.5800000000000001,1.7094720150005203,0.07026023697634112,1.651463173603819,0.049974671101175885
18634-1,18632-1,5.393097873645926,0.052387865223202705,3.276110855727324,0.052249966617882664,0.9100000000000001,2.116987017918602,0.07399018471536818,2.376843708493654,0.054396178968548425
18634-1,18637-1,-14.407247185890286,0.05858682580091995,-13.15427014912521,0.0592359398693586,-0.15000000000000036,-1.2529770367650757,0.08331454092554076,-1.3721087952897264,0.06607341445488701
