mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
23,44,-0.8553303763785445,0.062077131761137855,-0.78648715841592,0.0635988192450761,0.16000000000000014,-0.06884321796262455,0.08887283103996144,0.0036785563845018743,0.07931745098855304
23,51,6.62796307298746,0.06267058911487504,3.924663211754289,0.0637685888921907,0.3800000000000008,2.7032998612331705,0.08940937126110841,2.3989995398016024,0.08450926709530782
23,54,-1.0414996611425564,0.06238904837658305,-0.6053334993707827,0.06129688985869143,-0.9499999999999993,-0.4361661617717736,0.08746257521754186,-0.5261980959919743,0.08133086016822752
23,57,13.9282294733659,0.05860674967004263,13.972255257220604,0.05896888519378498,-0.20999999999999908,-0.0440257838547055,0.08313892306185373,0.015680479898509958,0.08242715594002271
23,62,6.686738496795607,0.049293150154342824,3.97009408705192,0.048431457197284575,0.870000000000001,2.7166444097436875,0.06910441880510244,2.6208432841681475,0.08327057232104909
23,64,-2.1173258805116513,0.044611436556257926,-0.43512374494292366,0.04291912612874235,-0.6699999999999999,-1.6822021355687276,0.06190502127669387,-1.451089717834794,0.0848954617534797
23,66,-0.5043604484667121,0.04505719210724419,0.857578582258696,0.04685750984658509,0.40000000000000036,-1.3619390307254082,0.06500597503008416,-1.3226150113512265,0.08467934095676367
26,57,-3.472784252660718,0.047219938823235434,-3.905213584142962,0.04698814513565006,-0.7999999999999989,0.43242933148224394,0.06661537664652968,0.30264166714567864,0.09049103844889585
23,68,18.733805936343533,0.06086324529918238,17.84249688365648,0.060131455760830343,1.1399999999999988,0.8913090526870528,0.08555773840083165,0.7629393918580281,0.08091147092509264
26,62,-10.92426381749556,0.059345799516837876,-13.595840895841139,0.06158717097239668,0.28000000000000114,2.671577078345578,0.08552720940540463,2.907804471415316,0.0912599595544168
26,64,-19.001656180641476,0.05842882664128803,-18.225748792390068,0.059149479412090554,-1.2599999999999998,-0.7759073882514087,0.08314197915252568,-1.1641285305876252,0.09274498061639379
26,66,-18.00846226152117,0.057564445804378986,-16.9976794989064,0.057923228380417295,-0.1899999999999995,-1.0107827626147732,0.08166251163646183,-1.0356538241040578,0.09254719222143133
26,68,0.9857083694081369,0.04377592692994738,0.14679365736164404,0.042371231048104446,0.5499999999999989,0.8389147120464928,0.060923337064773,1.0499005791051967,0.08911261487837083
27,29,11.9001925568657,0.052554084422677526,10.483641173221942,0.05049967485713436,-0.8200000000000003,1.4165513836437589,0.07288449046389915,1.2392508699884832,0.07134480527999906
27,31,3.192594627538147,0.047766331275968896,6.463871763164144,0.04937584830258327,-1.8000000000000007,-3.271277135625996,0.06869932167907715,-3.204589705587397,0.07469941086870241
27,32,1.178121394328819,0.04362640397569377,1.5432325392849426,0.044974975737630686,-0.45999999999999996,-0.36511114495612373,0.06265789308978477,-0.49425661710593083,0.07464546283721958
27,38 flip,10.39360737289826,0.05685689322582451,15.778858095955368,0.059401646843130713,-0.8999999999999995,-5.3852507230571085,0.08222689313703169,-4.770276955033124,0.07963024724843695
