mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-8.995186395317612,0.05185737398035228,-8.83
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-8.99150783893311,0.0600172541456488,-8.67
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.5961868555160095,0.0667280225156415,-8.45
54,O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.521384491309586,0.06265398295053284,-9.78
57,Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,-8.979505915419102,0.06407065475100675,-9.04
62,O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.374343111149464,0.06515213717551366,-7.959999999999999
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-10.446276113152406,0.06721645773319519,-9.5
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-10.317801406668838,0.06694328606166354,-8.43
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-9.28214758256478,0.0639028891313753,-8.24
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-8.232247003459584,0.062108605612459164,-7.690000000000001
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-5.343596778445109,0.04534407561400147,-6.12
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-4.104345908456626,0.05508172153403249,-6.94
31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,-8.548186484032506,0.05936258746755344,-7.920000000000001
32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,-5.83785339555104,0.05929468718944765,-6.58
38 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,-10.113873733478233,0.06545907945853591,-7.02
39,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1,-6.805334294949741,0.07262386633334683,-7.03
40 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,-7.147426008707945,0.06768505463411295,-7.25
41 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,-9.164682535265786,0.06373066901082623,-7.13
48 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,-1.481419023724909,0.06668306512548196,-6.66
28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-5.87443815338605,0.06220091511830515,-6.62
42,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-8.02908342920425,0.04870151170130036,-8.9
45,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2,-9.220645939936347,0.06087426807694051,-8.95
30 flip,Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,-5.670535548873328,0.05582814963252982,-7.85
37,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc(C)c1Cl,-8.53447040131222,0.06143810721677485,-8.95
46 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,-5.977825573715283,0.07257992769728715,-7.6
47 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,-4.378852920742605,0.06574551747499402,-5.78
34,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1,-8.082276871312075,0.06332081458599317,-6.87
33,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1,-7.5308569543152135,0.06641246714858473,-6.88
43 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,-5.949837072006156,0.07178885069873854,-7.03
35,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-8.48553490486173,0.047740533185416295,-8.81
36,CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-9.909591941901107,0.059955945913569016,-8.18
49,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,-7.754400541585774,0.06148460149681044,-8.36
52,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,-9.577836850528096,0.06498584129019752,-9.23
50,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)cc(C)c1Cl,-8.222291783542975,0.0700923622145539,-9.33
65,Cc1cc(OCCCc2c(C(=O)[O-])sc3c(Cl)cccc23)cc(C)c1Cl,-10.684332644924043,0.06452165708001686,-8.41
61,Cc1cc(OCCCc2c(C(=O)[O-])sc3cccc(Cl)c23)cc(C)c1Cl,-8.501449607631896,0.07026266228930408,-8.08
53,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)cc(C)c1Cl,-10.30831484451311,0.06947366905289745,-9.96
58,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3cc(Cl)ccc23)cc(C)c1Cl,-11.016088798346411,0.075936099961477,-9.41
63,Cc1cc(OCCCc2c(C(=O)[O-])sc3cc(Cl)ccc23)cc(C)c1Cl,-10.879619471660117,0.0705399638436424,-9.06
56,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3ccccc23)cc(C)c1Cl,-9.324198849185992,0.07982409492539443,-9.26
60,Cc1cc(OCCCc2c(C(=O)[O-])sc3ccccc23)cc(C)c1Cl,-9.530642530050342,0.06549221259313326,-8.92
67,Cc1cc(OCCCc2c(C(=O)[O-])oc3ccccc23)cc(C)c1Cl,-9.533569490362565,0.08471595137246486,-7.58
