mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
2aa,2z,9.94524810662563,0.06260999663610729,11.105714754667591,0.06163772295803821,-1.0899999999999999,-1.1604666480419599,0.08785909497727162,-1.4192308236075526,0.10829201430815949
2aa,2y,12.58007166098614,0.06952914139089142,12.864310553876226,0.0671823191374726,-0.5099999999999998,-0.2842388928900857,0.0966838430516898,-0.3856228277143625,0.11408636451875474
2aa,3flw,33.57161930802954,0.06255208316373566,37.09899463420082,0.06207647354694017,-1.4100000000000001,-3.5273753261712777,0.08812633928711021,-3.182803413143178,0.10542978357660167
2bb,2v,24.336271795111518,0.06191097183763579,23.27477017038629,0.06451330428817416,0.08999999999999986,1.0615016247252298,0.08941439964602503,1.3486036071675729,0.10347311522809718
2bb,3fly,29.58443737074121,0.06526025709567856,30.336777041596235,0.06471847500915419,-2.3599999999999994,-0.7523396708550246,0.09190964129896592,-0.7118506226222507,0.09007309666350206
2c,3flz,2.893687915016858,0.07027015962187419,2.318538413533152,0.07063133641313202,0.9700000000000006,0.5751495014837062,0.09963273065006653,0.3343394847205108,0.10943254001138697
2e,3flz,0.5838530266184795,0.04198093827437778,1.8917306969173844,0.04101814380605495,1.209999999999999,-1.307877670298905,0.058693162290775584,-1.2486650049695633,0.10582549355337295
2ee,3fln,5.224163089960889,0.053521131226967285,3.93035623215475,0.05576524667841695,1.379999999999999,1.29380685780614,0.07729342937739886,1.5101161177510285,0.07289797438947242
2f,2c,-0.02851938173522125,0.07545060832871116,1.445063680833753,0.07414408701463948,-1.9800000000000004,-1.4735830625689743,0.10578345776352278,-1.4923473033640011,0.1076734530533669
2f,2e,2.00333797391183,0.046897162028264106,1.8460886148608873,0.04757069612031405,-2.219999999999999,0.15724935905094262,0.06680056089342752,0.090657186326073,0.10400541699789861
2ff,3fln,-2.9022886184968377,0.06663603620439064,-0.7701208922555888,0.067078075883623,0.5599999999999987,-2.1321677262412493,0.09455067205092699,-1.9099249128917215,0.06448302758055843
2ff,3fly,-13.858685668749331,0.06940475707892481,-12.879574564132326,0.06917259889626821,0.019999999999999574,-0.9791111046170047,0.09798912563773884,-1.3200427725436814,0.07613819670363016
2g,2c,-4.916497964525808,0.07455439511407431,-6.063657886550307,0.0724552551383949,0.1999999999999993,1.1471599220244988,0.10396211727353098,0.9030908032195857,0.09675343473501065
2g,2f,-5.125717694492356,0.048277483877966446,-7.600465087952122,0.04946642029755017,2.1799999999999997,2.4747473934597655,0.06912049035301467,2.395438106583587,0.09123047303907147
2g,2h,-10.741106666960906,0.05507005410359592,-12.891021910067606,0.05536704061014089,1.1799999999999997,2.1499152431066983,0.07809110093280777,2.660051068324158,0.07927500348666087
2g,2i,-3.2037908871777354,0.04959704001336048,-5.314998943225346,0.048930788278951504,0.6099999999999994,2.1112080560476105,0.06967128834524633,1.8102421487831855,0.08048089208639275
2g,3flz,-2.4606704192431215,0.04455347059720639,-3.6714835019788405,0.042185750348271274,1.17,1.2108130827357186,0.061356737810144404,1.2374302879400965,0.09330009395408426
2g,2x,-5.044904614110837,0.06945186021886651,-6.675864161674113,0.0681156560512621,0.4299999999999997,1.6309595475632765,0.09727951216548535,1.7299563503988882,0.07757192205954849
2gg,2e,33.03685917013592,0.06582301171527535,33.38096328502121,0.06637104258319063,-0.03999999999999915,-0.3441041148852924,0.09347611547796036,-0.06351814797425348,0.10456978211483413
