mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
ejm_31,ejm_55,-0.6363956926840645,0.045632176971408575,0.2514407921092099,0.04811450292445477,0.3299999999999983,-0.8878364847932744,0.06631214795810281,-0.7606539371707406,0.07312394276795235
ejm_31,ejm_45,22.634295119465733,0.05023528399013645,22.15114603836743,0.04904871462186023,-0.02000000000000135,0.483149081098303,0.07020940224518611,0.2276554181676218,0.07058960956922729
ejm_42,ejm_46,24.928186049672057,0.05513301322712654,25.805623202566142,0.055492854729158124,-1.5300000000000011,-0.8774371528940866,0.07822471523434239,-0.9181813846750408,0.06198799650708241
ejm_42,ejm_48,26.76156110171187,0.06547615831421442,26.454697532938734,0.06343356487507999,0.7799999999999994,0.3068635687731342,0.0911643815332998,0.3033897518040174,0.06978245111376041
ejm_42,ejm_54,-11.96892686196681,0.054775178073658976,-11.606060206951733,0.055963272910195136,-0.75,-0.362866655015076,0.07830841620044444,-0.8427800035762321,0.05996466760271056
ejm_43,ejm_48,23.432456104955218,0.06078946352172419,24.20210659376603,0.05983733991567313,-0.7400000000000002,-0.7696504888108111,0.08529868770059035,-0.7459132948854545,0.07172704630850699
ejm_43,ejm_50,-15.223014484329235,0.05293172751682242,-13.9432283559826,0.05309544111475789,-0.7200000000000006,-1.2797861283466359,0.07497261930255511,-0.8396466436201528,0.054053027595378535
ejm_44,ejm_42,-7.7856100906320815,0.053154868991343085,-5.853518553908542,0.050437269265006114,-2.3599999999999994,-1.9320915367235392,0.07327590482824199,-2.390299720095925,0.06216690280286162
ejm_44,ejm_43,-4.905391303567944,0.05113242048590343,-3.1430949600714184,0.05050320246293109,-0.8399999999999999,-1.762296343496525,0.07186861542953953,-1.340996673406453,0.06434207404800368
ejm_44,ejm_55,-18.10849632785025,0.05753522620213796,-14.82683788992287,0.05455695869574209,-1.790000000000001,-3.2816584379273794,0.07928911650573546,-3.2579512429060546,0.06958516652046247
ejm_45,ejm_50,-24.066273744433918,0.05403178140308016,-24.467125807984758,0.05094596631750824,0.5800000000000001,0.4008520635508363,0.07426254025829525,0.08899857054108651,0.057093823416492516
ejm_47,ejm_45,-25.351264705133662,0.07061568025959261,-25.729137687063794,0.0693258546279276,0.1399999999999988,0.3778729819301318,0.09895781130571536,0.3316889967094063,0.07494859256068415
ejm_47,ejm_48,-33.6134556877546,0.06986823450836596,-34.15660435932305,0.0722351632191692,0.6999999999999993,0.5431486715684491,0.10049621385214487,0.5144209159851911,0.08015796264498924
ejm_47,ejm_50,-70.0503915154379,0.06475536143303384,-70.40730299891757,0.06513055947071841,0.7199999999999989,0.3569114834796725,0.09184359864079605,0.42068756725049283,0.06482483779755673
ejm_49,ejm_31,-18.66504868768343,0.05513544142790196,-17.388186001772464,0.051996872119810696,-1.7899999999999991,-1.2768626859109673,0.07578648699929003,-1.4084376468312314,0.07860561724848325
ejm_49,ejm_50,-32.546845972104435,0.06563480294750651,-31.40504461988696,0.06641653702414356,-1.2300000000000004,-1.1418013522174773,0.09337603412138172,-1.091783658122523,0.06675069105404627
ejm_49,ejm_55,-31.57120634417261,0.06654540397908637,-29.252986532399202,0.06524045655584539,-1.4600000000000009,-2.3182198117734045,0.09319124402193027,-2.169091584001972,0.0789614128187652
ejm_50,ejm_46,37.52223533853084,0.05963873772362245,38.563184124231974,0.05747452885630447,-2.33,-1.0409487857011337,0.08282572368848462,-1.12783778774436,0.05514193819951727
ejm_50,ejm_54,-1.3123202352764776,0.057978321847749294,-0.0699537763178252,0.057681902226561874,-1.549999999999999,-1.2423664589586523,0.08178439734298863,-1.0524364066455512,0.05285719438393308
ejm_50,jmc_27,35.3877717188871,0.06176902956945296,37.846258859215666,0.062001235001328474,-2.299999999999999,-2.458487140328565,0.08751894740935767,-2.310470801761804,0.052255047351867576
ejm_55,ejm_54,-1.4493774228731604,0.05372178646715566,-1.1902407076592512,0.05300441321172892,-1.3199999999999985,-0.2591367152139092,0.07546852430743808,0.024871519233897743,0.06762494329967021
jmc_23,ejm_46,2.894982949987653,0.031711570213376436,2.117688104122959,0.03301368557739897,0.3899999999999988,0.7772948458646943,0.04577692782178883,0.782434932852718,0.06834223459953023
jmc_23,jmc_28,8.992201729707052,0.035634219547497945,8.565410184879553,0.03383919366889978,0.7199999999999989,0.4267915448274975,0.04914151636773728,0.5416231692910678,0.07032757299512157
jmc_23,jmc_30,-5.195965426398126,0.036380147533593685,-5.689290845142657,0.03444021034993798,0.7599999999999998,0.493325418744531,0.05009633942229729,0.36783220156585905,0.07444945840798889
jmc_27,ejm_46,1.7066551969213335,0.035076451412039654,0.5662976542249134,0.03571241648504344,-0.030000000000001137,1.14035754269642,0.050057308505975236,1.1826330140174441,0.06266219419378462
jmc_27,jmc_30,-6.004538555705104,0.03973098316435137,-6.660965970993458,0.041009936055642016,0.33999999999999986,0.656427415288354,0.05709961364574912,0.7680302827305852,0.06927201028095846
jmc_28,jmc_27,-8.427042354321681,0.03499357986377443,-7.405406146983762,0.035876845019243896,-0.29999999999999893,-1.0216362073379197,0.050116849863266595,-0.9418212504557939,0.06482173304152321
jmc_28,jmc_30,-14.202218846317779,0.033596229162944455,-13.991651428649407,0.03468022835482144,0.040000000000000924,-0.2105674176683721,0.04828483046166404,-0.17379096772520874,0.07337548143859501
