mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
spiro10,spiro1,1.1464961419048711,0.041549297808410095,-5.134583984932654,0.04438912028308069,0.9800000000000004,6.281080126837525,0.0608008071317952,5.861031451840288,0.04524572110113903
spiro10,spiro15,7.626036161333817,0.05486469920483589,2.620969301521714,0.05733761960122411,-0.5500000000000007,5.005066859812103,0.0793582877862911,5.057343768898012,0.04423458895392424
spiro10,spiro6,-2.488543721318228,0.046478879943224326,-3.429902090213059,0.04702392726912371,-1.0299999999999994,0.9413583688948309,0.06611759233810996,1.4017944984111494,0.05258642450365054
spiro16,spiro1,-9.100502204211006,0.04921569478248055,-9.701133217183443,0.04598217137569552,0.6600000000000001,0.600631012972438,0.06735387663190676,0.603442591764952,0.0414630517034385
spiro16,spiro15,-1.9405755477184108,0.04173542934129441,-1.8013217474542706,0.04066343754785245,-0.870000000000001,-0.13925380026414005,0.05826972812284501,-0.20024509117732414,0.04035725756939629
spiro16,spiro3,-0.26503543318490275,0.050807039107330976,-0.18942479676120036,0.050469276958273974,-0.8000000000000007,-0.07561063642370236,0.07161356812465655,0.013334843642584637,0.0482589593415624
spiro2,spiro1,25.371851227744273,0.04370646081297324,27.261619837046705,0.042826057083931966,-0.4899999999999993,-1.8897686093024297,0.0611908970530108,-2.4091646846295873,0.042711242904524306
spiro2,spiro15,31.96252058464894,0.04995634503653108,35.60128203994471,0.05042330849517621,-2.0200000000000005,-3.6387614552957697,0.07097990172583117,-3.2128523675718634,0.04163861011621134
spiro2,spiro3,34.47540213368252,0.04856814633008315,37.73000509535731,0.048516873688459985,-1.9500000000000002,-3.2546029616747956,0.06864948558031844,-2.9992724327519547,0.049335512266701326
spiro3,spiro15,-2.1468512476719352,0.045807059093197273,-1.6383650481458352,0.045000080250136416,-0.07000000000000028,-0.5084861995261001,0.06421287943463043,-0.21357993481990878,0.04006759336976195
spiro4,spiro1,-10.763189849101524,0.0553175763750583,-11.083865258292818,0.05496803097363843,0.10000000000000053,0.32067540919129284,0.07798409251334071,0.017126026171126796,0.04523914058067139
spiro4,spiro15,-4.1612788835467756,0.0575719227563934,-3.004808760643248,0.058231950023106105,-1.4300000000000006,-1.1564701229035275,0.08188703373160891,-0.7865616567711493,0.04422785799061863
spiro5,spiro1,-10.168284351093412,0.05425059112162009,-10.332606206088403,0.05394269983849333,0.2400000000000011,0.16432185499499213,0.07650451949336715,-0.02187672849537936,0.04835341538751525
spiro5,spiro15,-3.3312588560936023,0.05875925983909624,-2.324787743829788,0.05795075362467671,-1.29,-1.0064711122638141,0.08252842214962315,-0.8255644114376555,0.04740861062716536
spiro5,spiro4,0.6917885746128386,0.03639581589840938,0.7465892645294704,0.04103098418503031,0.14000000000000057,-0.05480068991663174,0.054847033448520405,-0.039002754666506156,0.057432453053999806
spiro6,spiro1,1.1470742892627346,0.034335307047609676,-2.423089548627838,0.03856659447808268,2.01,3.5701638378905725,0.05163618420923948,4.459236953429139,0.0424770846508036
spiro6,spiro15,10.408375176554934,0.047961302866798734,5.67640704491895,0.04917626968582811,0.47999999999999865,4.731968131635985,0.06869200879937995,3.655549270486863,0.041398385263100704
