mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
11,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4ccccc4)cc32)[NH+]=C1N,-7.618255663771866,0.04770387423507388,-8.70337
16,COc1ccc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)cc1,-7.151144604494936,0.05675713139543845,-7.05774
15,COc1ccccc1-c1ccc2c(c1)[C@@]1(CC(C)(C)O2)[NH+]=C(N)N(C)C1=O,-8.425637697113466,0.06024396662967376,-7.91744
22,CC(C)Oc1cccc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-8.012997121832067,0.05697149914595692,-7.60692
27,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(F)c4)cc32)[NH+]=C1N,-9.13310555320051,0.03905523861945712,-9.61238
32,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4ccccn4)cc32)[NH+]=C1N,-6.385809810276185,0.054976417513922765,-7.721520000000001
12,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)[NH+]=C1N,-10.414714431151953,0.04958793853620808,-10.4569
24,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(C(F)(F)F)c4)cc32)[NH+]=C1N,-10.299368112760906,0.045323302576802706,-9.78584
26,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(OC(F)F)c4)cc32)[NH+]=C1N,-10.222756189776582,0.04996048947818104,-10.3651
40,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4ccns4)cc32)[NH+]=C1N,-6.491464404467416,0.05125560272773645,-8.64597
13,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccc(C#N)c4)cc32)[NH+]=C1N,-10.058611546926457,0.04052520386168908,-9.64326
14,COc1cccc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-10.422943085057224,0.04919875851910544,-9.83624
21,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cc(Cl)ccc4F)cc32)[NH+]=C1N,-10.466208221322336,0.050344123012458,-10.2153
35,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cncc(C(F)(F)F)c4)cc32)[NH+]=C1N,-10.22476459325163,0.042216977340125125,-9.88176
36,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-14.119658929474646,0.05511258104499942,-10.9787
18,COc1cc(F)cc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-11.339908036492139,0.061159729813417975,-9.90099
19,COc1ccc(F)c(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-11.450912265708997,0.06742190152326899,-9.91084
23,CCOc1cccc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-11.545786073126337,0.06313049636095593,-9.81896
37,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccnc4F)cc32)[NH+]=C1N,-7.842890588425888,0.053356435285310526,-9.45002
31,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cccnc4)cc32)[NH+]=C1N,-7.585418632897407,0.05266062274686841,-9.53354
33,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4ccncc4)cc32)[NH+]=C1N,-7.316296018556636,0.060589232494092676,-7.13992
17,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cc(Cl)cc(Cl)c4)cc32)[NH+]=C1N,-11.521798187444539,0.05647273253384312,-10.3651
20,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cc(F)cc(Cl)c4)cc32)[NH+]=C1N,-10.287145379818803,0.04947670170556916,-10.1676
38,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cncc(F)c4)cc32)[NH+]=C1N,-8.592687172626356,0.04595982399315436,-9.38493
25,CSc1cccc(-c2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)c1,-10.969632886361712,0.06625792244166095,-8.87004
1a,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(Br)cc32)[NH+]=C1N,-5.036023056814043,0.04529368348681778,-6.08468
28,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(C4CCCCC4)cc32)[NH+]=C1N,-8.667514655254069,0.06102022158605702,-8.997
29,CC(C)COc1ccc2c(c1)[C@@]1(CC(C)(C)O2)[NH+]=C(N)N(C)C1=O,-8.733111613124066,0.06126717399762844,-8.73567
30,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(N4CCCCC4)cc32)[NH+]=C1N,-6.8520157074251475,0.05716102560826357,-6.94738
39,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cncnc4)cc32)[NH+]=C1N,-6.888128697024762,0.042395082692758095,-9.36077
41,Cc1ccc(C(=O)Nc2ccc3c(c2)[C@@]2(CC(C)(C)O3)[NH+]=C(N)N(C)C2=O)o1,-8.283462158811105,0.06603464216630166,-9.10997
34,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cncc(Cl)c4)cc32)[NH+]=C1N,-10.095078905209803,0.03632942467868887,-10.2494
