mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
b1a2m,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.620810639822238,0.04662121087245721,-9.60566
b1i2a,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.974585698798773,0.043818228943427705,-8.69953
b1i2c,O=C(c1c(Oc2cccc(C(F)(F)F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-6.340425113458789,0.0645610427879685,-6.88372
b1i2h,O=C(c1c(Oc2cccc(F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-10.578387202950157,0.044032321522546214,-9.82353
b1i1,O=C(c1c(N2CCCCC2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-5.652410240930179,0.08213758384300276,-7.39449
b1i2e,Cc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-11.337985151824526,0.0477611903671063,-10.4744
b1i2j,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-11.179072717627207,0.05592195837975922,-11.3246
b1i2k,Cc1cccc(F)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.515540089258323,0.05967973285966929,-10.6355
b1i2d,COc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.124270403127086,0.05525691255496312,-8.41399
b1i2g,Cc1cccc(Oc2c(C(=O)N3CC[NH2+]CC3)c3ccccc3n2-c2ccccc2)c1,-9.774151058197239,0.04908800374741787,-8.338
b1i4b,O=C(c1c(Oc2ccccc2)n(-c2ccc(F)cc2)c2ccccc12)N1CC[NH2+]CC1,-9.887469667117095,0.04658479110951883,-8.39094
b1i4a,O=C(c1c(Oc2ccccc2)n(-c2ccccn2)c2ccccc12)N1CC[NH2+]CC1,-8.49499097207679,0.051160909920277456,-7.23542
b1i5a,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2c1,-13.680411153560664,0.06285109645307253,-10.3953
b1i2i,Cc1cccc(C)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.685189756353534,0.058980633388589866,-9.81412
b1i5b,COc1ccc2c(c1)c(C(=O)N1CC[NH2+]CC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,-11.822254136918836,0.06895611612213401,-8.00772
b1i5d,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(C(N)=O)ccc2n1-c1ccccc1,-8.688033736281486,0.07340744389929622,-11.2166
b1i2n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-9.205553044681976,0.042354853232614495,-10.9765
b1i2o,O=C(c1c(Cc2c(F)cccc2Cl)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-10.523361149903039,0.053397807700256227,-10.5657
b1i4e,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCCCC1,-8.490253755022557,0.07018111758780181,-10.1889
b1i4g,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCOCC1,-6.537973171468773,0.06595809547874003,-8.35437
b1i4i,COc1ccc(-n2c(Cc3cccc(F)c3C)c(C(=O)N3CC[NH2+]CC3)c3ccccc32)cn1,-8.109021704789372,0.06161190390817934,-8.7908
b1i5h,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2c1,-12.058464872816433,0.05514596197552422,-10.8059
b1i5n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(OCCO)cc2n1-c1ccccc1,-10.648421133170178,0.05855322654114319,-10.2436
b1i5o,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(S(C)(=O)=O)cc2n1-c1ccccc1,-5.163091605485311,0.0680947777392284,-10.0361
b1i5c,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-12.528744966273061,0.06453634870223574,-11.8676
b1i5i,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(O)cc2n1-c1ccccc1,-12.288009528434232,0.056807748929500745,-11.4568
b1i5j,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-10.346206181226192,0.057562082191432475,-11.4568
b1i5l,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cccc(F)c2n1-c1ccccc1,-8.501242235594939,0.061535710792495174,-9.653
b1i5k_xray,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2c(C)c(O)ccc2n1-c1ccccc1,-10.160858912831,0.05939617590667986,-11.8676
