mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-9.405971652587606,0.07885122951181849,-11.2832
42-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-13.120000251027259,0.07256194295750257,-11.5248
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-3.8617898585398738,0.11587422423363591,-8.33796
16-flipped,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-7.478937954791146,0.10474672210033568,-9.29013
17-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-6.755555043849908,0.09769231695890097,-8.99273
18-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-9.21625485480896,0.07478703473794339,-10.9787
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.152947639031643,0.06875459606272297,-7.687929999999999
44-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-13.367835874566236,0.08228286469933575,-11.5248
45-flipped,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-12.849122086919458,0.08311739200255078,-11.1913
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-10.542614460268602,0.053145361134212483,-10.7371
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-7.349563462647236,0.0702036318437052,-9.79395
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-4.60136958034893,0.07997054876020257,-8.4639
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-10.326264214177254,0.06493541453363559,-11.1117
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-14.62088234393457,0.07470957921445526,-11.1913
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-12.679390153125908,0.06907953511752368,-11.2832
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-11.974606731312484,0.0620406730407628,-10.6986
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-8.7714986087894,0.06084516967001867,-9.54958
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-6.87176378789621,0.08158581387829067,-9.75447
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-9.540503268139656,0.08357088775165977,-9.01441
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-7.5410620636148025,0.07808948322155876,-10.3442
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.777820323983004,0.07498917953831995,-10.2855
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-8.768286855473796,0.07820337715653053,-10.2153
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-8.26789971378463,0.07643785156232019,-9.25606
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-14.063059254114327,0.07105562784905377,-11.5248
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-13.229863638277283,0.07131007202857018,-11.6963
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-15.284132485717679,0.06687583193774879,-11.938
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-13.545588070413771,0.07049612867208654,-11.5248
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-13.482863237177805,0.07165127431771588,-11.3918
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.603142331814501,0.08074851122183707,-11.2832
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.350563445157551,0.08579000236832421,-11.5248
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-12.66017680344662,0.08462346674410035,-11.1913
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-11.462489950261897,0.08020978733291624,-11.938
