mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
1a,1b,-1.1993094786111482,0.04918528612628287,1.2994722044752105,0.050799784676912395,-1.3866099999999992,-2.4987816830863587,0.07070933810003441,-2.3303593523983475,0.07677405823457635
1a,3a,5.111659962106856,0.05491372824109069,9.875633872021988,0.05909705565600774,-2.4459399999999984,-4.763973909915132,0.08067204928936439,-4.766251661814478,0.07742446640065437
1a,5a,-6.521982158518761,0.053965561946555704,-3.0421540926638593,0.054879729792146205,-2.207939999999999,-3.479828065854902,0.07696795838702311,-3.677311263707483,0.07389261131011177
1b,3a,12.671960695078397,0.05287873199511997,15.10042314615392,0.055387146338775874,-1.0593299999999992,-2.4284624510755233,0.07657608162451705,-2.435892309416131,0.07687113260978909
1b,5b,3.0376672078079596,0.05891357428044034,5.180162067014946,0.061132931589925554,-0.5372299999999992,-2.142494859206986,0.08490020352905804,-1.8905535603177182,0.07416422600319966
3a,3b,-4.723179164087342,0.04220578721481208,-4.805987623839948,0.03922022647906026,-0.5228000000000002,0.08280845975260571,0.05761557636169905,0.07744058988514091,0.07391456468880857
3b,5d,-17.256932392546886,0.04308772021788098,-17.93997125624368,0.042221080746328056,0.6341999999999999,0.6830388636967963,0.06032554428235475,0.8764022691748643,0.0687697147728529
3b,7,-19.32907421650414,0.04726763639391165,-22.70030410545791,0.05086247005582416,3.122489999999999,3.3712298889537724,0.06943500781627845,3.1072634646253974,0.06977620750799877
5a,5c,5.275629637990377,0.04474567042375487,5.65221355454521,0.04932160839866231,0.7980900000000002,-0.37658391655483237,0.06659426459314863,-0.25056440968248417,0.0725634703743238
5b,5j,-1.0387029225284214,0.04146061471171136,-0.6571379856697802,0.041240118423460495,-0.6100000000000012,-0.3815649368586413,0.0584784570577407,-0.28783056341456614,0.06781354591061967
5d,5n,8.399210516708486,0.05282367847159805,8.697681300813924,0.052388880567130786,0.17049999999999876,-0.29847078410543865,0.07439714923535623,-0.23799524043221076,0.07550294427021322
5d,7,-2.4251206789733204,0.03716415552463895,-4.530138346394684,0.040004391907721294,2.4882899999999992,2.105017667421363,0.05460334996835001,2.230861195450533,0.06841586121798389
5e,5j,4.65262087251743,0.051285050310784265,6.123771862458531,0.053512976888417996,-0.9768000000000008,-1.4711509899411008,0.07412013950904324,-1.5030145326408455,0.05977838354708785
5e,5k,0.02702578222473468,0.05036372736890727,0.8432512496831556,0.052063189483495836,-0.8558000000000003,-0.816225467458421,0.0724367360783464,-0.8620404743127175,0.05792112760620232
5e,5p,14.78762667849472,0.06328526593875594,16.005713225421374,0.0641863091454364,-0.3956999999999997,-1.2180865469266555,0.09013826693836861,-1.2019322670604584,0.07213703524085291
5e,7,-3.1617634447999388,0.048694689528606276,-4.524192358772269,0.05051740292806999,1.7107899999999994,1.36242891397233,0.07016538168416339,1.4241813361858462,0.06309325470973796
5f,5g,-2.735444913823493,0.043122040284199324,-2.2341376534861848,0.04271428375664913,-0.5428999999999995,-0.5013072603373082,0.06069613163221895,-0.537220490993322,0.062180021135396425
5f,5h,4.241610178133319,0.041431555912119014,3.740724612483841,0.04083293857563699,0.21330000000000027,0.5008855656494787,0.05817132195524516,0.7620019398419942,0.06523837854584437
5f,5i,-2.8923214135467497,0.036124703426917364,-2.160668350883674,0.03427181625027966,-1.8158000000000012,-0.7316530626630757,0.04979509601131088,-0.6358570467436735,0.060692978868653796
5f,5k,-5.84286524324474,0.04297413318346401,-5.994940224683941,0.03851709781141673,-0.7003000000000004,0.15207498143920206,0.057709123600036986,-0.009384516662745312,0.055553806398279594
5f,5l,2.070442996459331,0.0443063062857255,2.645668131481648,0.04666107512142527,0.17050000000000054,-0.575225135022317,0.06434519957364193,-0.8135781568622473,0.05879753156741311
5g,5h,7.54554293453404,0.05005667641035449,6.169717397582207,0.04964414670181884,0.7561999999999998,1.3758255369518326,0.07049973159525255,1.2992224308353162,0.07428541074857543
5g,5i,-0.09891422911615995,0.034107152516460605,0.01337057869247169,0.03530332621062344,-1.2729000000000017,-0.11228480780863163,0.04908790782173138,-0.09863655575035146,0.0703271917450465
5h,5a,-7.464902313877276,0.052560958086965974,-6.537418903443662,0.053379848241799394,-0.7087000000000003,-0.9274834104336137,0.07491370043815303,-0.5809283024097187,0.07364990252169795
5i,5m,-4.720025316937366,0.03875365521221051,-4.577262767818657,0.04072392640639856,-0.6099999999999994,-0.14276254911870898,0.05621640307117361,-0.0027667937231203865,0.06733148956783447
5j,5c,3.6833404906021157,0.050574747461537686,3.21191147134282,0.05006465610341576,1.123990000000001,0.47142901925929537,0.07116371878669353,0.5808678027406646,0.06926716274442224
5k,5m,-1.1863382332119696,0.03514764127192665,-0.6911101605218035,0.03327116605071167,-1.7255000000000003,-0.49522807269016617,0.04839759474761189,-0.6292393238040486,0.06273848267857675
5l,5b,-2.198423248918461,0.04166073897908457,-2.6790797813226694,0.04679145438978784,-0.38180000000000014,0.4806565324042084,0.0626502783409221,0.4510501452859401,0.06892752139549457
5l,5c,0.7406919008895861,0.050809355340842445,-0.2769192289821628,0.053721848099158455,0.13218999999999959,1.017611129871749,0.07394340777473708,0.7440873846120386,0.07035812697490544
5m,5o_adjust,8.071613291691389,0.053595621998716265,8.421549284060383,0.05282950936784574,0.6509,-0.34993599236899436,0.0752558818796018,-0.4230759816523566,0.07097001886771923
5n,5o_adjust,-0.5403906841581992,0.04610224147206094,0.5474422385145492,0.049711215049833134,-1.3233999999999995,-1.0878329226727486,0.06779838914368815,-0.869680680072225,0.07946612272101321
5p,5n,-7.48443627471209,0.04309334590850621,-7.511058457572603,0.04145794197559299,-0.21130000000000138,0.026622182860512628,0.059797971658257815,0.15725716736356077,0.08404244832941783
5p,5o_adjust,-7.482996032901401,0.055807217488462325,-6.991719792994629,0.0573349415943168,-1.5347000000000008,-0.49127623990677155,0.08001088083147351,-0.7124235127086642,0.08073347011314963
